Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
108    194    302    -2101.85898             0.403          0.0            1278      YES            
108    260    368    -2165.934941            0.44           0.0            1282      YES            
108    262    370    -2163.674927            0.44           0.0            1286      YES            
108    264    372    -2161.264655            0.438          0.0            1290      YES            
108    266    374    -2158.727899            0.432          0.0            1294      YES            
110    188    298    -2093.99754             0.448          0.0            1299      YES            
110    190    300    -2102.055386            0.435          0.0            1302      YES            
110    194    304    -2117.651082            0.417          0.0            1306      YES            
110    196    306    -2124.816879            0.402          0.0            1310      YES            
110    262    372    -2197.465813            0.441          0.0            1314      YES            
112    162    274    -1953.135212            -0.411         0.0            1317      YES            
112    188    300    -2106.120258            0.458          0.0            168       YES            
112    190    302    -2114.869497            0.443          0.0            1322      YES            
112    192    304    -2123.537221            0.434          0.0            188       YES            
112    274    386    -2219.375367            0.399          0.0            205       YES            
112    276    388    -2217.391757            0.394          0.0            226       YES            
112    284    396    -2205.702154            0.381          0.0            1326      YES            
112    286    398    -2202.231977            0.362          0.0            1330      YES            
114    160    274    -1940.471262            -0.411         0.0            1333      YES            
114    162    276    -1956.182731            -0.415         0.0            1337      YES            
114    190    304    -2126.043195            0.456          0.0            1342      YES            
114    192    306    -2135.216945            0.446          0.0            251       YES            
114    272    386    -2253.446374            0.41           0.0            268       YES            
114    274    388    -2252.116069            0.404          0.0            289       YES            
114    284    398    -2240.675413            0.38           0.0            1346      YES            
114    286    400    -2237.56303             0.371          0.0            1350      YES            
114    288    402    -2235.990668            0.261          0.0            1354      YES            
114    290    404    -2233.710531            0.257          0.0            1358      YES            
114    292    406    -2231.206641            0.254          0.0            1362      YES            
114    296    410    -2225.265656            0.252          0.0            1366      YES            
116    160    276    -1941.425249            -0.415         0.0            1369      YES            
116    190    306    -2135.919269            0.476          0.0            1374      YES            
116    192    308    -2145.45488             0.463          0.0            1378      YES            
116    194    310    -2154.804282            0.454          0.0            1382      YES            
116    284    400    -2274.20936             0.379          0.0            1386      YES            
116    286    402    -2271.517591            0.374          0.0            1391      YES            
116    288    404    -2268.71971             0.363          0.0            1395      YES            
116    290    406    -2267.952236            0.26           0.0            1398      YES            
116    292    408    -2265.831794            0.253          0.0            1402      YES            
116    294    410    -2263.431459            0.25           0.0            1406      YES            
116    296    412    -2260.702966            0.248          0.0            1410      YES            
116    298    414    -2257.73949             0.247          0.0            1414      YES            
116    300    416    -2254.680889            0.245          0.0            1418      YES            
118    190    308    -2142.887238            -0.385         0.0            1421      YES            
118    194    312    -2164.253719            0.47           0.0            1426      YES            
118    208    326    -2219.336188            -0.437         0.0            1429      YES            
118    210    328    -2226.296171            -0.44          0.0            1433      YES            
118    264    382    -2312.869474            -0.435         0.0            1437      YES            
118    266    384    -2312.512349            -0.445         0.0            1441      YES            
118    286    404    -2304.124618            0.35           0.0            1446      YES            
118    288    406    -2302.787986            0.284          0.0            1450      YES            
118    290    408    -2300.919038            0.267          0.0            1454      YES            
118    292    410    -2299.092201            0.252          0.0            1458      YES            
118    294    412    -2297.10968             0.246          0.0            1462      YES            
118    296    414    -2294.817154            0.243          0.0            1466      YES            
118    298    416    -2292.30276             0.242          0.0            1470      YES            
118    300    418    -2289.70787             0.241          0.0            1474      YES            
120    190    310    -2149.323572            -0.392         0.0            1477      YES            
120    192    312    -2160.24143             -0.398         0.0            1481      YES            
120    196    316    -2180.740006            -0.409         0.0            297       YES            
120    198    318    -2190.119847            -0.416         0.0            1485      YES            
120    210    330    -2240.463584            -0.445         0.0            1489      YES            
120    212    332    -2247.752236            -0.447         0.0            1493      YES            
120    266    386    -2341.144719            -0.453         0.0            1497      YES            
120    268    388    -2341.256252            -0.459         0.0            1501      YES            
120    288    408    -2334.462378            0.291          0.0            1506      YES            
120    290    410    -2332.802526            0.275          0.0            1510      YES            
120    292    412    -2331.131091            0.254          0.0            1514      YES            
120    294    414    -2329.538566            0.242          0.0            1518      YES            
120    296    416    -2327.683836            0.238          0.0            1522      YES            
120    298    418    -2325.628175            0.237          0.0            1526      YES            
