Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
66     130    196    -1457.772448            0.414          0.0            471       YES            
66     132    198    -1466.951004            -0.057         0.0            474       YES            
66     134    200    -1469.203889            -0.116         0.0            478       YES            
66     136    202    -1471.683386            -0.14          0.0            482       YES            
66     138    204    -1473.918469            -0.156         0.0            486       YES            
68     86     154    -1253.30337             -0.124         0.0            489       YES            
68     130    198    -1487.966896            0.454          0.0            495       YES            
68     132    200    -1492.395096            0.449          0.0            499       YES            
68     134    202    -1500.147279            -0.121         0.0            502       YES            
68     136    204    -1503.256222            -0.14          0.0            506       YES            
68     138    206    -1506.215595            -0.156         0.0            510       YES            
70     94     164    -1330.214362            0.301          0.0            524       YES            
70     96     166    -1346.770328            0.326          0.0            527       YES            
70     130    200    -1516.140882            0.463          0.0            531       YES            
70     132    202    -1525.401871            -0.084         0.0            534       YES            
70     134    204    -1529.224246            -0.117         0.0            538       YES            
70     136    206    -1532.948303            -0.136         0.0            542       YES            
72     94     166    -1337.88279             0.281          0.0            552       YES            
72     96     168    -1355.429316            0.313          0.0            556       YES            
72     130    202    -1542.190916            0.476          0.0            559       YES            
72     132    204    -1548.391201            0.477          0.0            563       YES            
72     134    206    -1554.203963            0.478          0.0            567       YES            
72     136    208    -1561.000125            -0.127         0.0            570       YES            
74     96     170    -1362.334435            0.314          0.0            584       YES            
74     98     172    -1380.240152            0.328          0.0            588       YES            
74     134    208    -1582.574637            -0.1           0.0            598       YES            
74     136    210    -1586.14224             0.496          0.0            603       YES            
76     96     172    -1364.180502            -0.3           0.0            606       YES            
76     98     174    -1386.01585             0.319          0.0            612       YES            
78     90     168    -1306.81038             -0.115         0.0            629       YES            
78     96     174    -1367.484008            -0.323         0.0            634       YES            
78     100    178    -1408.883269            0.32           0.0            639       YES            
78     138    216    -1636.950462            0.396          0.0            655       YES            
78     140    218    -1644.150837            0.435          0.0            659       YES            
80     92     172    -1324.125874            -0.314         0.0            662       YES            
80     96     176    -1368.582223            -0.342         0.0            666       YES            
80     134    214    -1642.824371            -0.317         0.0            674       YES            
80     136    216    -1651.35013             -0.335         0.0            678       YES            
80     138    218    -1659.339795            -0.342         0.0            682       YES            
80     140    220    -1666.692828            -0.343         0.0            686       YES            
80     142    222    -1673.464165            -0.335         0.0            690       YES            
82     92     174    -1320.808735            -0.323         0.0            693       YES            
82     94     176    -1344.958359            -0.35          0.0            697       YES            
82     96     178    -1367.703351            -0.353         0.0            702       YES            
82     134    216    -1660.305754            -0.332         0.0            710       YES            
82     136    218    -1669.792087            -0.347         0.0            714       YES            
82     138    220    -1678.725638            -0.355         0.0            718       YES            
82     140    222    -1686.939202            -0.359         0.0            722       YES            
82     142    224    -1694.514718            -0.358         0.0            726       YES            
82     144    226    -1701.615267            -0.354         0.0            730       YES            
84     134    218    -1675.499013            -0.323         0.0            738       YES            
84     136    220    -1685.742739            -0.348         0.0            742       YES            
84     192    276    -1818.743666            -0.365         0.0            746       YES            
84     194    278    -1819.116727            -0.365         0.0            750       YES            
84     196    280    -1819.022664            -0.357         0.0            754       YES            
86     192    278    -1851.64149             -0.367         0.0            766       YES            
86     194    280    -1853.03177             0.499          0.0            771       YES            
88     136    224    -1712.02107             -0.331         0.0            782       YES            
88     138    226    -1723.449434            -0.362         0.0            786       YES            
88     192    280    -1884.187225            0.493          0.0            791       YES            
88     194    282    -1885.631341            0.493          0.0            795       YES            
90     136    226    -1722.937117            -0.333         0.0            809       YES            
90     138    228    -1735.137992            -0.358         0.0            813       YES            
90     192    282    -1914.255124            0.483          0.0            819       YES            
90     194    284    -1916.230327            0.482          0.0            823       YES            
92     136    228    -1732.3531              -0.333         0.0            837       YES            
92     138    230    -1745.252985            -0.348         0.0            841       YES            
92     192    284    -1942.516904            0.471          0.0            847       YES            
92     194    286    -1945.071342            0.464          0.0            851       YES            
92     196    288    -1947.285206            0.461          0.0            855       YES            
94     130    224    -1693.489729            -0.486         0.0            857       YES            
