Z      N      A      Energy_new(MeV)     Energy_old(MeV)     Energy_diff(MeV)    beta2_new    beta2_old    beta3_new    fileID    
14     38     52     -312.634618         -312.608835         -0.025783           0.002765     0.000000     -3e-06       7090      
14     40     54     -308.431845         -308.426543         -0.005302           -0.002819    0.000000     -1e-06       7192      
16     4      20     -24.351466          -23.732421          -0.619045           0.905864     -0.000003    4.771336     7215      
16     6      22     -84.310519          -84.236138          -0.074381           -0.0         -0.000003    0.0          7283      
16     8      24     -137.564263         -137.487559         -0.076704           0.000547     -0.000001    -0.0         7389      
16     10     26     -177.309632         -177.245324         -0.064308           0.0          -0.000004    -0.0         7433      
16     12     28     -213.484074         -213.384745         -0.099329           -0.000191    -0.000004    6e-06        7519      
16     14     30     -246.068974         -245.970136         -0.098838           -0.001003    -0.000003    3e-06        7577      
16     16     32     -272.340508         -272.248034         -0.092474           -0.000632    -0.000002    0.0          7697      
16     18     34     -293.675033         -293.564014         -0.111019           7.6e-05      -0.000001    -0.0         7739      
16     20     36     -311.800202         -311.711652         -0.08855            3.1e-05      -0.000001    2e-06        7814      
16     22     38     -324.50652          -324.372613         -0.133907           0.001035     -0.000001    4.2e-05      7904      
16     24     40     -335.917758         -335.900835         -0.016923           0.137793     0.138028     0.00361      8009      
16     26     42     -346.263221         -346.245838         -0.017383           0.170403     0.170398     4e-05        8048      
16     28     44     -354.323675         -354.307624         -0.016051           -0.142175    -0.143299    0.01257      8137      
16     30     46     -360.551072         -360.533845         -0.017227           -0.134187    -0.134486    0.001044     8229      
16     32     48     -364.577922         -364.550752         -0.02717            -0.00011     -0.000002    1e-06        8317      
16     34     50     -366.763936         -366.75567          -0.008266           -0.0         -0.000001    -0.0         8378      
16     36     52     -366.612072         -366.605322         -0.00675            -0.0         0.000000     -0.0         8408      
16     38     54     -365.801871         -365.788927         -0.012944           -9.8e-05     0.000000     -1e-06       8512      
16     40     56     -364.117563         -364.092818         -0.024745           -0.001803    0.000000     -4e-06       8586      
16     42     58     -360.579344         -360.52849          -0.050854           -0.003611    -0.000003    0.0          8677      
16     44     60     -357.501708         -357.47688          -0.024828           0.176529     0.165024     -0.000223    8712      
16     46     62     -354.35055          -354.295627         -0.054923           0.219077     0.206492     -0.000127    8832      
16     48     64     -350.477498         -350.386841         -0.090657           0.231023     0.214324     -7.4e-05     8922      
18     6      24     -72.400303          -71.148591          -1.251712           1.030535     -0.000001    6.217866     8955      
18     8      26     -128.642401         -128.574078         -0.068323           -0.0         -0.000001    -0.0         9068      
18     10     28     -172.731902         -172.669764         -0.062138           -0.0         -0.000002    0.0          9128      
18     12     30     -213.493123         -213.371906         -0.121217           0.000746     -0.000003    -0.0         9225      
18     14     32     -250.691833         -250.575055         -0.116778           0.000265     -0.000002    5e-06        9240      
18     16     34     -281.501653         -281.381771         -0.119882           5.9e-05      -0.000002    0.0          9314      
18     18     36     -307.742822         -307.644688         -0.098134           0.000119     -0.000001    -0.0         9390      
18     20     38     -330.634417         -330.559973         -0.074444           8.3e-05      -0.000001    -2e-06       9464      
18     22     40     -347.561305         -347.513679         -0.047626           0.001319     -0.000001    4.4e-05      9552      
18     24     42     -362.519593         -362.498988         -0.020605           0.000717     -0.000001    -1.6e-05     9653      
18     26     44     -376.443112         -376.424698         -0.018414           0.001448     -0.000012    -6.3e-05     9744      
18     28     46     -388.48603          -388.454043         -0.031987           0.001373     -0.000015    -0.0         9762      
18     30     48     -397.633657         -397.621657         -0.012              5.7e-05      -0.000006    -0.0         9893      
18     32     50     -404.761748         -404.745004         -0.016744           1.1e-05      -0.000001    1e-06        9967      
18     34     52     -409.412587         -409.403448         -0.009139           -1.5e-05     0.000000     -0.0         9997      
18     36     54     -412.171358         -412.163237         -0.008121           4.9e-05      -0.000001    -1e-06       10119     
18     38     56     -414.345452         -414.314201         -0.031251           -1e-05       0.000000     0.0          10177     
18     40     58     -415.523879         -415.51938          -0.004499           -0.0         0.000000     -1e-06       10238     
18     42     60     -414.560751         -414.557044         -0.003707           -1e-06       0.000000     0.0          10328     
18     44     62     -412.56333          -412.484191         -0.079139           0.057201     0.000017     -7.8e-05     10392     
18     46     64     -411.04899          -411.030459         -0.018531           0.134821     0.126794     0.000169     10452     
18     48     66     -408.873127         -408.79411          -0.079017           0.160689     0.151403     3.1e-05      10542     
18     50     68     -406.200316         -406.139062         -0.061254           -0.14716     -0.138724    -8.8e-05     10608     
18     52     70     -403.442262         -403.348007         -0.094255           -0.15766     -0.146335    3.2e-05      10698     
18     54     72     -400.04836          -399.927171         -0.121189           -0.152867    -0.133999    -2.2e-05     10758     
18     56     74     -395.907278         -395.681984         -0.225294           -0.123467    -0.000012    1.2e-05      10818     
20     8      28     -116.755601         -116.198986         -0.556615           1.07413      -0.000001    6.773351     10935     
20     10     30     -164.371129         -164.302665         -0.068464           -0.001031    -0.000002    0.0          11017     
20     12     32     -209.540115         -209.464155         -0.07596            -0.0013      -0.000002    -2e-06       11074     
20     14     34     -251.175164         -251.120312         -0.054852           0.000384     -0.000002    0.0          11113     
