./UNEDF0/block1a/
       (Z,N)     E_HFB_LN(MeV)       beta2_in       beta3_in        Q20_out        Q30_out   file#     iter#
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 219
    (12, 26)       -266.704517           0.05            0.3       1.611463        2.8e-05    5154       103
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 103
    (12, 28)       -268.092661           0.05            0.2       1.512718       0.000174    5214       135
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 135
    (12, 30)       -269.235131          -0.15            0.1      -1.188361        5.2e-05    5270       203
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 203
    (12, 32)       -270.042627            0.0            0.3       -1.8e-05           -0.0    5378       149
    (12, 32)       -270.042627            0.0            0.4         -4e-06           -0.0    5393       139
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 139
    (12, 34)         -270.1289           -0.1            0.1      -0.030006          2e-06    5421        77
    (12, 34)         -270.1289           -0.1            0.2      -0.030006            0.0    5436        91
    (12, 34)         -270.1289           -0.1            0.3       -0.03001         -2e-06    5451       106
    (12, 34)         -270.1289           -0.1            0.4      -0.030006          2e-06    5466        90
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 77
    (12, 36)       -266.775223           -0.1            0.3      -0.059491          1e-06    5526       140
    (12, 36)       -266.775223           -0.1            0.4      -0.059512         -2e-06    5541       178
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 140
    (12, 38)       -262.968596           -0.1            0.4       -0.14909          5e-06    5616       127
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 127
    (12, 40)       -259.169177            0.2            0.4        0.96669       -2.9e-05    5697       116
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 116
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 2000
     (14, 4)        -39.970383          -0.05            0.0      -0.024232           -0.0    5782        58
     (14, 4)        -39.970383          -0.05            0.1      -0.024235           -0.0    5797        53
     (14, 4)        -39.970383          -0.05            0.2      -0.024234            0.0    5812        76
     (14, 4)        -39.970383          -0.05            0.3      -0.024235           -0.0    5827        67
     (14, 4)        -39.970383          -0.05            0.4      -0.024232            0.0    5842        62
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 53
     (14, 6)        -94.416062          -0.05            0.0      -0.004761            0.0    5857        54
     (14, 6)        -94.416062          -0.05            0.1      -0.004761           -0.0    5872        78
     (14, 6)        -94.416062          -0.05            0.2      -0.004761            0.0    5887        97
     (14, 6)        -94.416062          -0.05            0.3       -0.00476           -0.0    5902        63
     (14, 6)        -94.416062          -0.05            0.4      -0.004762            0.0    5917        70
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 54
     (14, 8)       -140.152202           -0.1            0.0      -0.004715            0.0    5931       228
     (14, 8)       -140.152202           -0.1            0.1      -0.004715           -0.0    5946       132
     (14, 8)       -140.152202           -0.1            0.4      -0.004715            0.0    5991       104
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 104
    (14, 10)        -175.65507          -0.15            0.0      -0.002105         -2e-06    6005        37
    (14, 10)        -175.65507          -0.15            0.3       -0.00209          2e-06    6050       890
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 37
    (14, 12)       -207.584384           -0.3            0.0      -0.003496          2e-06    6077        51
    (14, 12)       -207.584384           -0.3            0.4       -0.00347          4e-06    6137       476
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 51
    (14, 14)       -235.967377           0.25            0.0       -8.4e-05            0.0    6163        45
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 45
    (14, 16)       -258.014301            0.2            0.0       0.846557       0.037555    6237       402
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 402
    (14, 18)       -273.618573            0.0            0.4          1e-06           -0.0    6368       242
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 242
    (14, 20)       -286.439876          -0.05            0.0      -0.000216           -0.0    6382        36
    (14, 20)       -286.439876          -0.05            0.1      -0.000184           -0.0    6397       413
    (14, 20)       -286.439876          -0.05            0.3      -0.000187           -0.0    6427       414
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 36
    (14, 22)        -295.48881            0.0            0.1       0.000503          1e-06    6473        58
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 58
    (14, 24)       -303.068237            0.1            0.3       0.884508       0.009634    6580        62
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 62
    (14, 26)       -309.455565           0.05            0.1        1.11645       0.003179    6624        57
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 57
    (14, 28)       -314.876944          -0.05            0.2      -1.108455       0.000534    6712       397
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 397
    (14, 30)       -318.801557          -0.35            0.4      -0.801773        5.5e-05    6811       367
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 367
    (14, 32)       -322.349103            0.1            0.4        0.01261         -3e-06    6895        97
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 97
    (14, 34)       -324.073146           -0.1            0.2       -0.01683          1e-06    6936        82
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 82
    (14, 36)       -322.517987           -0.1            0.4      -0.020969          1e-06    7041       129
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 129
    (14, 38)       -320.378784           -0.1            0.0      -0.033956          2e-06    7056        69
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 69
    (14, 40)       -317.790131           -0.1            0.1       -0.12389         -2e-06    7146        82
    (14, 40)       -317.790131           -0.1            0.2      -0.123889          1e-06    7161        85
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 82
     (16, 4)        -28.478414            0.0            0.0            0.0           -0.0    7208        21
     (16, 4)        -28.478414            0.0            0.1         -1e-06            0.0    7223        57
     (16, 4)        -28.478414            0.0            0.2          1e-06           -0.0    7238        56
     (16, 4)        -28.478414            0.0            0.3          2e-06            0.0    7253        54
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 21
     (16, 6)        -86.319356           0.05            0.4        0.00824            0.0    7344        59
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 59
     (16, 8)       -136.616655            0.0            0.0            0.0           -0.0    7358        24
     (16, 8)       -136.616655            0.0            0.2            0.0            0.0    7388       190
     (16, 8)       -136.616655            0.0            0.3            0.0           -0.0    7403        75
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 24
    (16, 10)       -176.629486           -0.2            0.2      -0.005221          1e-06    7459       410
    (16, 10)       -176.629486           -0.2            0.3       -0.00522          1e-06    7474       336
    (16, 10)       -176.629486           -0.2            0.4      -0.005223          2e-06    7489       183
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 183
    (16, 12)       -213.427461           -0.2            0.3      -0.001546          7e-06    7549       737
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 737
    (16, 14)       -246.823443           0.35            0.0       0.000793         -2e-06    7590        50
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 50
    (16, 16)       -273.683299            0.2            0.0        7.5e-05           -0.0    7662        46
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 46
    (16, 18)       -293.839265            0.2            0.0       0.000671          3e-06    7737        52
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 52
    (16, 20)       -310.948866            0.0            0.4       0.000166           -0.0    7868       607
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 607
    (16, 22)       -324.101118            0.0            0.1        4.9e-05            0.0    7898        48
    (16, 22)       -324.101118            0.0            0.3       0.000112           -0.0    7928        55
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 48
