 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Si       14     12     26          -207.392889               -4.945776              -15.134777             0.151843             0.197255               0.171877               0.254251                   0.260739                      0.514989                   2.094863                2.108213              3.079031             2.954899               3.022373              -0.124132              3.206624          7.443315       10.598007       17.842873      31.553238          -8.505558            
   Si       14     14     28          -234.990761               -7.646472              -12.906948            -0.119124            -0.118175              -0.118655              -0.198244                  -0.191978                     -0.390222                   2.082203                2.185464              3.069600             3.032798               3.051255              -0.036802              3.179363         10.921965       17.723162       15.945775      27.597872          -9.895879            
   Si       14     16     30          -257.159593              -10.069089              -10.261585            -0.000003            -0.000003              -0.000003              -0.000005                  -0.000005                     -0.000011                   2.050354                2.057067              3.072068             3.123799               3.099765               0.051732              3.181746         13.407991       22.834562       13.205682      22.168832         -11.591993            
   Si       14     18     32          -273.864320              -12.382065               -8.152878            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000003                     -0.000005                   2.026882                1.843102              3.102831             3.224564               3.171881               0.121733              3.211458         15.797634       27.663379       10.302449      16.704728         -11.239290            
   Si       14     20     34          -287.448685              -14.653629               -6.274424            -0.000001             0.000000              -0.000001              -0.000002                  -0.000001                     -0.000003                   1.990197                1.964998              3.135700             3.313444               3.241436               0.177745              3.243226         18.137968       32.449319        8.696233      13.584365         -12.947744            
   Si       14     22     36          -295.967992              -16.792859               -4.461054            -0.000004            -0.000004              -0.000004              -0.000007                  -0.000012                     -0.000020                   1.956526                1.635451              3.160369             3.395827               3.306253               0.235458              3.267084         20.243092       36.732729        6.059879       8.519307         -12.668625            
   Si       14     24     38          -303.742367              -18.526508               -4.010864             0.183864             0.200976               0.195363               0.333701                   0.747197                      1.080897                   1.831573                1.690443              3.205616             3.504167               3.397228               0.298551              3.310873         21.426402       39.196940        5.550135       7.774376         -16.207104            
   Si       14     26     40          -309.945834              -20.302544               -3.059934             0.216162             0.226013               0.223014               0.399921                   0.955169                      1.355091                   1.749349                1.608184              3.236519             3.589478               3.470029               0.352960              3.340802         23.168826       42.775608        4.751048       6.203467         -17.100407            
   Si       14     28     42          -314.950851              -22.162577               -2.410197            -0.207776            -0.191742              -0.196278              -0.389614                  -0.911550                     -1.301164                   1.881043                1.649197              3.258367             3.668574               3.537128               0.410208              3.344661         25.403598       47.154950        4.131200       5.005018         -19.480625            
   Si       14     30     44          -317.922787              -23.684271               -1.459100            -0.180906            -0.163237              -0.167859              -0.342111                  -0.871335                     -1.213446                   1.821582                1.533493              3.272186             3.755497               3.608744               0.483312              3.358125         27.147127       50.817538        3.077314       2.971937         -21.826887            
   Si       14     32     46          -319.314806              -25.008360               -0.805544            -0.000002            -0.000002              -0.000002              -0.000004                  -0.000009                     -0.000013                   1.788071                1.447838              3.269761             3.845855               3.680082               0.576094              3.355762         28.238342       53.031748        2.186675       1.392019         -23.909556            
   S        16     10     26          -177.245324                0.236787              -19.614190            -0.000003            -0.000005              -0.000004              -0.000007                  -0.000005                     -0.000012                   2.163857                1.971857              3.230787             2.861525               3.093983              -0.369262              3.352609          2.888011        1.405674       22.341592      39.757766          -7.925992            
   S        16     12     28          -213.384745               -2.137207              -17.630594            -0.000003            -0.000005              -0.000004              -0.000007                  -0.000007                     -0.000014                   2.067887                2.037946              3.189732             2.958100               3.092586              -0.231632              3.313064          5.077304        5.991857       20.074612      36.139421          -9.245094            
   S        16     14     30          -245.970136               -4.430369              -15.308292            -0.000003            -0.000003              -0.000003              -0.000006                  -0.000005                     -0.000011                   1.942399                2.135666              3.176249             3.042486               3.114542              -0.133764              3.300085          7.501989       10.979376       18.379502      32.585391         -10.277247            
   S        16     16     32          -272.248034               -6.612983              -12.458240            -0.000002            -0.000002              -0.000002              -0.000004                  -0.000004                     -0.000008                   1.814053                1.914652              3.186653             3.143434               3.165117              -0.043220              3.292516          9.476425       15.088442       15.164108      26.277899          -8.957274            
   S        16     18     34          -293.564014               -8.881151              -10.468444            -0.000001            -0.000001              -0.000001              -0.000003                  -0.000003                     -0.000005                   1.730596                1.816925              3.210063             3.238925               3.225375               0.028863              3.315178         11.728587       19.699694       12.523779      21.315980          -8.104422            
