 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   C        6      8      14          -108.761114              -14.114237               -7.220082             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.792835                2.847825              2.530573             2.675358               2.614289               0.144786              2.662650         19.064402       32.676274       11.076443      16.194465         -10.170812            
   C        6      10     16          -116.246051              -18.177819               -4.380843             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.613274                2.328075              2.556588             2.851683               2.744743               0.295095              2.687386         22.821258       40.484175        6.330419       7.484937         -11.861210            
   C        6      12     18          -121.342826              -21.698440               -3.109937            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.422628                2.279811              2.580699             3.009372               2.873595               0.428673              2.688831         26.159641       47.544642        4.852331       5.096776         -17.280951            
   C        6      14     20          -125.196855              -24.796880               -1.939631            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.269491                2.185040              2.605246             3.159869               3.004253               0.554623              2.712399         29.030362       53.593182        4.159441       3.854029         -23.098671            
   C        6      16     22          -126.590755              -27.382752               -0.430021            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.156356                2.155340              2.636815             3.314258               3.144011               0.677444              2.742735         31.570886       58.905568        2.867141       1.393901         -26.687082            
   C        6      18     24          -124.010068              -29.332042                0.927097            -0.000001             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   2.082892                1.735069              2.676415             3.503579               3.316187               0.827165              2.759873         33.130775       62.136252        0.654862      -2.580687         -28.024881            
   C        6      20     26          -119.587501              -30.656802                1.638511            -0.000002             0.000000              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.025563                1.537804              2.713783             3.732183               3.523392               1.018401              2.796126         34.119484       64.225367       -0.574848      -4.422568         -29.413685            
   C        6      22     28          -114.586631              -31.598808                2.068777            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000004                     -0.000005                   1.952005                1.439983              2.740242             3.989069               3.756577               1.248828              2.821813         34.657506       65.399081       -1.011542      -5.000871         -30.924496            
   C        6      24     30          -109.066153              -32.321429                2.411330            -0.000003            -0.000001              -0.000002              -0.000002                  -0.000008                     -0.000010                   1.908310                1.340679              2.759039             4.238850               3.987071               1.479812              2.819557         34.910092       65.995746       -1.369908      -5.520478         -31.578604            
   C        6      26     32          -103.123381              -33.084513                2.701049            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000004                     -0.000005                   1.887950                1.296012              2.776309             4.440537               4.179282               1.664229              2.836458         35.348659       66.901312       -1.653041      -5.942773         -31.752974            
   C        6      28     34           -96.742526              -34.019036                2.944081            -0.000003            -0.000001              -0.000001              -0.000002                  -0.000008                     -0.000010                   1.854998                1.299391              2.795169             4.586580               4.324709               1.791411              2.854921         36.294741       68.840901       -1.892726      -6.380855         -32.220458            
   C        6      30     36            -89.89307              -34.996135                3.148918            -0.000003            -0.000001              -0.000001              -0.000002                  -0.000007                     -0.000008                   1.814423                1.248555              2.813872             4.708960               4.449521               1.895089              2.852960         37.190631       70.671234       -2.150756      -6.849457         -33.691444            
   C        6      32     38           -82.937124              -35.875011                3.295288            -0.000003            -0.000001              -0.000001              -0.000002                  -0.000006                     -0.000008                   1.767941                1.230003              2.830167             4.835906               4.578010               2.005739              2.869033         37.871961       72.112682       -2.238695      -6.955946         -35.415289            
   C        6      34     40           -75.860728              -36.520929                3.402782            -0.000002             0.000000               0.000000              -0.000001                  -0.000004                     -0.000005                   1.731550                1.199644              2.842128             4.982027               4.723258               2.139900              2.880832         38.406128       73.245600       -2.323375      -7.076397         -36.736286            
   C        6      36     42           -68.697488              -36.961843                3.478431            -0.000001             0.000000               0.000000              -0.000001                  -0.000005                     -0.000006                   1.703980                1.140416              2.850051             5.142625               4.881486               2.292574              2.868483           No_Data         No_Data       -2.411591      -7.163240         -37.782361            
   O        8      2      10           -22.600063                3.328907              -27.163772             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.248776                4.536433              3.311978             2.084497               3.105541              -1.227482              3.430918         -1.249569       -7.666438         No_Data        No_Data            No_Data            
   O        8      4      12           -66.302259                0.121321              -21.357408             0.000000             0.000001               0.000000               0.000000                   0.000000                      0.000000                   2.727645                2.778434              2.831762             2.355097               2.682302              -0.476665              2.969996          3.173570        0.440942       25.508532      43.702197          -7.735760            
   O        8      6      14          -102.971022               -3.965690              -16.611451             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.737302                2.886444              2.715886             2.517492               2.632692              -0.198394              2.859727          8.044927       10.404373       21.166821      36.668763          -8.809705            
   O        8      8      16          -128.904993               -8.093313              -11.381102             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.671073                2.754695              2.699840             2.673380               2.686643              -0.026461              2.824011         12.803894       20.143879       15.787555      25.933971          -8.038343            
   O        8      10     18          -144.484846              -11.802606               -7.985352             0.000000            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   2.573896                2.202755              2.706326             2.822315               2.771364               0.115990              2.830213         16.712983       28.238796       10.268652      15.579854          -7.423733            
   O        8      12     20          -156.849135              -15.123789               -6.399810            -0.000001            -0.000002              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.475371                2.171883              2.719001             2.948833               2.859118               0.229833              2.842335         20.202155       35.506309        8.369464      12.364289         -12.303084            
   O        8      14     22          -167.278899              -18.138303               -4.908961            -0.000001            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000002                   2.395380                2.102306              2.736170             3.066483               2.950650               0.330313              2.858764         23.373458       42.082044        7.351977      10.429765         -17.636073            
   O        8      16     24          -174.420231              -20.822501               -2.907409            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.372954                2.143602              2.762786             3.196528               3.058789               0.433742              2.864051         26.179394       47.829476        5.693621       7.141333         -20.923376            
   O        8      18     26           -176.72804              -23.171322               -1.137284             0.000000             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.356912                1.938263              2.802175             3.344564               3.187521               0.542390              2.902066         28.578888       52.717972        3.194837       2.307809         -21.837285            
   O        8      20     28          -176.100993              -25.194200                0.047193            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.344810                1.844557              2.841730             3.491990               3.319226               0.650260              2.940278         30.441933       56.513492        1.577887      -0.627048         -23.790925            
