 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   C        6      28     34           -89.872724              -34.371246                3.436275            -0.000003            -0.000001              -0.000001              -0.000002                  -0.000008                     -0.000010                   2.455769                1.308036              2.782778             4.591769               4.327833               1.808992              2.842790         37.528842       70.086580       -2.400502      -7.402097         -32.586809            
   C        6      30     36           -82.158163              -35.438773                3.603035            -0.000005            -0.000002              -0.000002              -0.000003                  -0.000014                     -0.000017                   2.418592                1.319235              2.804380             4.701476               4.441920               1.897097              2.843598         38.504992       72.085752       -2.543645      -7.714562         -34.072018            
   C        6      32     38           -74.359856              -36.464590                3.713150            -0.000006            -0.000002              -0.000002              -0.000003                  -0.000017                     -0.000021                   2.390346                1.294020              2.824600             4.808597               4.553175               1.983997              2.863541         39.286229       73.674577       -2.592526      -7.798308         -35.987444            
   C        6      34     40           -66.535315              -37.322043                3.807434            -0.000006            -0.000002              -0.000002              -0.000004                  -0.000021                     -0.000025                   2.336577                1.260159              2.840929             4.931315               4.677694               2.090386              2.879649         39.938749       75.071345       -2.635182      -7.824541         -37.550036            
   C        6      36     42           -58.565813              -37.982337                3.903429            -0.000007            -0.000002              -0.000002              -0.000004                  -0.000022                     -0.000026                   2.292699                1.197512              2.853178             5.070966               4.817065               2.217789              2.871590           No_Data         No_Data       -2.755916      -7.969502         -38.801843            
   O        8      2      10           -21.395915                3.474430              -28.129370             0.000000             0.000001               0.000000               0.000000                   0.000000                      0.000000                   2.527721                5.585326              3.266198             2.054836               3.062501              -1.211363              3.386747         -1.171667       -8.346789         No_Data        No_Data            No_Data            
   O        8      4      12           -66.087675                0.177042              -21.516938             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.125690                3.378424              2.788847             2.339147               2.647448              -0.449700              2.929107          3.689954        0.518453       26.827756      44.691761          -8.044973            
   O        8      6      14          -103.330114               -3.987086              -16.906346             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.208246                3.462018              2.682057             2.499289               2.605298              -0.182768              2.827620          8.737669       10.717029       22.041441      37.242439          -9.460892            
   O        8      8      16          -129.839429               -8.246200              -11.563885             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.146336                3.242421              2.670310             2.645404               2.657886              -0.024907              2.795793         13.553178       20.548748       16.606878      26.509316          -8.926345            
   O        8      10     18          -144.734392              -12.130547               -7.623618             0.000000            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   3.078087                2.399863              2.679168             2.801643               2.747884               0.122475              2.804255         17.633355       28.963488       10.268624      14.894964          -7.143712            
   O        8      12     20           -156.48863              -15.611185               -6.081127            -0.000001            -0.000001              -0.000001               0.000000                  -0.000002                     -0.000002                   3.008970                2.387001              2.693282             2.931356               2.838524               0.238075              2.817742         21.364206       36.635922        8.270551      11.754238         -12.417725            
   O        8      14     22          -166.483309              -18.692163               -4.727177            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000002                   2.913306                2.351428              2.712077             3.053482               2.933935               0.341405              2.835712         24.529009       43.226961        7.366554       9.994679         -18.330601            
   O        8      16     24          -173.303716              -21.397512               -2.807580            -0.000001            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   2.851388                2.340810              2.739231             3.189218               3.046616               0.449987              2.841336         27.208412       48.791731        5.756323       6.820408         -21.747368            
   O        8      18     26          -175.298423              -23.802252               -1.019064            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.820853                2.029581              2.779005             3.325269               3.167238               0.546264              2.879700         29.598773       53.683955        3.182549       1.994708         -22.486438            
   O        8      20     28           -174.63168              -25.917628                0.276321            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.803201                1.995085              2.819682             3.456323               3.287032               0.636642              2.918974         31.710860       58.000441        1.678962      -0.666744         -24.717211            
   O        8      22     30          -170.640049              -27.550219                1.406016            -0.000001            -0.000001              -0.000001               0.000000                  -0.000002                     -0.000002                   2.789184                1.577364              2.850654             3.642488               3.449153               0.791835              2.948903         32.661593       59.970370       -0.209591      -3.991631         -25.708810            
   O        8      24     32           -165.83972              -28.888266                1.769505            -0.000004            -0.000007              -0.000007              -0.000003                  -0.000031                     -0.000034                   2.758968                1.588582              2.875078             3.832214               3.616755               0.957137              2.952927         33.490604       61.695246       -0.817192      -4.800330         -26.870040            
   O        8      26     34          -161.078758              -30.186833                1.917776            -0.000003            -0.000005              -0.000005              -0.000003                  -0.000029                     -0.000031                   2.726840                1.591547              2.898212             3.985355               3.757958               1.087144              2.975456         34.511153       63.803938       -0.790417      -4.760963         -28.634284            
   O        8      28     36          -156.494287              -31.507630                2.021478            -0.000004            -0.000005              -0.000005              -0.000003                  -0.000033                     -0.000036                   2.705508                1.583372              2.920734             4.106632               3.874595               1.185899              2.997397         35.891421       66.621564       -0.704776      -4.584471         -30.919467            
   O        8      30     38          -151.953417              -32.813507                2.157812             0.000001             0.000001               0.000001               0.000001                   0.000009                      0.000010                   2.685367                1.521866              2.942518             4.208326               3.975476               1.265808              3.018628         37.449607       69.795254       -0.717817      -4.540871         -33.780693            
   O        8      32     40          -147.405328              -33.972952                2.448744            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000005                     -0.000006                   2.649579                1.505042              2.962093             4.308025               4.074563               1.345932              3.018542         39.042699       73.045473       -0.760591      -4.548090         -36.947165            
   O        8      34     42          -141.848592              -34.873074                2.830318            -0.000001             0.000000               0.000000              -0.000001                  -0.000003                     -0.000004                   2.619737                1.385036              2.976983             4.441598               4.202166               1.464615              3.033155         40.134796       75.313277       -1.333329      -5.556737         -39.188737            
   O        8      36     44          -134.870455              -35.503272                3.322464            -0.000001             0.000000               0.000000              -0.000001                  -0.000002                     -0.000003                   2.596617                1.021898              2.986292             4.630859               4.378040               1.644567              3.042292         40.596980       76.304643       -2.285602      -6.978138         -40.035140            
   O        8      38     46          -126.884844              -35.676700                3.691027             0.000000             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.579820                0.855306              2.990702             4.856432               4.586800               1.865730              3.046621           No_Data         No_Data       -3.054204      -7.985611         -40.019032            
   O        8      40     48          -118.823739              -35.801301                3.831414             0.000000             0.000000               0.000000               0.000000                  -0.000003                     -0.000003                   2.576599                0.856334              2.997424             5.052695               4.772022               2.055271              3.034148           No_Data         No_Data       -3.174733      -8.061105            No_Data            
