 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   C        6      8      14          -109.783212              -13.871388               -7.272103             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.999881                2.683654              2.489882             2.642570               2.578240               0.152688              2.624007         19.008179       32.378426       10.693710      15.429157         -10.055464            
   C        6      10     16          -118.008452              -17.717366               -4.901115             0.000000             0.000000               0.000000               0.000000                   0.000000                     -0.000001                   2.812351                2.241218              2.516785             2.814944               2.706986               0.298160              2.649549         22.657991       40.029295        6.575056       8.225240         -12.303666            
   C        6      12     18          -124.489896              -21.058208               -3.923764            -0.000002            -0.000002              -0.000002              -0.000001                  -0.000002                     -0.000003                   2.656441                2.167915              2.539940             2.960600               2.827343               0.420660              2.649735         25.727064       46.441631        5.445289       6.481444         -18.210739            
   C        6      14     20          -130.352166              -23.978521               -2.942812            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.504788                2.112382              2.563545             3.104124               2.952361               0.540580              2.672371         28.493392       52.263965        5.071284       5.862271         -24.003901            
   C        6      16     22          -133.725507              -26.352550               -1.101634            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.371611                2.229535              2.593827             3.263610               3.095348               0.669783              2.701433         30.819786       57.168009        3.857630       3.373341         -27.337306            
   C        6      18     24          -131.433715              -28.071289                0.572309            -0.000001             0.000000              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.253254                1.596729              2.636350             3.459590               3.273249               0.823240              2.721037         32.002807       59.737249        0.767236      -2.291792         -26.576218            
   C        6      20     26          -127.861832              -29.325156                1.088118            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000003                     -0.000004                   2.157233                1.498149              2.677830             3.670669               3.466881               0.992840              2.761245         32.842535       61.548531       -0.238503      -3.571883         -27.865366            
   C        6      22     28          -123.996516              -30.293405                1.384047            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000003                     -0.000004                   2.103151                1.430232              2.707529             3.896812               3.674514               1.189284              2.790057         33.350874       62.654421       -0.468468      -3.865317         -29.383215            
   C        6      24     30          -119.841908              -31.174705                1.586761            -0.000006            -0.000005              -0.000005              -0.000003                  -0.000023                     -0.000026                   2.050369                1.406018              2.729799             4.098856               3.864047               1.369057              2.790951         33.739641       63.506274       -0.659179      -4.154608         -30.199813            
   C        6      26     32          -115.529736              -32.144512                1.718798            -0.000037            -0.000030              -0.000031              -0.000021                  -0.000178                     -0.000199                   1.997135                1.390585              2.751820             4.251390               4.013132               1.499570              2.812493         34.345498       64.794183       -0.757785      -4.312173         -30.894101            
   C        6      28     34          -111.177675              -33.254511                1.813431            -0.000022            -0.000013              -0.000014              -0.000013                  -0.000088                     -0.000100                   1.942897                1.369832              2.776113             4.362514               4.127112               1.586401              2.836266         35.386158       66.974662       -0.795823      -4.352062         -32.142121            
   C        6      30     36          -106.950802              -34.443950                1.918892            -0.000007            -0.000003              -0.000003              -0.000004                  -0.000022                     -0.000027                   1.888699                1.354050              2.802062             4.443860               4.214875               1.641799              2.841312         36.607977       69.503640       -0.751496      -4.226873         -34.447790            
   C        6      32     38          -102.706112              -35.522409                2.125613            -0.000005            -0.000001              -0.000002              -0.000003                  -0.000011                     -0.000014                   1.841619                1.358400              2.825997             4.522364               4.299249               1.696367              2.864919         37.753658       71.863445       -0.766121      -4.244690         -36.958951            
