Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
88     194    282    -0.011558           -1893.646321        -1893.634763        0.050969       0.077834       0.081438       -0.003604      
90     130    220    -0.377232           -1692.461588        -1692.084356        0.103269       0.089293       -0.001148      0.090441       
90     136    226    -1.200107           -1730.874386        -1729.674279        0.174515       0.185567       0.19549        -0.009923      
90     138    228    -0.247144           -1742.580138        -1742.332994        0.159782       0.206362       0.214336       -0.007974      
90     192    282    -0.466067           -1923.186547        -1922.72048         0.063644       0.040914       0.029618       0.011296       
90     194    284    -0.307304           -1924.041826        -1923.734522        0.076251       0.054433       0.063592       -0.009159      
92     130    222    -0.390686           -1698.09842         -1697.707734        0.110742       0.087765       -0.000665      0.08843        
92     132    224    -2.54464            -1712.38438         -1709.83974         0.15531        0.128166       -0.004215      0.132381       
92     136    228    -0.867584           -1739.50665         -1738.639066        0.181918       0.196058       0.21876        -0.022702      
92     138    230    -0.0494             -1752.486629        -1752.437229        0.163463       0.221199       0.23298        -0.011781      
92     192    284    -0.545621           -1951.718877        -1951.173256        0.080676       0.039814       -0.001789      0.041603       
92     194    286    -0.70594            -1953.113439        -1952.407499        0.092279       0.045508       -0.035758      0.081266       
92     196    288    -0.379279           -1954.204898        -1953.825619        0.092521       0.045314       0.079225       -0.033911      
94     130    224    -1.583094           -1702.283575        -1700.700481        0.121546       0.082897       0.001194       0.081703       
94     132    226    -3.259727           -1717.312765        -1714.053038        0.159854       0.116824       -0.058767      0.175591       
94     136    230    -0.332308           -1746.041849        -1745.709541        0.182428       0.206757       0.237577       -0.03082       
94     188    282    -0.309883           -1972.656953        -1972.34707         0.05622        0.023434       -0.00054       0.023974       
94     190    284    -1.694044           -1975.77819         -1974.084146        0.095004       0.049568       -0.0           0.049568       
94     192    286    -2.175624           -1978.373821        -1976.198197        0.114736       0.061209       -0.04499       0.106199       
94     194    288    -1.780668           -1980.353995        -1978.573327        0.125928       0.068295       0.075949       -0.007654      
94     196    290    -0.955208           -1981.881286        -1980.926078        0.134704       0.082954       0.093198       -0.010244      
94     198    292    -0.455325           -1983.501268        -1983.045943        0.169085       0.148331       0.112078       0.036253       
96     128    224    -0.59739            -1688.324544        -1687.727154        0.0776         0.035385       -0.00068       0.036065       
96     130    226    -3.109547           -1704.843251        -1701.733704        0.134792       0.08212        -0.022735      0.104855       
96     132    228    -3.240768           -1720.793898        -1717.55313         0.166479       0.108106       0.254149       -0.146043      
96     134    230    -0.985298           -1735.530639        -1734.545341        0.193389       0.151393       0.253473       -0.10208       
96     186    282    -0.076128           -1991.731419        -1991.655291        0.037369       0.007736       -0.0           0.007736       
96     188    284    -1.871556           -1995.803692        -1993.932136        0.098629       0.047162       -0.0           0.047162       
96     190    286    -3.212173           -1999.998726        -1996.786553        0.124333       0.065421       -0.050453      0.115874       
96     192    288    -3.641795           -2003.472857        -1999.831062        0.1413         0.075766       0.080071       -0.004305      
96     194    290    -2.933006           -2006.16595         -2003.232944        0.154284       0.085578       0.099836       -0.014258      
96     196    292    -1.948681           -2008.365244        -2006.416563        0.167222       0.10295        0.118512       -0.015562      
96     198    294    -0.738562           -2010.415456        -2009.676894        0.185468       0.141132       0.170429       -0.029297      
98     126    224    -0.127862           -1670.879645        -1670.751783        0.044158       0.007604       -0.0           0.007604       
98     128    226    -1.386108           -1687.923809        -1686.537701        0.105359       0.043982       0.0            0.043982       
98     130    228    -3.320692           -1705.365536        -1702.044844        0.148692       0.083909       -0.072395      0.156304       
98     132    230    -2.771522           -1722.398068        -1719.626546        0.178246       0.109384       0.286222       -0.176838      
98     134    232    -0.897409           -1738.137436        -1737.240027        0.201054       0.1454         0.27338        -0.12798       
98     186    284    -0.786622           -2012.147216        -2011.360594        0.081967       0.025132       -0.0           0.025132       
98     188    286    -2.771411           -2017.010077        -2014.238666        0.117794       0.052339       -0.0           0.052339       
98     190    288    -3.733164           -2022.018161        -2018.284997        0.142079       0.071315       -0.063625      0.13494        
98     192    290    -4.024558           -2026.332386        -2022.307828        0.158262       0.082296       0.098666       -0.01637       
98     194    292    -3.123718           -2029.767643        -2026.643925        0.172565       0.094329       0.119987       -0.025658      
98     196    294    -1.867603           -2032.675918        -2030.808315        0.19           0.11744        0.14629        -0.02885       
98     198    296    -0.742394           -2035.591402        -2034.849008        0.203473       0.151673       0.171966       -0.020293      
98     232    330    -0.001086           -2063.123657        -2063.122571        0.02045        -0.157855      -0.160665      0.00281        
98     234    332    -0.003145           -2063.48078         -2063.477635        0.020995       -0.155181      -0.158233      0.003052       
98     236    334    -0.004634           -2063.673587        -2063.668953        0.019822       -0.151998      -0.154826      0.002828       
98     238    336    -0.002444           -2063.674983        -2063.672539        0.016156       -0.148155      -0.149965      0.00181        
98     262    360    -0.793298           -2051.999736        -2051.206438        0.073025       0.029274       0.023831       0.005443       
100    126    226    -0.424707           -1667.839364        -1667.414657        0.072548       0.01615        -0.0           0.01615        
