Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
102    230    332    -2125.941364            42.012739      0.0            3869      YES            
102    232    334    -2126.320155            41.159595      0.0            3888      YES            
102    234    336    -2126.484077            39.356477      0.0            3905      YES            
102    240    342    -2128.658734            -30.735446     0.0            3915      YES            
102    242    344    -2128.956446            -29.332671     0.0            3932      YES            
102    260    362    -2126.06324             0.148908       0.0            3951      YES            
102    262    364    -2122.726627            0.306951       0.0            3968      YES            
102    264    366    -2120.219929            14.297955      0.0            3990      YES            
104    134    238    -1733.589879            -31.77283      0.0            3996      YES            
104    182    286    -2049.479366            -4.9e-05       0.0            4021      YES            
104    184    288    -2057.586103            -1e-06         0.0            4038      YES            
104    186    290    -2063.254712            -2e-06         0.0            4055      YES            
104    188    292    -2068.438799            -7.08592       0.0            4071      YES            
104    190    294    -2074.344716            -11.719384     0.0            4088      YES            
104    192    296    -2080.897202            20.485959      0.0            4107      YES            
104    194    298    -2087.943665            53.109661      0.0            4131      YES            
104    196    300    -2093.976405            51.698753      0.0            4148      YES            
104    212    316    -2134.449174            40.984686      0.0            4160      YES            
104    214    318    -2138.121319            42.190115      0.0            4177      YES            
104    216    320    -2141.559739            43.16566       0.0            4194      YES            
104    236    340    -2157.098145            34.737884      0.0            4211      YES            
104    238    342    -2158.207363            -32.460491     0.0            4221      YES            
104    240    344    -2159.137246            -31.401492     0.0            4238      YES            
104    260    364    -2160.000468            0.257855       0.0            4257      YES            
104    262    366    -2157.016421            0.935065       0.0            4274      YES            
104    264    368    -2154.78444             14.321757      0.0            4296      YES            
106    184    290    -2071.918944            -1e-06         0.0            4310      YES            
106    186    292    -2078.211392            -1e-06         0.0            4327      YES            
106    188    294    -2083.972809            -18.123821     0.0            4341      YES            
106    190    296    -2090.534107            -18.688549     0.0            4358      YES            
106    192    298    -2097.447939            22.028728      0.0            4379      YES            
106    194    300    -2104.737492            33.666718      0.0            4396      YES            
