Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
112    194    306    0.047945            -2152.366105        -2152.31816         0.115276       0.01           -0.012229      YES
114    160    274    0.123357            -1957.79018         -1957.666823        0.218824       0.01           -0.021247      YES
114    164    278    0.12674             -1989.307342        -1989.180602        0.205697       0.01           -0.017059      YES
114    166    280    0.120022            -2003.851471        -2003.731449        0.19643        0.01           -0.017101      YES
114    192    306    0.043958            -2155.916422        -2155.872464        0.07473        0.01           -0.012761      YES
114    194    308    0.061671            -2164.427665        -2164.365994        0.101417       0.01           -0.01336       YES
116    168    284    0.098005            -2019.486465        -2019.38846         0.168614       0.01           -0.02271       YES
116    192    308    -0.037729           -2166.069471        -2166.1072          0.061338       0.01           -0.013705      YES
116    194    310    0.020413            -2175.010863        -2174.99045         0.086863       0.01           -0.014808      YES
116    196    312    0.061957            -2183.895741        -2183.833784        0.105167       0.01           -0.015451      YES
116    220    336    0.175792            -2276.332486        -2276.156694        0.196185       0.01           -0.01466       YES
116    222    338    0.164413            -2282.437366        -2282.272953        0.192979       0.01           -0.016368      YES
116    224    340    0.176819            -2288.30271         -2288.125891        0.189165       0.01           -0.015802      YES
118    194    312    -0.012138           -2183.875507        -2183.887645        -0.073584      0.01           -0.161611      YES
118    196    314    0.049819            -2193.191307        -2193.141488        0.091465       0.01           -0.014689      YES
118    198    316    0.061657            -2202.41791         -2202.356253        0.106275       0.01           -0.017514      YES
118    200    318    0.046887            -2211.495609        -2211.448722        0.119692       0.01           -0.017577      YES
118    202    320    0.076538            -2220.40389         -2220.327352        0.132869       0.01           -0.01732       YES
118    220    338    0.123389            -2291.304709        -2291.18132         0.193784       0.01           -0.016019      YES
118    222    340    0.108342            -2297.920142        -2297.8118          0.189119       0.01           -0.015989      YES
118    270    388    0.149636            -2381.93006         -2381.780424        0.06668        0.01           -0.005001      YES
118    272    390    0.169243            -2382.138089        -2381.968846        0.083395       0.01           -0.006851      YES
118    274    392    0.194287            -2382.369768        -2382.175481        0.096643       0.01           -0.007925      YES
120    194    314    -0.033957           -2191.148235        -2191.182192        -0.066044      0.01           -0.556764      YES
120    196    316    0.052056            -2200.894447        -2200.842391        -0.078143      0.01           -0.570294      NO
120    198    318    0.064819            -2210.443989        -2210.37917         -0.087196      0.010001       -0.190914      NO
120    200    320    0.068017            -2219.925354        -2219.857337        0.103404       0.01           0.478897       YES
120    202    322    0.03879             -2229.320744        -2229.281954        0.11941        0.01           -0.01951       YES
120    218    338    0.124666            -2297.596021        -2297.471355        0.198747       0.01           -0.014427      YES
120    220    340    0.119882            -2304.970602        -2304.85072         0.194849       0.01           -0.014886      YES
120    222    342    0.097865            -2312.029539        -2311.931674        0.188921       0.01           -0.015471      YES
120    270    390    0.119221            -2407.457815        -2407.338594        0.043908       0.01           -0.00843       YES
120    272    392    0.126716            -2407.831459        -2407.704743        0.065404       0.01           -0.009725      YES
120    274    394    0.159608            -2408.314712        -2408.155104        0.083687       0.01           -0.0125        YES
120    276    396    0.173               -2408.852           -2408.679           0.101489       0.01           -0.011469      YES
