Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
94     190    284    -1.939035           -1947.954368        -1946.015333        0.137535       0.082701       -0.00026       0.082961       
94     192    286    -2.421806           -1949.387128        -1946.965322        0.112855       0.120336       0.104519       0.015817       
94     194    288    -2.167513           -1951.12048         -1948.952967        0.125075       0.146784       0.149664       -0.00288       
94     196    290    -1.247948           -1952.887019        -1951.639071        0.136224       0.168332       0.182511       -0.014179      
94     198    292    -0.303839           -1954.450422        -1954.146583        0.134085       0.189107       0.200205       -0.011098      
96     128    224    -0.464082           -1678.81793         -1678.353848        0.091349       0.046457       -0.000318      0.046775       
96     130    226    -1.581771           -1694.37227         -1692.790499        0.150442       0.101771       0.114721       -0.01295       
96     132    228    -0.845004           -1710.050022        -1709.205018        0.183221       0.151885       0.173073       -0.021188      
96     134    230    -0.321363           -1726.056816        -1725.735453        0.205019       0.201107       0.215303       -0.014196      
96     136    232    -0.014622           -1741.967449        -1741.952827        0.054799       0.236148       0.237081       -0.000933      
96     162    258    -0.009204           -1890.956754        -1890.94755         0.072338       0.246907       0.233269       0.013638       
96     164    260    -0.023645           -1898.137628        -1898.113983        0.074241       0.232468       0.215564       0.016904       
96     174    270    -0.000327           -1934.323599        -1934.323272        0.036277       -0.103484      -0.122395      0.018911       
96     186    282    -0.165443           -1968.271279        -1968.105836        0.050558       0.015549       0.00024        0.015309       
96     188    284    -1.606319           -1970.510719        -1968.9044          0.09773        0.052495       0.000527       0.051968       
96     190    286    -2.939699           -1973.081283        -1970.141584        0.12214        0.076412       0.071859       0.004553       
96     192    288    -2.673446           -1974.95768         -1972.284234        0.167114       0.103691       0.109872       -0.006181      
96     194    290    -2.056146           -1977.040532        -1974.984386        0.184668       0.135388       0.15168        -0.016292      
96     196    292    -1.118548           -1979.338373        -1978.219825        0.140068       0.165995       0.188138       -0.022143      
96     198    294    -0.206094           -1981.554738        -1981.348644        0.13416        0.189742       0.2069         -0.017158      
98     126    224    -0.102678           -1662.947199        -1662.844521        0.042441       0.005846       0.0            0.005846       
98     128    226    -0.971662           -1678.757281        -1677.785619        0.103297       0.042663       -0.000341      0.043004       
98     130    228    -1.503748           -1694.865706        -1693.361958        0.157203       0.093613       0.116601       -0.022988      
98     132    230    -0.550181           -1711.193251        -1710.64307         0.187782       0.146353       0.175843       -0.02949       
98     162    260    -0.00289            -1906.127202        -1906.124312        0.061966       0.250047       0.240592       0.009455       
98     184    282    -0.141923           -1986.993019        -1986.851096        0.049211       0.013944       0.000208       0.013736       
98     186    284    -0.877232           -1989.966878        -1989.089646        0.083736       0.027329       0.000315       0.027014       
98     188    286    -2.488514           -1993.007349        -1990.518835        0.11124        0.053396       0.000776       0.05262        
98     190    288    -3.291337           -1996.257285        -1992.965948        0.131571       0.073964       0.084375       -0.010411      
98     192    290    -2.694317           -1998.808824        -1996.114507        0.144941       0.097315       0.116856       -0.019541      
98     194    292    -1.948445           -2001.471438        -1999.522993        0.192221       0.134647       0.150884       -0.016237      
98     196    294    -1.267284           -2004.4755          -2003.208216        0.143586       0.165458       0.191462       -0.026004      
98     198    296    -0.356734           -2007.324242        -2006.967508        0.141703       0.184967       0.215916       -0.030949      
98     262    360    -0.141346           -1981.800127        -1981.658781        0.048113       0.04329        0.033813       0.009477       
100    126    226    -0.33581            -1660.367384        -1660.031574        0.065061       0.009179       0.0            0.009179       
100    128    228    -1.177847           -1677.037567        -1675.85972         0.105944       0.033891       0.0            0.033891       
100    130    230    -1.227054           -1693.817454        -1692.5904          0.159413       0.08679        0.117181       -0.030391      
100    132    232    -0.361341           -1710.976848        -1710.615507        0.193983       0.144915       0.332268       -0.187353      
100    162    262    -0.000152           -1919.845699        -1919.845547        0.018287       0.246156       0.245344       0.000812       
100    168    268    -0.023784           -1943.981933        -1943.958149        0.069781       0.213414       0.194645       0.018769       
100    182    282    -0.302288           -1999.225779        -1998.923491        0.05226        0.017064       0.001448       0.015616       
100    184    284    -0.440109           -2006.300049        -2005.85994         0.07099        0.007229       0.00024        0.006989       
100    186    286    -1.283386           -2010.01986         -2008.736474        0.103746       0.025844       0.000368       0.025476       
100    188    288    -2.787203           -2013.576512        -2010.789309        0.123889       0.04431        0.00106        0.04325        
100    190    290    -3.226589           -2017.522835        -2014.296246        0.1404         0.073039       0.091779       -0.01874       
100    192    292    -2.518038           -2020.878718        -2018.36068         0.154849       0.096319       0.122235       -0.025916      
100    194    294    -1.659311           -2024.258975        -2022.599664        0.140908       0.144665       0.310179       -0.165514      
100    196    296    -1.17291            -2027.980222        -2026.807312        0.142671       0.16596        0.194747       -0.028787      
100    198    298    -0.257699           -2031.436294        -2031.178595        0.124197       0.187045       0.231468       -0.044423      
100    258    358    -0.068459           -2030.615932        -2030.547473        0.041829       0.003605       0.000374       0.003231       
100    260    360    -0.209677           -2025.923521        -2025.713844        0.06727        0.018855       0.016161       0.002694       
100    262    362    -0.764476           -2020.983769        -2020.219293        0.096209       0.036602       0.030136       0.006466       
100    264    364    -1.925432           -2016.592349        -2014.666917        0.118752       0.061577       0.048705       0.012872       
102    128    230    -0.906313           -1673.510059        -1672.603746        0.098477       0.020829       0.0            0.020829       
102    130    232    -0.176082           -1691.112686        -1690.936604        0.167039       0.090417       0.486316       -0.395899      
102    136    238    -0.025265           -1746.57201         -1746.546745        0.119253       0.355545       0.338854       0.016691       
102    182    284    -0.299419           -2016.388774        -2016.089355        0.055096       0.013468       0.002024       0.011444       
102    184    286    -0.475987           -2024.045511        -2023.569524        0.075006       0.003895       0.000253       0.003642       
102    186    288    -1.209087           -2028.291848        -2027.082761        0.098359       0.019808       0.000388       0.01942        
102    188    290    -2.528343           -2032.291405        -2029.763062        0.126361       0.038878       0.001394       0.037484       
102    190    292    -2.935534           -2037.056971        -2034.121437        0.147816       0.074391       0.324406       -0.250015      
102    192    294    -1.477825           -2041.218057        -2039.740232        0.161599       0.094737       0.320984       -0.226247      
102    194    296    -0.157077           -2045.116922        -2044.959845        0.151753       0.137482       0.321641       -0.184159      
102    256    358    -0.022966           -2069.216986        -2069.19402         0.02693        0.001797       0.000846       0.000951       
102    258    360    -0.132753           -2067.719037        -2067.586284        0.052442       0.003925       0.000542       0.003383       
102    260    362    -0.514495           -2063.453275        -2062.93878         0.076335       0.018642       0.011226       0.007416       
102    262    364    -1.114284           -2058.792416        -2057.678132        0.101892       0.034934       0.025386       0.009548       
102    264    366    -2.207975           -2054.859049        -2052.651074        0.126004       0.058961       0.053209       0.005752       
104    136    240    -0.024258           -1745.978572        -1745.954314        0.135504       0.387313       0.371326       0.015987       
104    166    270    -0.001471           -1961.364562        -1961.363091        0.066314       0.238471       0.225987       0.012484       
104    170    274    -0.030119           -1979.463292        -1979.433173        0.067499       0.207896       0.189171       0.018725       
104    182    286    -0.123796           -2032.15613         -2032.032334        0.045536       0.005669       -0.024011      0.02968        
104    184    288    -0.286615           -2040.295668        -2040.009053        0.066949       -0.000601      0.000261       -0.000862      
104    186    290    -0.854994           -2045.012667        -2044.157673        0.093832       0.00536        0.000386       0.004974       
104    188    292    -1.961975           -2049.460758        -2047.498783        0.119889       0.039513       0.394758       -0.355245      
104    190    294    -1.269162           -2054.920352        -2053.65119         0.150521       0.072725       0.369615       -0.29689       
104    258    362    -0.085973           -2103.556715        -2103.470742        0.046248       0.001008       0.000602       0.000406       
104    260    364    -0.412977           -2099.550542        -2099.137565        0.075799       0.007941       0.000664       0.007277       
104    262    366    -1.149215           -2095.231946        -2094.082731        0.102511       0.032528       0.01719        0.015338       
104    264    368    -2.248448           -2091.791156        -2089.542708        0.130001       0.058548       0.054989       0.003559       
106    184    290    -0.075824           -2055.268271        -2055.192447        0.046859       0.005478       0.000264       0.005214       
