Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
98     188    286    -1.837601           -2016.943965        -2015.106364        0.113369       0.051738       0.00099        0.050748       
98     190    288    -2.721517           -2021.339646        -2018.618129        0.141523       0.075874       0.082049       -0.006175      
98     192    290    -2.478785           -2025.212594        -2022.733809        0.165244       0.101517       0.11536        -0.013843      
98     194    292    -1.959997           -2028.99255         -2027.032553        0.186966       0.13097        0.146381       -0.015411      
98     196    294    -1.31865            -2032.788072        -2031.469422        0.202485       0.155          0.174881       -0.019881      
98     198    296    -0.497156           -2036.389154        -2035.891998        0.208938       0.178053       0.197921       -0.019868      
98     262    360    -0.297244           -2063.379929        -2063.082685        0.055622       0.045285       0.042806       0.002479       
100    126    226    -0.16863            -1667.611675        -1667.443045        0.054095       0.006367       -0.0           0.006367       
100    128    228    -1.049813           -1685.206896        -1684.157083        0.107852       0.039241       0.002917       0.036324       
100    130    230    -0.980577           -1702.970736        -1701.990159        0.160813       0.092351       0.333285       -0.240934      
100    132    232    -0.275228           -1720.695999        -1720.420771        0.18577        0.136329       0.320848       -0.184519      
100    184    284    -0.091233           -2026.454504        -2026.363271        0.043976       0.003877       -0.0           0.003877       
100    186    286    -0.764286           -2031.528235        -2030.763949        0.088735       0.022581       -0.0           0.022581       
100    188    288    -2.095586           -2036.43294         -2034.337354        0.123119       0.049666       -0.0           0.049666       
100    190    290    -2.632013           -2041.534116        -2038.902103        0.153689       0.077198       0.094061       -0.016863      
100    192    292    -2.221961           -2046.165026        -2043.943065        0.178061       0.104426       0.125369       -0.020943      
100    194    294    -1.621055           -2050.680737        -2049.059682        0.198031       0.135867       0.15081        -0.014943      
100    196    296    -1.1118             -2055.237503        -2054.125703        0.208371       0.16022        0.174175       -0.013955      
100    198    298    -0.425834           -2059.519098        -2059.093264        0.206675       0.181986       0.195012       -0.013026      
100    260    360    -0.027237           -2101.803786        -2101.776549        0.020128       2.3e-05        -0.001317      0.00134        
100    262    362    -0.398315           -2099.292452        -2098.894137        0.070047       0.042978       0.045332       -0.002354      
100    264    364    -0.67326            -2097.356619        -2096.683359        0.09465        0.067522       0.0694         -0.001878      
102    128    230    -0.874339           -1681.651674        -1680.777335        0.110744       0.03466        -0.007109      0.041769       
102    130    232    -0.478289           -1700.281999        -1699.80371         0.166115       0.092282       -0.290501      0.382783       
102    132    234    -0.44365            -1718.85168         -1718.40803         0.179354       0.141393       -0.29791       0.439303       
102    184    286    -0.14745            -2043.338077        -2043.190627        0.053957       0.003302       -0.000283      0.003585       
102    186    288    -0.766623           -2048.938466        -2048.171843        0.091075       0.017287       -0.0           0.017287       
102    188    290    -1.993791           -2054.317445        -2052.323654        0.127698       0.046688       0.003064       0.043624       
102    190    292    -2.4102             -2060.137355        -2057.727155        0.161375       0.077381       0.099447       -0.022066      
102    192    294    -1.920096           -2065.431051        -2063.510955        0.18675        0.103908       0.131247       -0.027339      
102    194    296    -1.09717            -2070.467005        -2069.369835        0.198976       0.138095       0.156183       -0.018088      
102    196    298    -0.525203           -2075.666052        -2075.140849        0.199157       0.167603       0.176723       -0.00912       
102    260    362    -0.117658           -2136.458212        -2136.340554        0.042044       0.003138       -0.000372      0.00351        
102    262    364    -0.35468            -2134.036519        -2133.681839        0.073865       0.020298       0.043602       -0.023304      
102    264    366    -0.611895           -2132.372685        -2131.76079         0.101312       0.065427       0.071299       -0.005872      
104    184    288    -0.094054           -2058.874974        -2058.78092         0.04842        0.000411       -0.0           0.000411       
104    186    290    -0.5806             -2064.938807        -2064.358207        0.086068       0.010444       -0.0           0.010444       
104    188    292    -1.677329           -2070.771233        -2069.093904        0.127214       0.042883       0.005641       0.037242       
104    190    294    -2.024706           -2077.186235        -2075.161529        0.164726       0.075058       0.100496       -0.025438      
104    192    296    -1.529095           -2083.010971        -2081.481876        0.185166       0.097752       0.134237       -0.036485      
104    194    298    -0.417661           -2088.583856        -2088.166195        0.183955       0.145137       0.348885       -0.203748      
104    196    300    -0.232214           -2094.618783        -2094.386569        0.160106       0.179731       0.181404       -0.001673      
104    260    364    -0.102042           -2169.95073         -2169.848688        0.041881       0.001855       0.00019        0.001665       
104    262    366    -0.361502           -2167.745371        -2167.383869        0.071797       0.013299       0.038304       -0.025005      
104    264    368    -0.519338           -2166.247534        -2165.728196        0.104877       0.061918       0.069804       -0.007886      
106    184    290    -0.011148           -2073.142724        -2073.131576        0.025141       -0.000649      -0.0           -0.000649      
106    186    292    -0.336239           -2079.649274        -2079.313035        0.075295       0.004703       0.000556       0.004147       
106    188    294    -1.269243           -2085.914232        -2084.644989        0.12298        0.038642       0.007218       0.031424       
106    190    296    -1.683101           -2092.830395        -2091.147294        0.159686       0.068485       0.097506       -0.029021      
106    192    298    -1.132052           -2099.179602        -2098.04755         0.179193       0.089028       0.133211       -0.044183      
106    194    300    -0.389952           -2105.438789        -2105.048837        0.153478       0.155188       0.16495        -0.009762      
106    196    302    -0.138522           -2112.209501        -2112.070979        0.076358       0.185322       0.187146       -0.001824      
106    260    366    -0.033331           -2202.355298        -2202.321967        0.02887        0.000781       0.000428       0.000353       
106    262    368    -0.275189           -2200.385335        -2200.110146        0.065634       0.00692        0.000354       0.006566       
106    264    370    -0.440587           -2199.034239        -2198.593652        0.104498       0.056039       0.066408       -0.010369      
108    186    294    -0.098448           -2093.135397        -2093.036949        0.055264       0.001178       -0.000376      0.001554       
108    188    296    -0.832826           -2099.814186        -2098.98136         0.11539        0.034598       -0.004214      0.038812       
108    190    298    -1.370491           -2107.199345        -2105.828854        0.154181       0.063115       0.091176       -0.028061      
108    192    300    -0.920705           -2114.109717        -2113.189012        0.172617       0.080469       0.127513       -0.047044      
108    194    302    -0.186497           -2120.949163        -2120.762666        0.124551       0.155758       0.162058       -0.0063        
108    262    370    -0.1129             -2231.976114        -2231.863214        0.053403       0.003552       0.000931       0.002621       
108    264    372    -0.398506           -2230.784743        -2230.386237        0.101708       0.048366       0.059832       -0.011466      
108    266    374    -0.804909           -2229.933838        -2229.128929        0.123487       0.070193       0.084869       -0.014676      
108    268    376    -0.90537            -2228.918194        -2228.012824        0.136926       0.087806       0.106703       -0.018897      
108    270    378    -0.46962            -2227.576852        -2227.107232        0.166288       0.108011       0.126562       -0.018551      
108    272    380    -0.22947            -2226.595437        -2226.365967        0.139073       0.137254       0.144011       -0.006757      
110    188    298    -0.373376           -2112.466994        -2112.093618        0.101948       0.031695       -0.002376      0.034071       
110    190    300    -1.086642           -2120.332615        -2119.245973        0.146699       0.059134       0.081821       -0.022687      
110    192    302    -0.808068           -2127.820993        -2127.012925        0.167992       0.075332       0.11704        -0.041708      
