Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
118    196    314    -0.043431           -2193.234738        -2193.191307        0.049531       0.106154       15.250587      
118    198    316    -0.014167           -2202.432077        -2202.41791         0.034535       0.123789       18.077188      
118    200    318    -0.00992            -2211.505529        -2211.495609        0.037416       0.137269       20.745823      
118    202    320    -0.010935           -2220.414825        -2220.40389         0.04011        0.150189       23.468096      
118    220    338    -0.001553           -2291.306262        -2291.304709        0.036429       0.209803       38.912858      
118    222    340    -0.000814           -2297.920956        -2297.920142        0.036031       0.205108       38.403623      
118    270    388    -0.017896           -2381.947956        -2381.93006         0.018923       0.071681       17.170142      
118    272    390    -0.027888           -2382.165977        -2382.138089        0.024519       0.090246       21.858587      
118    274    392    -0.010035           -2382.379803        -2382.369768        -0.01695       0.104568       25.754026      
120    198    318    -0.074668           -2210.518657        -2210.443989        0.076357       0.103718       -14.66759      
120    202    322    -0.021099           -2229.341843        -2229.320744        0.038644       0.13892        20.994211      
120    218    338    -0.001627           -2297.597648        -2297.596021        0.030365       0.213174       39.742436      
120    220    340    -0.001555           -2304.972157        -2304.970602        0.032394       0.209735       39.395719      
120    222    342    -0.002012           -2312.031551        -2312.029539        0.03457        0.204392       38.641539      
120    270    390    -0.15834            -2407.616155        -2407.457815        0.05119        0.052338       11.196085      
120    272    392    -0.205781           -2408.03724         -2407.831459        0.059437       0.075129       16.990367      
120    274    394    -0.236563           -2408.551275        -2408.314712        0.063702       0.096187       22.112662      
120    276    396    -0.209665           -2409.061665        -2408.852           0.063582       0.112958       27.406902      
14     2      16     -0.040608           12.30713            12.347738           -0.0           -0.359522      -1.169178      
84     136    220    -0.254983           -1695.137714        -1694.882731        0.079273       0.088971       8.151369       
86     134    220    -0.949872           -1698.530637        -1697.580765        0.123869       0.12485        10.913588      
86     136    222    -0.880052           -1708.589775        -1707.709723        0.135448       0.142433       13.059482      
86     138    224    -0.559124           -1718.167457        -1717.608333        0.136167       0.157907       15.111344      
88     136    224    -1.251062           -1720.488669        -1719.237607        0.162587       0.170027       16.16183       
88     138    226    -0.772886           -1731.243767        -1730.470881        0.162041       0.188008       18.334415      
90     130    220    -0.966911           -1691.029843        -1690.062932        0.116445       0.107341       9.553094       
90     132    222    -1.216401           -1704.685047        -1703.468646        0.144004       0.143479       13.199613      
120    194    314    -0.519295           -2191.66753         -2191.148235        7e-05          0.49072        -10.716103     
120    196    316    -1.284347           -2202.178794        -2200.894447        0.002199       0.492151       -12.898546     
120    200    320    -0.06939            -2219.994744        -2219.925354        3.3e-05        -0.375493      17.750157      
