Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
102    260    362    -2055.47274             0.428474       99.997855      0.0            1171      YES            
102    262    364    -2052.145537            0.429067       101.306184     0.0            1175      YES            
102    264    366    -2048.648837            0.424651       101.287442     0.0            1179      YES            
104    136    240    -1745.954314            0.371326       40.247471      0.0            146       YES            
104    166    270    -1958.904829            0.413183       55.53666       0.0            1183      YES            
104    170    274    -1978.671228            0.40991        56.522936      0.0            1187      YES            
104    182    286    -2029.412952            -0.152616      -21.427852     0.0            1189      YES            
104    184    288    -2035.162631            0.425993       64.49783       0.0            1195      YES            
104    186    290    -2041.353679            0.413149       63.081499      0.0            1198      YES            
104    188    292    -2047.498783            0.394758       60.654866      0.0            1202      YES            
104    190    294    -2053.65119             0.369615       57.122438      0.0            1206      YES            
104    258    362    -2096.378142            0.393763       90.52354       0.0            1210      YES            
104    260    364    -2093.510573            0.395922       92.074725      0.0            1214      YES            
104    262    366    -2090.51348             0.39813        93.645516      0.0            1218      YES            
104    264    368    -2087.397166            0.401227       95.470326      0.0            1223      YES            
106    184    290    -2051.067429            0.423224       64.666732      0.0            1227      YES            
106    186    292    -2057.966819            0.408669       62.985271      0.0            1230      YES            
106    188    294    -2064.882981            0.393493       61.119014      0.0            1234      YES            
106    190    296    -2071.705099            0.379897       59.467479      0.0            1238      YES            
106    192    298    -2078.33722             0.367034       57.90378       0.0            1242      YES            
106    258    364    -2133.045841            0.385677       88.910417      0.0            1246      YES            
106    260    366    -2130.552944            0.386465       90.093203      0.0            1250      YES            
106    262    368    -2127.901249            0.386528       91.096643      0.0            1254      YES            
106    264    370    -2125.124915            0.384247       91.489723      0.0            1258      YES            
108    186    294    -2072.782965            0.413807       64.534483      0.0            1263      YES            
108    188    296    -2080.267127            0.399769       62.837416      0.0            1266      YES            
108    190    298    -2087.660708            0.388456       61.590313      0.0            1270      YES            
108    192    300    -2094.896273            0.379403       60.717378      0.0            1274      YES            
108    194    302    -2101.85898             0.369461       59.6549        0.0            1278      YES            
108    260    368    -2165.934941            0.387146       90.643764      0.0            1282      YES            
108    262    370    -2163.674927            0.386782       91.521021      0.0            1286      YES            
108    264    372    -2161.264655            0.384183       91.81904       0.0            1290      YES            
108    266    374    -2158.727899            0.378632       91.321876      0.0            1294      YES            
110    188    298    -2093.99754             0.407968       65.016567      0.0            1299      YES            
110    190    300    -2102.055386            0.396325       63.698934      0.0            1302      YES            
110    194    304    -2117.651082            0.380971       62.405779      0.0            1306      YES            
110    196    306    -2124.816879            0.368836       60.925884      0.0            1310      YES            
110    262    372    -2197.465813            0.388312       92.495462      0.0            1314      YES            
112    162    274    -1959.679974            0.482782       67.897662      0.0            1319      YES            
112    188    300    -2106.120258            0.416163       67.212639      0.0            168       YES            
112    190    302    -2114.869497            0.403333       65.716242      0.0            1322      YES            
112    192    304    -2123.537221            0.395688       65.082737      0.0            188       YES            
112    274    386    -2219.375367            0.352047       89.01319       0.0            205       YES            
112    276    388    -2217.391757            0.347667       88.69748       0.0            226       YES            
112    284    396    -2205.702154            0.335325       88.722268      0.0            1326      YES            
112    286    398    -2202.231977            0.319997       85.0692        0.0            1330      YES            
114    160    274    -1945.477302            0.486978       68.759767      0.0            1335      YES            
114    162    276    -1961.521043            0.482053       68.737357      0.0            1339      YES            
114    190    304    -2126.043195            0.414875       68.461104      0.0            1342      YES            
114    192    306    -2135.216945            0.406378       67.674083      0.0            251       YES            
114    272    386    -2253.446374            0.362527       91.502779      0.0            268       YES            
114    274    388    -2252.116069            0.356757       90.852036      0.0            289       YES            
114    284    398    -2240.675413            0.335215       89.194073      0.0            1346      YES            
114    286    400    -2237.56303             0.327508       87.780216      0.0            1350      YES            
114    288    402    -2235.990668            0.235451       62.248154      0.0            1354      YES            
114    290    404    -2233.710531            0.231197       61.724308      0.0            1358      YES            
114    292    406    -2231.206641            0.22871        61.662735      0.0            1362      YES            
114    296    410    -2225.265656            0.22602        62.140179      0.0            1366      YES            
116    160    276    -1944.790029            0.482912       68.950835      0.0            1371      YES            
116    190    306    -2135.919269            0.430914       72.105735      0.0            1374      YES            
116    192    308    -2145.45488             0.420307       70.918221      0.0            1378      YES            
116    194    310    -2154.804282            0.412684       70.29249       0.0            1382      YES            
116    284    400    -2274.20936             0.335507       89.787197      0.0            1386      YES            
116    286    402    -2271.517591            0.330974       89.324471      0.0            1391      YES            
116    288    404    -2268.71971             0.321763       87.389664      0.0            1395      YES            
116    290    406    -2267.952236            0.235218       63.111735      0.0            1398      YES            
116    292    408    -2265.831794            0.228883       61.992353      0.0            1402      YES            
116    294    410    -2263.431459            0.225678       61.700764      0.0            1406      YES            
116    296    412    -2260.702966            0.223718       61.728025      0.0            1410      YES            
116    298    414    -2257.73949             0.222213       61.863763      0.0            1414      YES            
116    300    416    -2254.680889            0.220438       61.919872      0.0            1418      YES            
118    190    308    -2142.887238            -0.350378      -58.99231      0.0            1421      YES            
118    194    312    -2164.253719            0.42563        73.534703      0.0            1426      YES            
118    208    326    -2219.336188            -0.388399      -73.575073     0.0            1429      YES            
118    210    328    -2226.296171            -0.390493      -74.85731      0.0            1433      YES            
118    264    382    -2312.869474            -0.378699      -95.247683     0.0            1437      YES            
118    266    384    -2312.512349            -0.386134      -98.461246     0.0            1441      YES            
118    286    404    -2304.124618            0.312113       84.142462      0.0            1446      YES            
118    288    406    -2302.787986            0.257064       68.931696      0.0            1450      YES            
118    290    408    -2300.919038            0.241924       65.326567      0.0            1454      YES            
118    292    410    -2299.092201            0.228143       62.118272      0.0            1458      YES            
118    294    412    -2297.10968             0.2226         61.161521      0.0            1462      YES            
118    296    414    -2294.817154            0.220086       61.0156        0.0            1466      YES            
118    298    416    -2292.30276             0.218567       61.130799      0.0            1470      YES            
118    300    418    -2289.70787             0.217367       61.333835      0.0            1474      YES            
120    190    310    -2149.323572            -0.356021      -60.649764     0.0            1477      YES            
120    192    312    -2160.24143             -0.360847      -62.273125     0.0            1481      YES            
120    196    316    -2182.387714            0.471055       84.398243      0.0            314       YES            
120    198    318    -2191.857484            0.472119       85.600698      0.0            1486      YES            
120    210    330    -2240.463584            -0.394546      -76.438571     0.0            1489      YES            
120    212    332    -2247.752236            -0.396041      -77.611987     0.0            1493      YES            
120    266    386    -2341.144719            -0.392133      -100.901735    0.0            1497      YES            
120    268    388    -2341.256252            -0.396023      -103.13757     0.0            1501      YES            
120    288    408    -2334.462378            0.263802       71.282264      0.0            1506      YES            
120    290    410    -2332.802526            0.249226       67.740616      0.0            1510      YES            
120    292    412    -2331.131091            0.231081       63.206062      0.0            1514      YES            
120    294    414    -2329.538566            0.21991        60.670216      0.0            1518      YES            
120    296    416    -2327.683836            0.216614       60.293909      0.0            1522      YES            
120    298    418    -2325.628175            0.215311       60.462598      0.0            1526      YES            
