Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
112    266    378    -2289.212605            0.387055       96.560525      0.0            743       YES            
112    268    380    -2289.475319            0.377878       95.070005      0.0            747       YES            
114    266    380    -2316.383571            -0.333822      -83.676474     0.0            750       YES            
114    268    382    -2318.537269            0.392629       99.637867      0.0            755       YES            
114    280    394    -2319.124223            0.357459       95.487712      0.0            759       YES            
114    282    396    -2318.565269            0.355341       95.806867      0.0            763       YES            
114    288    402    -2314.59897             -0.310944      -86.427864     0.0            766       YES            
116    190    306    -2152.163915            -0.352605      -59.112804     0.0            770       YES            
116    266    382    -2344.360462            -0.339257      -85.678024     0.0            774       YES            
116    268    384    -2345.197363            -0.336641      -85.840538     0.0            778       YES            
116    270    386    -2345.902006            -0.3336        -85.866412     0.0            782       YES            
116    272    388    -2346.48915             -0.330577      -85.876421     0.0            786       YES            
116    282    398    -2348.778014            0.365399       99.294976      0.0            791       YES            
116    284    400    -2348.38259             0.366442       100.585837     0.0            795       YES            
118    190    308    -2160.352343            -0.357018      -60.583159     0.0            798       YES            
118    266    384    -2370.948727            -0.346459      -88.267277     0.0            802       YES            
118    268    386    -2372.081684            -0.345         -88.759245     0.0            806       YES            
118    270    388    -2373.074648            -0.342771      -89.029086     0.0            810       YES            
118    272    390    -2373.951133            -0.340211      -89.193358     0.0            814       YES            
120    190    310    -2166.731934            -0.363815      -62.498935     0.0            818       YES            
120    216    336    -2286.610706            -0.404381      -81.947409     0.0            822       YES            
120    240    360    -2360.056839            0.454393       103.205922     0.0            82        YES            
120    264    384    -2394.508786            -0.35852       -91.395889     0.0            826       YES            
120    266    386    -2396.298454            -0.358653      -92.346439     0.0            830       YES            
120    268    388    -2397.845072            -0.358939      -93.349052     0.0            834       YES            
120    270    390    -2399.194418            -0.358873      -94.263817     0.0            838       YES            
120    272    392    -2400.389638            -0.358235      -95.022404     0.0            842       YES            
