Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
80     138    218    -0.453002           -1668.436351        -1667.983349        0.097675       -0.008474      0.0            -0.008474      
80     140    220    -0.047732           -1674.849269        -1674.801537        0.097557       -0.028042      -0.076166      0.048124       
82     134    216    -0.116743           -1672.589163        -1672.47242         0.05058        0.006042       0.0            0.006042       
82     136    218    -0.368039           -1680.833998        -1680.465959        0.073756       0.008281       0.0            0.008281       
82     138    220    -0.349799           -1688.341778        -1687.991979        0.07729        0.004521       0.0            0.004521       
82     140    222    -0.196684           -1695.365777        -1695.169093        0.070711       -0.002074      0.0            -0.002074      
82     142    224    -0.074834           -1702.22466         -1702.149826        0.060222       -0.011265      0.000569       -0.011834      
84     132    216    -0.939399           -1673.029373        -1672.089974        0.114048       0.061492       0.0            0.061492       
84     134    218    -1.407343           -1682.668544        -1681.261201        0.132455       0.060176       0.0            0.060176       
84     136    220    -0.794941           -1691.584498        -1690.789557        0.142311       0.058382       0.117777       -0.059395      
84     154    238    -0.002542           -1767.113091        -1767.110549        0.067191       0.242217       0.230819       0.011398       
84     156    240    -0.005699           -1774.057438        -1774.051739        0.069738       0.238933       0.226132       0.012801       
84     158    242    -0.008995           -1780.798222        -1780.789227        0.068698       0.230731       0.217273       0.013458       
84     160    244    -0.017195           -1787.221163        -1787.203968        0.06311        0.212689       0.199135       0.013554       
84     162    246    -0.015306           -1793.452912        -1793.437606        0.052258       0.182222       0.167559       0.014663       
84     194    278    -0.158638           -1856.291357        -1856.132719        0.05762        0.013086       0.0            0.013086       
84     196    280    -0.366787           -1856.012852        -1855.646065        0.075466       0.01163        0.0            0.01163        
84     198    282    -0.372561           -1855.258799        -1854.886238        0.083419       -0.006898      -0.033371      0.026473       
86     130    216    -1.476153           -1670.583583        -1669.10743         0.122174       0.087919       0.07233        0.015589       
86     132    218    -2.137608           -1682.27172         -1680.134112        0.161248       0.107546       0.103722       0.003824       
86     134    220    -1.886338           -1693.040879        -1691.154541        0.183738       0.132402       0.130214       0.002188       
86     136    222    -1.141459           -1703.319059        -1702.1776          0.196991       0.152949       0.153261       -0.000312      
86     138    224    -0.366266           -1713.351448        -1712.985182        0.137505       0.17897        0.171224       0.007746       
86     140    226    -0.179574           -1723.695592        -1723.516018        0.091947       0.190955       0.184472       0.006483       
86     142    228    -0.017018           -1733.748154        -1733.731136        0.040303       0.196647       0.195017       0.00163        
86     152    238    -0.002791           -1779.028924        -1779.026133        0.055642       0.231881       0.223423       0.008458       
86     154    240    -0.003893           -1786.801378        -1786.797485        0.061085       0.229334       0.218563       0.010771       
86     156    242    -0.013903           -1794.33432         -1794.320417        0.063107       0.224355       0.211712       0.012643       
86     158    244    -0.016151           -1801.702354        -1801.686203        0.063151       0.216506       0.202554       0.013952       
86     160    246    -0.016334           -1808.8895          -1808.873166        0.060237       0.204865       0.190252       0.014613       
86     164    250    -0.018743           -1822.575622        -1822.556879        0.051809       0.176924       0.161511       0.015413       
86     192    278    -0.270403           -1884.862865        -1884.592462        0.060337       0.040802       0.0            0.040802       
86     194    280    -0.667665           -1885.826469        -1885.158804        0.133158       0.106328       0.086054       0.020274       
86     196    282    -0.286854           -1886.389373        -1886.102519        0.14173        0.125014       0.123997       0.001017       
88     128    216    -0.570401           -1662.69283         -1662.122429        0.081078       0.069147       -0.0           0.069147       
88     130    218    -2.402534           -1677.040388        -1674.637854        0.140198       0.108738       0.095435       0.013303       
88     132    220    -2.976679           -1690.099442        -1687.122763        0.174835       0.135758       0.128243       0.007515       
88     134    222    -2.912044           -1702.69119         -1699.779146        0.199112       0.162946       0.156365       0.006581       
88     136    224    -2.00015            -1714.380246        -1712.380096        0.212898       0.18387        0.18094        0.00293        
88     138    226    -1.166865           -1725.647213        -1724.480348        0.203946       0.204087       0.198262       0.005825       
88     140    228    -0.629355           -1736.763885        -1736.13453         0.165305       0.219055       0.20966        0.009395       
88     142    230    -0.20871            -1747.580503        -1747.371793        0.111161       0.224902       0.218464       0.006438       
88     144    232    -0.02088            -1758.159888        -1758.139008        0.025276       0.227188       0.226659       0.000529       
88     154    242    -0.006114           -1804.622125        -1804.616011        0.057827       0.23507        0.226005       0.009065       
88     156    244    -0.010914           -1812.717327        -1812.706413        0.063915       0.230543       0.218464       0.012079       
88     158    246    -0.017684           -1820.706982        -1820.689298        0.065615       0.223683       0.209965       0.013718       
88     160    248    -0.020728           -1828.515797        -1828.495069        0.064474       0.213926       0.198986       0.01494        
88     162    250    -0.023394           -1836.070581        -1836.047187        0.061633       0.201847       0.185855       0.015992       
88     172    260    -0.001834           -1870.380247        -1870.378413        0.032728       -0.101688      -0.118282      0.016594       
88     190    278    -0.912864           -1911.727656        -1910.814792        0.114559       0.084676       0.000292       0.084384       
88     192    280    -1.813662           -1913.675177        -1911.861515        0.152865       0.110117       0.029556       0.080561       
88     194    282    -2.008878           -1915.441165        -1913.432287        0.173282       0.131919       0.119414       0.012505       
