Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
116    286    402    -2335.440049            57.764372      0.0            4532      YES            
116    288    404    -2335.023858            59.116892      0.0            4549      YES            
116    290    406    -2334.412407            60.220696      0.0            4566      YES            
116    292    408    -2333.578879            61.120769      0.0            4583      YES            
116    294    410    -2332.540099            61.86366       0.0            4600      YES            
118    192    310    -2164.465287            -8.476986      0.0            4612      YES            
118    194    312    -2173.893714            -12.5271       0.0            4629      YES            
118    196    314    -2183.329779            -22.594865     0.0            4646      YES            
118    198    316    -2192.341971            -24.517226     0.0            4664      YES            
118    266    384    -2363.64163             0.83327        0.0            4681      YES            
118    268    386    -2363.255812            3.291857       0.0            4698      YES            
118    270    388    -2362.925556            -88.860671     0.0            4710      YES            
118    272    390    -2363.467447            -89.033905     0.0            4728      YES            
118    278    396    -2364.355579            44.713901      0.0            4756      YES            
118    280    398    -2364.788909            48.777753      0.0            4772      YES            
118    282    400    -2365.141335            51.787314      0.0            4790      YES            
118    284    402    -2365.331333            54.17667       0.0            4807      YES            
118    286    404    -2365.380714            56.133129      0.0            4824      YES            
118    288    406    -2365.275208            57.765256      0.0            4841      YES            
118    290    408    -2365.008079            59.117245      0.0            4858      YES            
118    292    410    -2364.556515            60.300659      0.0            4872      YES            
118    294    412    -2363.902647            61.157353      0.0            4889      YES            
118    296    414    -2363.059337            61.847089      0.0            4906      YES            
120    192    312    -2171.249369            -6.216754      0.0            4918      YES            
120    194    314    -2181.304283            -21.604879     0.0            4935      YES            
120    196    316    -2191.26294             -24.977222     0.0            4952      YES            
120    204    324    -2229.14311             -47.751404     0.0            4967      YES            
120    266    386    -2389.060624            0.579822       0.0            4988      YES            
120    268    388    -2389.103191            1.414802       0.0            5005      YES            
120    270    390    -2389.102611            5.67499        0.0            5022      YES            
120    272    392    -2389.518181            -67.10226      0.0            5035      YES            
120    278    398    -2391.815847            43.425508      0.0            5062      YES            
120    280    400    -2392.648357            46.989605      0.0            5079      YES            
120    282    402    -2393.310429            49.713496      0.0            5096      YES            
120    284    404    -2393.807378            52.012487      0.0            5113      YES            
120    286    406    -2394.146405            54.095862      0.0            5130      YES            
120    288    408    -2394.346545            56.010572      0.0            5147      YES            
120    290    410    -2394.399742            57.698552      0.0            5164      YES            
120    292    412    -2394.305397            59.08994       0.0            5181      YES            
120    294    414    -2394.044736            60.3039        0.0            5195      YES            
120    296    416    -2393.599274            61.087813      0.0            5212      YES            
