Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
110    232    342    -0.004963           -2230.620008        -2230.615045        0.014966       0.218645       0.217959       0.000686       
112    162    274    0.033258            -1968.107098        -1968.140356        0.048448       0.239278       0.232755       0.006523       
112    190    302    0.029448            -2129.984583        -2130.014031        0.052294       0.403321       0.401156       0.002165       
114    192    306    -0.012172           -2149.479754        -2149.467582        0.029412       0.096243       0.068545       0.027698       
114    198    312    0.015798            -2175.923247        -2175.939045        0.154332       0.432312       0.416498       0.015814       
114    200    314    -0.001107           -2183.858005        -2183.856898        0.12109        0.426861       0.416961       0.0099         
114    208    322    -0.001384           -2213.216714        -2213.21533         0.017456       0.197716       0.19654        0.001176       
114    220    334    -0.001097           -2250.329214        -2250.328117        0.020439       0.20759        0.206124       0.001466       
114    244    358    -0.011438           -2291.441653        -2291.430215        0.037221       0.159241       0.150042       0.009199       
116    212    328    -0.002166           -2241.513633        -2241.511467        0.023558       0.196151       0.194126       0.002025       
116    214    330    -0.000675           -2248.385008        -2248.384333        0.013241       0.197887       0.197261       0.000626       
116    228    344    -0.004431           -2288.524175        -2288.519744        0.038934       0.191132       0.184173       0.006959       
116    240    356    -0.007328           -2310.884822        -2310.877494        0.038234       0.160661       0.150715       0.009946       
118    218    336    -0.002038           -2276.275563        -2276.273525        0.023942       0.196705       0.194598       0.002107       
118    236    354    -0.000908           -2324.783055        -2324.782147        0.019377       0.151172       0.148356       0.002816       
118    238    356    -0.016236           -2328.689696        -2328.67346         0.037442       0.151777       0.140344       0.011433       
118    240    358    -0.002184           -2332.281706        -2332.279522        0.03897        0.145638       0.13184        0.013798       
120    166    286    0.018333            -1996.142548        -1996.160881        0.018996       0.498353       0.498542       -0.000189      
120    168    288    0.018001            -2012.888565        -2012.906566        0.019079       0.496441       0.496349       9.2e-05        
120    232    352    -0.006286           -2332.88782         -2332.881534        0.027169       0.153842       0.149638       0.004204       
120    280    400    -0.00602            -2383.000995        -2382.994975        0.018401       0.077684       0.062786       0.014898       
120    294    414    -0.013109           -2377.649241        -2377.636132        0.053963       0.215426       0.204733       0.010693       
120    298    418    -0.003394           -2374.910247        -2374.906853        0.064186       0.219827       0.205548       0.014279       
106    190    296    -1.486227           -2090.152179        -2088.665952        2.5e-05        0.355345       -9e-06         0.355354       
106    244    350    -0.195721           -2180.781889        -2180.586168        0.004384       0.365934       0.268611       0.097323       
106    264    370    -0.451686           -2170.997646        -2170.54596         4.7e-05        0.357111       0.003635       0.353476       
112    198    310    -1.254483           -2163.345752        -2162.091269        0.000245       0.375793       0.166161       0.209632       
120    284    404    -0.297816           -2381.934595        -2381.636779        -1.6e-05       -0.363477      0.094171       -0.457648      
120    286    406    -0.263077           -2381.325769        -2381.062692        1.8e-05        -0.363506      0.182776       -0.546282      
