Z      N      A      Binding_Energy_(MeV)    Q20_T          Q30_T          fileID                Convergence    
28     14     42     -218.445722             -1.767063      0.000229       blockblock1b-002119   YES            
28     16     44     -266.994353             -1.435954      0.001797       blockblock1b-002210   YES            
28     18     46     -312.22483              -0.677951      1.3e-05        blockblock1b-002296   YES            
28     20     48     -355.148027             -0.010934      0.0            blockblock1b-002359   YES            
28     22     50     -390.53908              0.000472       -0.0           blockblock1b-002438   YES            
28     24     52     -423.723851             1.117491       -0.000179      blockblock1b-002543   YES            
28     26     54     -454.939965             0.816742       -0.000549      blockblock1b-002603   YES            
28     28     56     -483.797466             0.000341       -0.0           blockblock1b-002663   YES            
28     30     58     -506.858416             0.006207       -2.6e-05       blockblock1b-002739   YES            
28     32     60     -527.311138             -0.022562      -1.3e-05       blockblock1b-002812   YES            
28     34     62     -545.559903             -1.112437      0.005204       blockblock1b-002869   YES            
28     36     64     -562.36495              -0.856801      0.000666       blockblock1b-002959   YES            
28     38     66     -578.356273             -0.003164      1e-06          blockblock1b-003065   YES            
28     40     68     -593.153292             -0.001938      -1e-06         blockblock1b-003080   YES            
28     42     70     -605.2026               -0.004678      -0.0           blockblock1b-003155   YES            
28     44     72     -615.826243             -0.011356      -0.0           blockblock1b-003244   YES            
28     46     74     -625.965226             0.079381       -0.000364      blockblock1b-003362   YES            
28     48     76     -635.773475             -0.013235      2.6e-05        blockblock1b-003437   YES            
28     50     78     -644.054548             0.008077       9e-06          blockblock1b-003522   YES            
28     52     80     -647.877467             0.060253       3.6e-05        blockblock1b-003537   YES            
28     54     82     -650.87111              0.149066       0.000461       blockblock1b-003671   YES            
28     56     84     -653.233717             0.134185       1e-06          blockblock1b-003686   YES            
28     58     86     -654.469337             0.019393       1.1e-05        blockblock1b-003774   YES            
28     60     88     -654.687288             -1.7e-05       1e-06          blockblock1b-003848   YES            
28     62     90     -654.209572             -0.160176      6e-06          blockblock1b-003967   YES            
28     64     92     -653.383308             -1.563611      0.000131       blockblock1b-003997   YES            
28     66     94     -652.234658             -0.044301      -1.2e-05       blockblock1b-004074   YES            
28     68     96     -651.085427             -0.0           0.0            blockblock1b-004133   YES            
28     70     98     -649.433951             -0.002042      1e-06          blockblock1b-004207   YES            
28     72     100    -646.880599             -0.006377      4e-06          blockblock1b-004327   YES            
28     74     102    -643.959672             6.976787       -0.00028       blockblock1b-004404   YES            
28     76     104    -641.257957             7.262913       0.000183       blockblock1b-004494   YES            
28     78     106    -637.820738             7.511113       -0.000281      blockblock1b-004570   YES            
30     18     48     -304.074729             -0.715547      4.9e-05        blockblock1b-004606   YES            
30     20     50     -349.512252             0.014943       2e-05          blockblock1b-004707   YES            
30     22     52     -387.344589             0.002773       -5e-06         blockblock1b-004778   YES            
30     24     54     -423.365519             1.103869       -9.9e-05       blockblock1b-004868   YES            
30     26     56     -457.338457             1.155266       0.000104       blockblock1b-004899   YES            
30     28     58     -488.324875             0.015018       9.7e-05        blockblock1b-005022   YES            
30     30     60     -513.94981              -0.022517      6e-06          blockblock1b-005060   YES            
30     32     62     -537.252486             1.625564       0.000727       blockblock1b-005111   YES            
30     34     64     -558.288629             -1.942082      0.000558       blockblock1b-005226   YES            
30     36     66     -577.579587             -1.709551      0.0012         blockblock1b-005288   YES            
30     38     68     -595.344576             -0.012138      9e-06          blockblock1b-005390   YES            
30     40     70     -612.523559             -0.006134      5e-06          blockblock1b-005419   YES            
30     42     72     -626.876562             -0.00896       -1e-06         blockblock1b-005525   YES            
30     44     74     -640.390059             1.47563        0.000954       blockblock1b-005595   YES            
30     46     76     -653.555914             2.085312       8e-05          blockblock1b-005655   YES            
30     48     78     -664.696084             1.600208       0.000136       blockblock1b-005760   YES            
30     50     80     -674.5304               0.047497       0.00041        blockblock1b-005816   YES            
30     52     82     -681.008686             1.849046       0.003059       blockblock1b-005921   YES            
30     54     84     -686.210125             2.735426       0.001187       blockblock1b-005954   YES            
30     56     86     -690.068566             3.151015       0.006958       blockblock1b-006043   YES            
30     58     88     -692.744406             3.234723       0.003025       blockblock1b-006132   YES            
