Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  Q20_control (b)
78     90     168    -0.004131           -1307.587578        -1307.583447        0.04131        0.147898       0.13351        7.551984       
78     96     174    -0.001844           -1369.809827        -1369.807983        0.065245       0.288612       0.280803       17.42959       
78     100    178    -0.000569           -1408.975673        -1408.975104        0.025804       0.303274       0.302168       19.617351      
78     132    210    -0.421673           -1624.407744        -1623.986071        0.070434       0.039731       0.03394        2.733576       
78     138    216    -0.689383           -1643.339278        -1642.649895        0.128759       -0.015106      -0.093469      -8.129072      
78     140    218    -0.438246           -1649.021184        -1648.582938        0.121294       -0.044952      0.212315       19.204588      
80     92     172    -0.000206           -1328.228159        -1328.227953        0.02993        0.111841       0.102088       6.009259       
80     96     176    -0.001861           -1370.462025        -1370.460164        0.049666       0.273598       0.268566       16.976225      
80     134    214    -0.807903           -1652.649413        -1651.84151         0.089531       0.027178       0.0            3e-06          
80     136    216    -1.120171           -1659.625908        -1658.505737        0.104051       0.016834       -0.035797      -3.072302      
80     138    218    -0.713397           -1666.014357        -1665.30096         0.108915       9.2e-05        -0.064712      -5.647155      
80     140    220    -0.353456           -1672.196239        -1671.842783        0.101289       -0.028141      -0.073196      -6.511245      
80     142    222    -0.188556           -1678.31761         -1678.129054        0.089518       -0.05169       -0.077836      -7.05138       
82     92     174    -0.070629           -1326.786209        -1326.71558         0.05166        0.01488        0.00133        0.080536       
82     94     176    -0.057145           -1348.736169        -1348.679024        0.053112       0.023442       0.003756       0.231878       
82     96     178    -0.027908           -1370.296555        -1370.268647        0.042014       0.012255       -0.003135      -0.19856       
82     134    216    -0.770481           -1671.890392        -1671.119911        0.08728        0.023962       0.000461       0.040391       
82     136    218    -1.076587           -1679.623987        -1678.5474          0.098098       0.019106       0.000677       0.060579       
82     138    220    -0.990907           -1686.757529        -1685.766622        0.097682       0.007564       0.001202       0.109315       
82     140    222    -0.761423           -1693.561215        -1692.799792        0.091841       -0.014227      -0.026076      -2.388545      
82     142    224    -0.583988           -1700.312502        -1699.728514        0.084467       -0.035235      -0.040973      -3.819089      
82     144    226    -0.066493           -1706.824444        -1706.757951        0.074511       -0.043796      0.227816       21.977056      
84     134    218    -0.772869           -1685.086151        -1684.313282        0.095264       0.044395       -0.046484      -3.971013      
84     136    220    -0.389634           -1693.531956        -1693.142322        0.103598       0.03428        0.085553       7.593977       
84     192    276    -0.113327           -1829.063135        -1828.949808        0.044729       0.034389       -0.0           -0.0           
84     194    278    -0.385999           -1828.383345        -1827.997346        0.068917       0.040129       0.04247        5.804808       
84     196    280    -0.101138           -1827.424106        -1827.322968        0.087334       0.054823       -0.061392      -8.574418      
86     192    278    -0.19359            -1861.888962        -1861.695372        0.052635       0.053391       0.0543         7.329937       
86     194    280    -0.020748           -1861.687337        -1861.666589        0.06291        0.070874       0.081558       11.316749      
88     136    224    -0.842846           -1720.133819        -1719.290973        0.146841       0.171314       0.167423       15.573799      
88     138    226    -0.096233           -1730.771853        -1730.67562         0.070692       0.190144       0.188287       17.882724      
88     192    280    -0.252763           -1893.2583          -1893.005537        0.055802       0.055625       0.05757        7.837929       
88     194    282    -0.011558           -1893.646321        -1893.634763        0.050969       0.077834       0.081438       11.383351      
90     130    220    -0.377232           -1692.461588        -1692.084356        0.103269       0.089293       -0.001148      -0.101411      
90     136    226    -1.200107           -1730.874386        -1729.674279        0.174515       0.185567       0.19549        18.51608       
90     138    228    -0.247144           -1742.580138        -1742.332994        0.159782       0.206362       0.214336       20.698637      
90     192    282    -0.466067           -1923.186547        -1922.72048         0.063644       0.040914       0.029618       4.046158       
90     194    284    -0.307304           -1924.041826        -1923.734522        0.076251       0.054433       0.063592       8.956773       
92     130    222    -0.390686           -1698.09842         -1697.707734        0.110742       0.087765       -0.000665      -0.061343      
92     132    224    -2.54464            -1712.38438         -1709.83974         0.15531        0.128166       -0.004215      -0.389775      
92     136    228    -0.867584           -1739.50665         -1738.639066        0.181918       0.196058       0.21876        21.144496      
92     138    230    -0.0494             -1752.486629        -1752.437229        0.163463       0.221199       0.23298        22.908493      
92     192    284    -0.545621           -1951.718877        -1951.173256        0.080676       0.039814       -0.001789      -0.253076      
92     194    286    -0.70594            -1953.113439        -1952.407499        0.092279       0.045508       -0.035758      -5.116091      
92     196    288    -0.379279           -1954.204898        -1953.825619        0.092521       0.045314       0.079225       11.623366      
94     130    224    -1.583094           -1702.283575        -1700.700481        0.121546       0.082897       0.001194       0.109643       
94     132    226    -3.259727           -1717.312765        -1714.053038        0.159854       0.116824       -0.058767      -5.446648      
94     136    230    -0.332308           -1746.041849        -1745.709541        0.182428       0.206757       0.237577       23.428677      
