Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  Q20_control (b)
102    262    364    -0.485565           -2120.475404        -2119.989839        0.073688       0.018263       0.000675       0.125786       
102    264    366    -1.099535           -2117.659046        -2116.559511        0.098524       0.038338       0.040685       8.930317       
104    170    274    -0.02081            -1989.162995        -1989.142185        0.063462       0.212897       0.198238       26.040648      
104    184    288    -0.017905           -2054.56448         -2054.546575        0.024139       6.3e-05        0.0            0.0            
104    186    290    -0.325124           -2060.768656        -2060.443532        0.072081       0.005846       0.0            1e-06          
104    188    292    -1.017237           -2066.289741        -2065.272504        0.105877       0.023603       0.0            1e-06          
104    190    294    -0.546338           -2072.246777        -2071.700439        0.144741       0.060151       57.757468      0.0            
104    198    302    0.008858            -2096.536224        -2096.545082        0.108887       0.327034       49.704586      0.0            
104    234    338    -0.000183           -2155.555155        -2155.554972        0.081005       0.235059       0.216212       41.939066      
104    260    364    -0.036234           -2157.752354        -2157.71612         0.031648       0.005688       0.000781       0.162222       
104    262    366    -0.3265             -2154.933458        -2154.606958        0.073223       0.010669       0.001434       0.300136       
104    264    368    -1.025068           -2152.469307        -2151.444239        0.098397       0.034359       0.002852       0.610835       
106    164    270    0.002935            -1968.148438        -1968.151373        0.072341       0.255693       0.243168       31.2579        
106    186    292    -0.136174           -2075.417495        -2075.281321        0.054738       0.000412       0.0            1e-06          
106    188    294    -0.455959           -2081.367159        -2080.9112          0.092537       0.012363       60.8886        0.0            
106    198    304    0.002985            -2115.38753         -2115.390515        0.12615        0.353482       54.363423      0.0            
106    200    306    0.010451            -2121.292107        -2121.302558        0.119065       0.334987       51.723812      0.0            
106    262    368    -0.17874            -2188.289648        -2188.110908        0.064858       0.003953       0.001773       0.381737       
106    264    370    -0.79716            -2186.108493        -2185.311333        0.094972       0.029693       0.004215       0.924171       
108    158    266    0.025343            -1934.556015        -1934.581358        0.084439       0.275501       32.621638      0.0            
108    164    272    0.003106            -1975.034601        -1975.037707        0.072668       0.251921       0.238618       31.015844      
108    170    278    -0.001914           -2008.896703        -2008.894789        0.063352       0.218505       0.203322       27.328017      
108    188    296    0.057808            -2095.192872        -2095.25068         0.073106       0.004094       62.552251      0.0            
108    196    304    0.053062            -2125.871386        -2125.924448        0.090761       0.370709       59.254732      0.0            
108    200    308    0.01767             -2139.021281        -2139.038951        0.130657       0.35728        56.108249      0.0            
108    262    370    -0.058256           -2220.547848        -2220.489592        0.046421       0.006757       0.001748       0.382754       
108    264    372    -0.467155           -2218.539335        -2218.07218         0.091081       0.021591       0.004302       0.955278       
108    266    374    -1.045341           -2217.076829        -2216.031488        0.118482       0.052409       0.07048        16.107995      
108    268    376    -0.32865            -2215.301692        -2214.973042        0.138027       0.078929       90.209848      0.0            
110    166    276    0.031152            -1991.907456        -1991.938608        0.070556       0.237571       0.222234       29.536125      
110    168    278    -0.0011             -2004.099273        -2004.098173        0.070235       0.228046       0.211127       28.376309      
110    188    298    0.073485            -2107.986849        -2108.060334        0.067833       0.411165       64.925341      0.0            
110    192    302    0.066266            -2125.216954        -2125.28322         0.205067       0.420003       63.11673       0.0            
110    196    306    0.05889             -2141.117244        -2141.176134        0.085969       0.380855       61.956675      0.0            
110    198    308    0.011046            -2148.477518        -2148.488564        0.139878       0.382977       61.048439      0.0            
110    200    310    0.009097            -2155.390496        -2155.399593        0.136848       0.372745       59.774535      0.0            
110    202    312    0.012783            -2161.941635        -2161.954418        0.133027       0.359931       57.822542      0.0            
110    228    338    0.001595            -2229.051577        -2229.053172        0.038638       0.219889       0.215517       41.267846      
