EDF	 Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2  
SKMS 	 88     172    260    -0.001834           -1870.380247        -1870.378413        0.032728       -0.101688      -0.118282      0.016594       
SKMS 	 88     190    278    -0.912864           -1911.727656        -1910.814792        0.114559       0.084676       0.000292       0.084384       
SKMS 	 88     192    280    -1.813662           -1913.675177        -1911.861515        0.152865       0.110117       0.029556       0.080561       
SKMS 	 88     194    282    -2.008878           -1915.441165        -1913.432287        0.173282       0.131919       0.119414       0.012505       
SKMS 	 90     128    218    -1.185141           -1666.212601        -1665.02746         0.103217       0.081632       -0.0           0.081632       
SKMS 	 90     156    246    -0.006061           -1829.506654        -1829.500593        0.063673       0.242308       0.231949       0.010359       
SKMS 	 90     158    248    -0.012576           -1838.13824         -1838.125664        0.069564       0.236401       0.222969       0.013432       
SKMS 	 90     160    250    -0.018532           -1846.543099        -1846.524567        0.06954        0.227589       0.212649       0.01494        
SKMS 	 90     162    252    -0.016337           -1854.553773        -1854.537436        0.06436        0.21472        0.19987        0.01485        
SKMS 	 90     190    280    -1.385878           -1937.79383         -1936.407952        0.135544       0.093596       0.0            0.093596       
SKMS 	 90     192    282    -2.498457           -1940.377711        -1937.879254        0.166324       0.116831       8.9e-05        0.116742       
SKMS 	 90     224    314    -0.005069           -1959.133658        -1959.128589        0.059195       0.213813       0.203047       0.010766       
SKMS 	 92     128    220    -1.538573           -1668.340053        -1666.80148         0.115436       0.083898       0.002099       0.081799       
SKMS 	 92     132    224    -2.702633           -1700.015833        -1697.3132          0.200189       0.15618        0.17697        -0.02079       
SKMS 	 92     134    226    -1.484704           -1714.992058        -1713.507354        0.226231       0.190225       0.211727       -0.021502      
SKMS 	 92     136    228    -0.11893            -1729.267039        -1729.148109        0.238032       0.215859       0.229237       -0.013378      
SKMS 	 92     158    250    -0.004072           -1854.1598          -1854.155728        0.067643       0.247986       0.236706       0.01128        
SKMS 	 92     162    254    -0.017771           -1871.413253        -1871.395482        0.07114        0.229574       0.214143       0.015431       
SKMS 	 92     164    256    -0.021648           -1879.400097        -1879.378449        0.06848        0.216025       0.199487       0.016538       
SKMS 	 92     190    282    -1.80552            -1962.315015        -1960.509495        0.144895       0.092086       3.6e-05        0.09205        
SKMS 	 92     192    284    -3.008107           -1965.529235        -1962.521128        0.17319        0.114075       7.7e-05        0.113998       
SKMS 	 92     194    286    -2.483788           -1968.606915        -1966.123127        0.195223       0.142081       0.16526        -0.023179      
SKMS 	 92     196    288    -1.495538           -1971.722004        -1970.226466        0.205769       0.16424        0.185803       -0.021563      
SKMS 	 92     198    290    -0.586706           -1974.657553        -1974.070847        0.204124       0.185359       0.199771       -0.014412      
SKMS 	 92     230    322    -0.008715           -1992.492019        -1992.483304        0.061654       0.206461       0.189273       0.017188       
SKMS 	 94     128    222    -1.726343           -1669.151372        -1667.425029        0.121708       0.077995       0.0            0.077995       
SKMS 	 94     130    224    -2.723076           -1686.057952        -1683.334876        0.16898        0.119383       0.146906       -0.027523      
SKMS 	 94     132    226    -1.948693           -1702.141755        -1700.193062        0.207637       0.160062       0.215244       -0.055182      
SKMS 	 94     134    228    -1.01538            -1718.31131         -1717.29593         0.230455       0.210448       0.237014       -0.026566      
SKMS 	 94     160    254    -0.005377           -1878.226475        -1878.221098        0.067467       0.2518         0.240737       0.011063       
SKMS 	 94     188    282    -1.304147           -1981.002337        -1979.69819         0.114479       0.061099       0.000196       0.060903       
SKMS 	 94     190    284    -3.218483           -1985.60095         -1982.382467        0.150472       0.085357       -0.000158      0.085515       
SKMS 	 94     192    286    -4.147308           -1989.370018        -1985.22271         0.174374       0.101812       0.122285       -0.020473      
SKMS 	 94     194    288    -2.097599           -1992.618536        -1990.520937        0.197838       0.131052       0.195845       -0.064793      
SKMS 	 94     196    290    -0.736968           -1996.065834        -1995.328866        0.212002       0.162308       0.204002       -0.041694      
SKMS 	 94     230    324    -0.013259           -2026.424201        -2026.410942        0.066274       0.213062       0.196189       0.016873       
SKMS 	 94     232    326    -0.012937           -2026.412618        -2026.399681        0.062656       0.200981       0.181302       0.019679       
SKMS 	 94     234    328    -0.003836           -2026.289519        -2026.285683        0.060239       0.190567       0.169576       0.020991       

SKP 	 90     194    284    -0.485381           -1920.153997        -1919.668616        0.109124       0.13097        0.111861       0.019109       
SKP 	 90     196    286    -0.48786            -1921.42735         -1920.93949         0.123036       0.149374       0.138856       0.010518       
SKP 	 92     130    222    -0.308065           -1692.697026        -1692.388961        0.069393       0.104049       0.090855       0.013194       
SKP 	 92     136    228    -0.152397           -1735.753243        -1735.600846        0.118657       0.200605       0.211526       -0.010921      
SKP 	 92     162    254    0.01537             -1869.509885        -1869.525255        0.059105       0.232816       0.222087       0.010729       
SKP 	 92     166    258    -0.01474            -1883.598782        -1883.584042        0.050848       0.205446       0.194888       0.010558       
SKP 	 92     192    284    -0.521005           -1946.10192         -1945.580915        0.107996       0.112686       0.0            0.112686       
SKP 	 94     132    226    -0.268127           -1711.28613         -1711.018003        0.102665       0.168745       0.181037       -0.012292      
SKP 	 94     168    262    0.003638            -1908.984832        -1908.98847         0.055366       0.221182       0.210583       0.010599       
SKP 	 94     170    264    0.016382            -1915.789603        -1915.805985        0.067434       0.203003       0.184186       0.018817       
SKP 	 94     192    286    -0.721177           -1971.933752        -1971.212575        0.119434       0.11035        0.002244       0.108106       
SKP 	 94     194    288    -0.480413           -1974.64053         -1974.160117        0.144675       0.148427       0.178596       -0.030169 
