Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total      beta3_total    fileID    Convergence    
90     166    256    -1866.266903            0.150065       17.743698      0.0            6880      YES            
90     168    258    -1872.831752            0.131778       15.777215      0.0            6901      YES            
90     170    260    -1879.322352            0.114154       13.844572      0.0            6921      YES            
90     172    262    -1885.571545            0.097888       12.031021      0.0            6942      YES            
90     174    264    -1891.514977            0.066068       8.225298       0.0            6963      YES            
90     176    266    -1897.483916            0.045453       5.735833       0.0            6984      YES            
90     178    268    -1903.362453            -0.034154      -4.370382      0.0            7003      YES            
90     180    270    -1909.115188            0.00137        0.177775       0.0            7026      YES            
90     182    272    -1914.925763            -0.0           -0.0           0.0            7046      YES            
90     184    274    -1919.602683            -0.000203      -0.027065      0.0            7066      YES            
90     186    276    -1920.985222            -0.00028       -0.037795      0.0            7087      YES            
90     188    278    -1921.488068            -0.000503      -0.068983      0.0            7108      YES            
90     190    280    -1922.032064            -0.001292      -0.17948       0.0            7129      YES            
90     196    286    -1924.857811            0.090343       13.074038      0.0            7152      YES            
90     198    288    -1925.985328            0.11158        16.377993      0.0            7173      YES            
90     200    290    -1927.008149            0.134261       20.005385      0.0            7195      YES            
90     202    292    -1927.967371            0.167767       25.450067      0.0            7215      YES            
90     204    294    -1928.849182            0.184745       28.462578      0.0            7238      YES            
90     206    296    -1929.517822            0.193681       30.266353      0.0            7259      YES            
90     208    298    -1929.904702            0.199186       31.554031      0.0            7280      YES            
90     210    300    -1930.04911             0.203175       32.623263      0.0            7301      YES            
90     212    302    -1929.995772            0.206269       33.567657      0.0            7322      YES            
90     214    304    -1929.772184            0.207638       34.235662      0.0            7343      YES            
90     216    306    -1929.349615            0.206299       34.44485       0.0            7364      YES            
90     218    308    -1928.707035            0.201923       34.123712      0.0            7385      YES            
90     220    310    -1927.872736            0.19497        33.338985      0.0            7406      YES            
90     222    312    -1926.925783            0.186515       32.268889      0.0            7427      YES            
90     224    314    -1926.199956            -0.005205      -0.895547      0.0            7443      YES            
90     226    316    -1925.425931            -0.004667      -0.814139      0.0            7464      YES            
92     112    204    -1531.31617             0.210281       16.840876      0.0            7490      YES            
92     114    206    -1552.233407            0.182267       14.779952      0.0            7511      YES            
92     116    208    -1573.196724            0.149589       12.287418      0.0            7532      YES            
92     118    210    -1593.826193            0.119758       9.967296       0.0            7553      YES            
92     120    212    -1614.255809            0.040654       3.425902       0.0            7572      YES            
92     122    214    -1634.606931            1e-06          9.7e-05        0.0            7592      YES            
92     124    216    -1654.307011            -0.0           -0.0           0.0            7613      YES            
92     126    218    -1672.243736            0.0            0.0            0.0            7634      YES            
92     128    220    -1685.444454            -0.0           -0.0           0.0            7655      YES            
92     140    232    -1765.373873            0.243567       24.419005      0.0            7679      YES            
92     142    234    -1777.566587            0.251317       25.601207      0.0            7700      YES            
92     144    236    -1789.204959            0.257612       26.656657      0.0            7721      YES            
92     146    238    -1800.274772            0.262041       27.532976      0.0            7742      YES            
92     148    240    -1810.714713            0.262834       28.023368      0.0            7763      YES            
92     150    242    -1820.591509            0.259975       28.109586      0.0            7784      YES            
92     152    244    -1829.894269            0.254147       27.851335      0.0            7805      YES            
