Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
96     130    226    -1692.790499            10.704116      0.0            2747      YES            
96     132    228    -1709.205018            16.587065      0.0            2764      YES            
96     134    230    -1725.735453            21.146948      0.0            2781      YES            
96     136    232    -1741.952827            23.708464      0.0            2805      YES            
96     162    258    -1890.94755             27.864547      0.0            2815      YES            
96     164    260    -1898.113983            26.071742      0.0            2832      YES            
96     174    270    -1934.323272            -15.620846     0.0            2844      YES            
96     186    282    -1968.105836            0.032136       0.0            2863      YES            
96     188    284    -1968.9044              0.071324       0.0            2880      YES            
96     190    286    -1970.141584            10.13628       0.0            2902      YES            
96     192    288    -1972.284234            15.885442      0.0            2914      YES            
96     194    290    -1974.984386            22.267488      0.0            2934      YES            
96     196    292    -1978.219825            28.167702      0.0            2951      YES            
96     198    294    -1981.348644            31.455278      0.0            2968      YES            
98     126    224    -1662.844521            0.0            0.0            2984      YES            
98     128    226    -1677.785619            -0.031513      0.0            3000      YES            
98     130    228    -1693.361958            11.055089      0.0            3019      YES            
98     132    230    -1710.64307             17.137216      0.0            3036      YES            
98     162    260    -1906.124312            29.133856      0.0            3053      YES            
98     184    282    -1986.851096            0.029661       0.0            3067      YES            
98     186    284    -1989.089646            0.04298        0.0            3084      YES            
98     188    286    -1990.518835            0.106502       0.0            3101      YES            
98     190    288    -1992.965948            11.999717      0.0            3121      YES            
98     192    290    -1996.114507            17.043935      0.0            3138      YES            
98     194    292    -1999.522993            22.440501      0.0            3155      YES            
98     196    294    -2003.208216            28.952877      0.0            3172      YES            
98     198    296    -2006.967508            33.108235      0.0            3189      YES            
98     262    360    -1981.658781            7.093332       0.0            3209      YES            
100    126    226    -1660.031574            0.0            0.0            3222      YES            
100    128    228    -1675.85972             0.0            0.0            3239      YES            
100    130    230    -1692.5904              11.279243      0.0            3257      YES            
100    132    232    -1710.615507            33.707764      0.0            3281      YES            
100    162    262    -1919.845547            30.13274       0.0            3291      YES            
100    168    268    -1943.958149            24.676958      0.0            3308      YES            
100    182    282    -1998.923491            0.186198       0.0            3322      YES            
100    184    284    -2005.85994             0.034501       0.0            3339      YES            
100    186    286    -2008.736474            0.050901       0.0            3356      YES            
100    188    288    -2010.789309            0.147366       0.0            3373      YES            
100    190    290    -2014.296246            13.168934      0.0            3393      YES            
100    192    292    -2018.36068             17.987233      0.0            3410      YES            
100    194    294    -2022.599664            47.372185      0.0            3434      YES            
100    196    296    -2026.807312            29.715442      0.0            3444      YES            
100    198    298    -2031.178595            35.828354      0.0            3461      YES            
100    258    358    -2030.547473            0.049135       0.0            3475      YES            
100    260    360    -2025.713844            3.115563       0.0            3498      YES            
100    262    362    -2020.219293            6.245503       0.0            3515      YES            
100    264    364    -2014.666917            10.603401      0.0            3532      YES            
102    128    230    -1672.603746            0.0            0.0            3545      YES            
102    130    232    -1690.635086            35.162162      0.0            3570      YES            
