Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
96     240    336    -0.002148           -2023.360052        -2023.357904        0.05591        0.167731       29.241685      
98     128    226    -0.465318           -1679.128           -1678.662682        0.087065       0.035146       -0.0           
98     130    228    -0.826387           -1695.93781         -1695.111423        0.140222       0.092193       28.951011      
98     186    284    -0.210442           -2008.401696        -2008.191254        0.05737        0.010909       0.0            
98     188    286    -1.268833           -2012.439349        -2011.170516        0.105511       0.041261       0.0            
98     190    288    -2.626151           -2016.650846        -2014.024695        0.13657        0.068286       -0.185437      
98     192    290    -2.087874           -2020.459078        -2018.371204        0.16289        0.09802        17.108042      
98     194    292    -1.348419           -2024.208429        -2022.86001         0.185314       0.133895       23.700673      
98     196    294    -0.575683           -2028.119106        -2027.543423        0.197073       0.163572       29.921209      
98     230    328    -0.007357           -2061.552226        -2061.544869        0.068197       0.231159       41.087512      
98     234    332    -0.009001           -2060.614979        -2060.605978        0.069334       0.211001       37.221693      
98     238    336    -0.006604           -2059.187039        -2059.180435        0.063158       0.187987       33.138128      
100    126    226    -0.046052           -1659.334509        -1659.288457        0.032997       0.006614       0.054251       
100    128    228    -0.586605           -1677.055624        -1676.469019        0.089999       0.029448       -0.0           
100    168    268    -0.003892           -1954.861056        -1954.857164        0.062657       0.215434       25.586964      
100    184    284    -0.01939            -2022.272048        -2022.252658        0.022634       0.000854       0.0            
100    186    286    -0.491882           -2027.38748         -2026.895598        0.076921       0.014855       -0.030754      
100    188    288    -1.532509           -2032.010661        -2030.478152        0.113665       0.038955       -0.076044      
100    190    290    -2.442018           -2036.812276        -2034.370258        0.143983       0.065749       11.399251      
100    192    292    -1.856161           -2041.308345        -2039.452184        0.170046       0.096373       18.140739      
100    194    294    -1.109102           -2045.712505        -2044.603403        0.189963       0.134876       24.282272      
100    196    296    -0.420565           -2050.259815        -2049.83925         0.192867       0.165718       31.071354      
100    230    330    -0.005045           -2093.871607        -2093.866562        0.060822       0.233796       42.192124      
100    232    332    -0.006856           -2093.844208        -2093.837352        0.070991       0.228923       41.004603      
100    234    334    -0.005014           -2093.594946        -2093.589932        0.072105       0.220024       39.307804      
100    236    336    -0.004141           -2093.181866        -2093.177725        0.070915       0.210889       37.26802       
100    262    362    -0.409932           -2084.67411         -2084.264178        0.066392       0.018146       -0.171113      
100    264    364    -1.04668            -2081.674646        -2080.627966        0.097333       0.053445       9.417414       
102    128    230    -0.469705           -1673.416296        -1672.946591        0.082525       0.01905        -0.0           
