Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
22     40     62     -494.975894             -0.001         -0.0           block1a-014030        YES            
22     42     64     -498.921173             0.001          0.0            block1a-014111        YES            
22     44     66     -502.441496             0.142          -0.0           block1a-014187        YES            
22     46     68     -505.548576             0.198          -0.0           block1a-014262        YES            
22     48     70     -507.596718             0.214          -0.0           block1a-014369        YES            
22     50     72     -508.896956             0.202          0.0            block1a-014412        YES            
22     52     74     -509.723989             -0.146         0.0            block1a-014493        YES            
22     54     76     -510.661478             -0.129         0.0            block1a-014568        YES            
22     56     78     -511.394361             -0.004         -0.0           block1a-014692        YES            
22     58     80     -511.96038              -0.0           0.0            block1a-014708        YES            
22     60     82     -511.81107              -0.002         -0.0           block1a-014812        YES            
22     62     84     -510.433482             -0.0           -0.0           block1a-014888        YES            
22     64     86     -506.341003             0.012          -0.0           block1a-014979        YES            
24     12     36     -182.936937             -0.275         -0.0           block1a-015034        YES            
24     14     38     -232.373788             0.316          0.0            block1a-015089        YES            
24     16     40     -276.260188             0.225          -0.001         block1a-015162        YES            
24     18     42     -315.24751              0.04           0.001          block1a-015254        YES            
24     20     44     -351.877892             0.0            -0.0           block1a-015340        YES            
24     22     46     -380.931432             -0.0           0.0            block1a-015382        YES            
24     24     48     -409.680366             0.248          -0.001         block1a-015460        YES            
24     26     50     -434.001186             0.222          0.0            block1a-015535        YES            
24     28     52     -455.135636             0.124          -0.0           block1a-015609        YES            
24     30     54     -472.814415             -0.0           0.0            block1a-015724        YES            
24     32     56     -487.687097             -0.0           -0.0           block1a-015755        YES            
24     34     58     -500.209015             0.113          -0.0           block1a-015839        YES            
24     36     60     -510.852326             0.073          0.013          block1a-015975        YES            
24     38     62     -520.840602             -0.002         -0.0           block1a-015977        YES            
24     40     64     -529.56935              -0.0           0.0            block1a-016055        YES            
24     42     66     -536.135231             -0.002         0.0            block1a-016127        YES            
24     44     68     -543.270334             0.226          0.009          block1a-016242        YES            
24     46     70     -548.533201             0.235          -0.004         block1a-016332        YES            
24     48     72     -552.569495             0.244          -0.001         block1a-016362        YES            
24     50     74     -555.43111              0.236          0.0            block1a-016437        YES            
24     52     76     -557.41274              0.201          0.0            block1a-016542        YES            
24     54     78     -558.97189              -0.126         0.0            block1a-016581        YES            
24     56     80     -560.481992             -0.005         0.0            block1a-016657        YES            
24     58     82     -561.875738             0.0            0.0            block1a-016733        YES            
24     60     84     -562.36386              0.001          0.0            block1a-016869        YES            
24     62     86     -561.622634             0.0            -0.0           block1a-016883        YES            
24     64     88     -558.32907              0.003          -0.0           block1a-017019        YES            
24     66     90     -554.626378             0.149          0.0            block1a-017038        YES            
26     14     40     -223.643697             -0.319         -0.0           block1b-000063        YES            
26     16     42     -270.193967             0.274          -0.0           block1b-000086        YES            
26     18     44     -312.58032              -0.124         -0.001         block1b-000155        YES            
26     20     46     -352.742881             0.0            -0.0           block1b-000236        YES            
26     22     48     -385.814933             0.115          -0.0           block1b-000311        YES            
26     24     50     -417.566223             0.24           0.016          block1b-000443        YES            
26     26     52     -445.599174             0.214          0.0            block1b-000460        YES            
26     28     54     -470.362759             0.088          -0.0           block1b-000534        YES            
26     30     56     -490.905485             0.0            -0.0           block1b-000649        YES            
26     32     58     -508.648991             0.14           0.0            block1b-000690        YES            
26     34     60     -523.989962             0.148          0.022          block1b-000795        YES            
26     36     62     -537.373487             0.106          0.018          block1b-000900        YES            
26     38     64     -549.884855             -0.003         0.0            block1b-000902        YES            
26     40     66     -561.280613             -0.001         0.0            block1b-000978        YES            
26     42     68     -570.493671             0.0            0.0            block1b-001076        YES            
26     44     70     -579.263989             0.166          0.0            block1b-001137        YES            
26     46     72     -586.964924             0.195          -0.001         block1b-001212        YES            
26     48     74     -593.078968             0.204          0.001          block1b-001289        YES            
26     50     76     -597.850572             0.185          -0.0           block1b-001362        YES            
26     52     78     -601.606906             0.132          0.0            block1b-001467        YES            
26     54     80     -604.595231             -0.093         0.0            block1b-001506        YES            
26     56     82     -607.283708             -0.002         -0.0           block1b-001582        YES            
26     58     84     -609.493413             0.001          0.0            block1b-001719        YES            
26     60     86     -610.722134             0.0            -0.0           block1b-001733        YES            
26     62     88     -610.688298             0.0            -0.0           block1b-001853        YES            
26     64     90     -608.834286             -0.0           0.0            block1b-001927        YES            
26     66     92     -606.315719             -0.001         -0.0           block1b-001957        YES            
26     68     94     -604.260607             0.215          -0.0           block1b-002094        YES            
28     14     42     -211.921559             0.348          -0.0           block1b-002110        YES            
28     16     44     -261.804181             -0.263         0.001          block1b-002209        YES            
28     18     46     -307.493818             -0.155         -0.0           block1b-002254        YES            
28     20     48     -350.675163             0.001          0.0            block1b-002381        YES            
28     22     50     -386.743552             0.052          -0.0           block1b-002412        YES            
28     24     52     -421.11178              0.189          -0.008         block1b-002544        YES            
28     26     54     -452.648189             0.149          -0.0           block1b-002561        YES            
28     28     56     -481.610235             0.001          -0.0           block1b-002630        YES            
28     30     58     -505.034247             -0.003         0.0            block1b-002703        YES            
28     32     60     -525.231292             0.114          -0.0           block1b-002788        YES            
28     34     62     -543.455445             -0.134         -0.0           block1b-002851        YES            
28     36     64     -559.999008             -0.114         0.0            block1b-002927        YES            
28     38     66     -575.157324             0.001          -0.0           block1b-003043        YES            
28     40     68     -589.204549             0.0            -0.0           block1b-003132        YES            
28     42     70     -601.035706             0.0            0.0            block1b-003162        YES            
28     44     72     -611.44819              0.001          0.0            block1b-003240        YES            
28     46     74     -621.247384             0.11           0.0            block1b-003312        YES            
28     48     76     -629.992208             0.002          0.0            block1b-003387        YES            
28     50     78     -637.383193             0.004          -0.0           block1b-003462        YES            
28     52     80     -642.58351              0.026          0.0            block1b-003537        YES            
28     54     82     -646.868813             -0.052         -0.0           block1b-003666        YES            
28     56     84     -650.808527             -0.001         -0.0           block1b-003682        YES            
28     58     86     -653.920733             -0.0           -0.0           block1b-003773        YES            
28     60     88     -655.924211             -0.0           -0.0           block1b-003848        YES            
28     62     90     -656.744771             -0.0           0.0            block1b-003967        YES            
28     64     92     -656.427724             -0.0           0.0            block1b-004027        YES            
28     66     94     -655.492042             -0.0           0.0            block1b-004073        YES            
28     68     96     -654.304417             0.0            -0.0           block1b-004193        YES            
28     70     98     -653.143275             0.29           0.0            block1b-004270        YES            
28     72     100    -652.618257             0.31           0.0            block1b-004329        YES            
28     74     102    -651.687755             0.326          -0.0           block1b-004404        YES            
28     76     104    -650.251097             0.335          0.0            block1b-004494        YES            
28     78     106    -648.331227             0.343          -0.0           block1b-004539        YES            
30     18     48     -299.691297             -0.129         -0.0           block1b-004591        YES            
30     20     50     -345.824565             -0.001         -0.0           block1b-004716        YES            
30     22     52     -384.19899              -0.001         -0.0           block1b-004791        YES            
30     24     54     -420.714637             0.144          -0.0           block1b-004809        YES            
30     26     56     -455.072984             0.134          0.0            block1b-004884        YES            
30     28     58     -486.629533             0.0            -0.0           block1b-004957        YES            
30     30     60     -513.199145             0.0            0.0            block1b-005033        YES            
30     32     62     -536.524226             0.146          -0.002         block1b-005114        YES            
30     34     64     -557.603474             -0.171         -0.0           block1b-005177        YES            
30     36     66     -576.782326             -0.148         -0.0           block1b-005252        YES            
30     38     68     -594.174688             0.002          -0.0           block1b-005339        YES            
30     40     70     -610.624074             0.001          -0.0           block1b-005460        YES            
30     42     72     -624.740201             0.001          -0.0           block1b-005490        YES            
30     44     74     -638.054487             0.127          0.0            block1b-005565        YES            
30     46     76     -650.595002             0.16           -0.0           block1b-005637        YES            
30     48     78     -661.122738             0.141          -0.0           block1b-005712        YES            
30     50     80     -670.061335             0.107          0.001          block1b-005790        YES            
30     52     82     -677.268929             0.11           0.0            block1b-005862        YES            
30     54     84     -683.080387             -0.12          -0.0           block1b-005932        YES            
30     56     86     -687.916198             0.004          -0.0           block1b-006009        YES            
30     58     88     -692.225258             0.001          -0.0           block1b-006084        YES            
