Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
20     46     66     -465.204706             0.0            0.0            block1a-012309        YES            
20     48     68     -465.23938              -0.003         -0.0           block1a-012425        YES            
20     50     70     -464.471256             -0.006         -0.0           block1a-012486        YES            
20     52     72     -462.795391             -0.0           -0.0           block1a-012533        YES            
20     54     74     -460.589159             -0.004         0.0            block1a-012652        YES            
20     56     76     -458.321074             0.0            -0.0           block1a-012728        YES            
20     58     78     -455.535995             0.0            0.0            block1a-012803        YES            
20     60     80     -452.024821             0.003          -0.0           block1a-012864        YES            
20     62     82     -447.177005             -0.0           -0.0           block1a-012938        YES            
22     12     34     -200.612254             0.223          0.0            block1a-012990        YES            
22     14     36     -245.538518             0.13           -0.035         block1a-013120        YES            
22     16     38     -284.864318             0.001          -0.0           block1a-013196        YES            
22     18     40     -320.076748             -0.0           -0.0           block1a-013213        YES            
22     20     42     -351.778265             -0.0           0.0            block1a-013304        YES            
22     22     44     -376.616728             -0.0           -0.0           block1a-013380        YES            
22     24     46     -399.226055             0.0            -0.0           block1a-013478        YES            
22     26     48     -420.631826             0.002          -0.0           block1a-013568        YES            
22     28     50     -439.752079             0.0            0.0            block1a-013614        YES            
22     30     52     -454.536211             -0.0           0.0            block1a-013672        YES            
22     32     54     -466.960625             0.0            -0.0           block1a-013793        YES            
22     34     56     -476.94355              0.0            0.0            block1a-013823        YES            
22     36     58     -485.440189             -0.0           -0.0           block1a-013883        YES            
22     38     60     -493.367033             0.0            0.0            block1a-014004        YES            
22     40     62     -500.10854              0.0            0.0            block1a-014093        YES            
22     42     64     -504.443522             -0.0           -0.0           block1a-014105        YES            
22     44     66     -507.559241             -0.001         -0.0           block1a-014239        YES            
22     46     68     -510.380295             -0.002         -0.0           block1a-014255        YES            
22     48     70     -512.932714             -0.002         -0.0           block1a-014375        YES            
22     50     72     -514.311005             0.006          0.0            block1a-014426        YES            
22     52     74     -513.904835             -0.032         0.0            block1a-014523        YES            
22     54     76     -512.748152             -0.059         -0.0           block1a-014613        YES            
22     56     78     -511.462645             0.003          0.0            block1a-014664        YES            
22     58     80     -509.659846             -0.0           0.0            block1a-014708        YES            
22     60     82     -506.997584             0.0            -0.0           block1a-014783        YES            
22     62     84     -502.985937             0.0            0.0            block1a-014858        YES            
22     64     86     -497.30942              0.004          -0.0           block1a-014979        YES            
24     12     36     -188.737174             -0.213         -0.0           block1a-015019        YES            
24     14     38     -238.768542             0.296          0.004          block1a-015088        YES            
24     16     40     -281.475151             0.212          -0.0           block1a-015165        YES            
24     18     42     -319.625566             0.001          -0.0           block1a-015238        YES            
24     20     44     -355.36319              0.0            -0.0           block1a-015345        YES            
24     22     46     -383.83604              0.003          0.0            block1a-015402        YES            
24     24     48     -412.057719             0.236          -0.006         block1a-015519        YES            
24     26     50     -436.373897             0.214          0.002          block1a-015592        YES            
24     28     52     -457.552869             0.127          0.0            block1a-015609        YES            
24     30     54     -475.325257             0.124          -0.001         block1a-015741        YES            
24     32     56     -490.265715             0.119          0.001          block1a-015775        YES            
24     34     58     -502.965298             0.098          -0.0           block1a-015894        YES            
24     36     60     -513.986365             0.001          -0.0           block1a-015909        YES            
24     38     62     -524.68128              0.0            0.0            block1a-016014        YES            
24     40     64     -534.148181             -0.0           -0.0           block1a-016114        YES            
24     42     66     -541.105005             -0.0           -0.0           block1a-016175        YES            
24     44     68     -547.188541             0.106          0.003          block1a-016257        YES            
24     46     70     -553.522912             0.173          0.0            block1a-016300        YES            
24     48     72     -557.524606             0.13           0.0            block1a-016410        YES            
24     50     74     -560.681576             0.004          0.0            block1a-016466        YES            
24     52     76     -561.685637             0.049          0.0            block1a-016530        YES            
24     54     78     -561.985804             0.099          0.0            block1a-016605        YES            
24     56     80     -561.537678             0.004          0.0            block1a-016659        YES            
24     58     82     -560.701679             -0.002         -0.0           block1a-016747        YES            
24     60     84     -558.887072             0.0            0.0            block1a-016808        YES            
24     62     86     -555.939578             0.0            0.0            block1a-016928        YES            
24     64     88     -551.82357              -0.001         -0.0           block1a-017019        YES            
24     66     90     -547.258555             0.0            0.0            block1a-017048        YES            
26     14     40     -229.391418             0.35           0.0            block1b-000011        YES            
26     16     42     -275.668865             0.264          -0.0           block1b-000087        YES            
26     18     44     -317.216647             0.048          0.001          block1b-000207        YES            
26     20     46     -356.784121             0.002          0.0            block1b-000269        YES            
26     22     48     -388.785726             -0.0           0.0            block1b-000352        YES            
26     24     50     -419.999715             0.22           -0.0           block1b-000443        YES            
26     26     52     -447.790632             0.199          -0.0           block1b-000459        YES            
26     28     54     -472.405459             0.092          0.001          block1b-000552        YES            
26     30     56     -493.104737             0.123          0.0            block1b-000609        YES            
26     32     58     -510.848169             0.137          -0.001         block1b-000729        YES            
26     34     60     -526.322594             0.121          -0.0           block1b-000759        YES            
26     36     62     -540.050777             -0.066         0.0            block1b-000894        YES            
26     38     64     -553.308749             -0.0           0.0            block1b-000935        YES            
26     40     66     -565.464129             -0.0           -0.0           block1b-001039        YES            
26     42     68     -574.976049             -0.0           0.0            block1b-001070        YES            
26     44     70     -583.112468             -0.001         0.0            block1b-001190        YES            
26     46     72     -591.762306             0.134          -0.0           block1b-001210        YES            
26     48     74     -598.249936             -0.002         0.0            block1b-001292        YES            
26     50     76     -604.218506             0.003          0.0            block1b-001421        YES            
26     52     78     -606.551586             0.01           -0.0           block1b-001436        YES            
26     54     80     -608.2397               0.08           0.0            block1b-001530        YES            
26     56     82     -609.086968             0.003          -0.0           block1b-001584        YES            
26     58     84     -609.244705             -0.001         -0.0           block1b-001717        YES            
26     60     86     -608.398068             -0.001         0.0            block1b-001762        YES            
26     62     88     -606.633609             -0.0           0.0            block1b-001823        YES            
26     64     90     -604.120502             0.0            0.0            block1b-001928        YES            
26     66     92     -601.308713             -0.002         -0.0           block1b-002019        YES            
26     68     94     -598.46595              -0.0           -0.0           block1b-002093        YES            
28     14     42     -218.445722             -0.329         0.0            block1b-002119        YES            
28     16     44     -266.994353             -0.247         0.002          block1b-002210        YES            
28     18     46     -312.22483              -0.11          0.0            block1b-002296        YES            
28     20     48     -355.148027             -0.001         0.0            block1b-002359        YES            
28     22     50     -390.53908              0.0            -0.0           block1b-002438        YES            
28     24     52     -423.723851             0.145          -0.0           block1b-002543        YES            
28     26     54     -454.939965             0.098          -0.0           block1b-002603        YES            
28     28     56     -483.797466             0.0            -0.0           block1b-002663        YES            
28     30     58     -506.858416             0.001          -0.0           block1b-002739        YES            
28     32     60     -527.311138             -0.002         -0.0           block1b-002812        YES            
28     34     62     -545.559903             -0.106         0.003          block1b-002869        YES            
28     36     64     -562.36495              -0.079         0.0            block1b-002959        YES            
28     38     66     -578.356273             -0.0           0.0            block1b-003065        YES            
28     40     68     -593.153292             -0.0           -0.0           block1b-003080        YES            
28     42     70     -605.2026               -0.0           -0.0           block1b-003155        YES            
28     44     72     -615.826243             -0.001         -0.0           block1b-003244        YES            
28     46     74     -625.965226             0.006          -0.0           block1b-003362        YES            
28     48     76     -635.773475             -0.001         0.0            block1b-003437        YES            
28     50     78     -644.054548             0.0            0.0            block1b-003522        YES            
28     52     80     -647.877467             0.004          0.0            block1b-003537        YES            
28     54     82     -650.87111              0.009          0.0            block1b-003671        YES            
28     56     84     -653.233717             0.007          0.0            block1b-003686        YES            
28     58     86     -654.469337             0.001          0.0            block1b-003774        YES            
28     60     88     -654.687288             -0.0           0.0            block1b-003848        YES            
28     62     90     -654.209572             -0.008         0.0            block1b-003967        YES            
28     64     92     -653.383308             -0.077         0.0            block1b-003997        YES            
28     66     94     -652.234658             -0.002         -0.0           block1b-004074        YES            
28     68     96     -651.085427             -0.0           0.0            block1b-004133        YES            
28     70     98     -649.433951             -0.0           0.0            block1b-004207        YES            
28     72     100    -646.880599             -0.0           0.0            block1b-004327        YES            
28     74     102    -643.959672             0.289          -0.0           block1b-004404        YES            
28     76     104    -641.257957             0.293          0.0            block1b-004494        YES            
28     78     106    -637.820738             0.294          -0.0           block1b-004570        YES            
30     18     48     -304.074729             -0.111         0.0            block1b-004606        YES            
30     20     50     -349.512252             0.002          0.0            block1b-004707        YES            
30     22     52     -387.344589             0.0            -0.0           block1b-004778        YES            
30     24     54     -423.365519             0.143          -0.0           block1b-004868        YES            
30     26     56     -457.338457             0.139          0.0            block1b-004899        YES            
30     28     58     -488.324875             0.002          0.0            block1b-005022        YES            
30     30     60     -513.94981              -0.002         0.0            block1b-005060        YES            
30     32     62     -537.252486             0.159          0.0            block1b-005111        YES            
30     34     64     -558.288629             -0.177         0.0            block1b-005226        YES            
30     36     66     -577.579587             -0.147         0.001          block1b-005288        YES            
30     38     68     -595.344576             -0.001         0.0            block1b-005390        YES            
30     40     70     -612.523559             -0.0           0.0            block1b-005419        YES            
30     42     72     -626.876562             -0.001         -0.0           block1b-005525        YES            
30     44     74     -640.390059             0.111          0.0            block1b-005595        YES            
30     46     76     -653.555914             0.148          0.0            block1b-005655        YES            
30     48     78     -664.696084             0.109          0.0            block1b-005760        YES            
30     50     80     -674.5304               0.003          0.0            block1b-005816        YES            
30     52     82     -681.008686             0.116          0.001          block1b-005921        YES            
30     54     84     -686.210125             0.161          0.0            block1b-005954        YES            
30     56     86     -690.068566             0.178          0.002          block1b-006043        YES            
30     58     88     -692.744406             0.174          0.001          block1b-006132        YES            
30     60     90     -694.573984             0.163          0.001          block1b-006177        YES            
30     62     92     -696.121907             -0.197         -0.0           block1b-006290        YES            
30     64     94     -697.051003             -0.198         0.001          block1b-006338        YES            
30     66     96     -697.41027              0.307          0.001          block1b-006448        YES            
30     68     98     -697.693693             0.297          0.0            block1b-006519        YES            
30     70     100    -697.471152             0.277          0.0            block1b-006593        YES            
30     72     102    -696.987128             0.248          -0.0           block1b-006668        YES            
30     74     104    -696.13926              0.22           0.0            block1b-006728        YES            
30     76     106    -694.795118             0.186          -0.0           block1b-006818        YES            
30     78     108    -692.880003             0.18           -0.0           block1b-006864        YES            
30     80     110    -690.312468             0.196          0.0            block1b-006925        YES            
30     82     112    -687.076256             0.21           0.0            block1b-007049        YES            
