Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
110    192    302    -2122.42449             0.109748       16.771746      0.0            3427      YES            
110    198    308    -2143.993584            -0.237513      -38.612179     0.0            3438      YES            
110    228    338    -2229.053172            0.215517       41.267846      0.0            3468      YES            
110    264    374    -2249.712191            0.003762       0.846138       0.0            3475      YES            
110    266    376    -2247.814086            0.051987       11.90735       0.0            3492      YES            
110    268    378    -2246.508067            0.091451       21.307447      0.0            3514      YES            
110    270    380    -2245.462642            0.114038       26.941664      0.0            3531      YES            
110    272    382    -2244.597035            0.134172       32.142023      0.0            3549      YES            
110    274    384    -2243.837732            0.152982       37.176261      0.0            3566      YES            
110    276    386    -2243.146892            0.17952        44.300217      0.0            3580      YES            
112    160    272    -1952.222998            0.235377       30.521893      0.0            3604      YES            
112    162    274    -1967.758604            0.229793       30.132892      0.0            3621      YES            
112    164    276    -1982.067147            0.222317       29.49244       0.0            3638      YES            
112    168    280    -2008.6367              0.200349       27.183079      0.0            3648      YES            
112    190    302    -2126.874244            0.043534       6.611654       0.0            3665      YES            
112    192    304    -2134.91424             0.095571       14.710164      0.0            3682      YES            
112    194    306    -2143.211976            0.125774       19.694841      0.0            3699      YES            
112    236    348    -2263.329644            0.178869       35.908563      0.0            3720      YES            
112    266    378    -2278.53788             0.014352       3.307246       0.0            3730      YES            
112    268    380    -2277.427196            0.080883       18.924755      0.0            3752      YES            
112    270    382    -2276.611096            0.10445        24.777143      0.0            3769      YES            
112    272    384    -2275.971885            0.124718       29.997368      0.0            3787      YES            
112    274    386    -2275.455048            0.144983       35.382078      0.0            3804      YES            
112    276    388    -2275.130633            0.178921       44.310672      0.0            3821      YES            
112    278    390    -2274.812581            0.198023       49.712923      0.0            3835      YES            
112    280    392    -2274.312042            0.20475        51.998536      0.0            3852      YES            
112    282    394    -2273.62825             0.210379       54.016793      0.0            3869      YES            
112    284    396    -2272.787954            0.21539        55.887021      0.0            3886      YES            
112    286    398    -2271.792721            0.219547       57.547831      0.0            3903      YES            
114    154    268    -1899.208793            0.243979       30.960996      0.0            3927      YES            
114    164    278    -1983.452839            0.210369       28.214787      0.0            3937      YES            
114    192    306    -2146.105327            0.079163       12.298366      0.0            3954      YES            
