Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
98     130    228    -1702.044844            -0.074         0.0            2982      YES            
98     132    230    -1719.626546            0.302          0.0            3006      YES            
98     134    232    -1737.240027            0.288          0.0            3021      YES            
98     186    284    -2011.360594            -0.0           0.0            3035      YES            
98     188    286    -2014.238666            -0.0           0.0            3052      YES            
98     190    288    -2018.284997            -0.067         0.0            3068      YES            
98     192    290    -2022.307828            0.104          0.0            3087      YES            
98     194    292    -2026.643925            0.127          0.0            3104      YES            
98     196    294    -2030.808315            0.156          0.0            3121      YES            
98     198    296    -2034.849008            0.184          0.0            3138      YES            
98     232    330    -2063.122571            -0.176         0.0            3150      YES            
98     234    332    -2063.477635            -0.173         0.0            3167      YES            
98     236    334    -2063.668953            -0.17          0.0            3184      YES            
98     238    336    -2063.672539            -0.165         0.0            3202      YES            
98     262    360    -2051.206438            0.027          0.0            3226      YES            
100    126    226    -1667.414657            -0.0           0.0            3239      YES            
100    128    228    -1684.053529            0.0            0.0            3256      YES            
100    130    230    -1701.256734            -0.302         0.0            3265      YES            
100    132    232    -1719.809412            0.328          0.0            3295      YES            
100    134    234    -1738.128531            0.303          0.0            3310      YES            
100    184    284    -2025.426988            -0.0           0.0            3324      YES            
100    186    286    -2029.845324            -0.0           0.0            3341      YES            
100    188    288    -2033.62946             -0.045         0.0            3357      YES            
100    190    290    -2038.304264            -0.074         0.0            3374      YES            
100    192    292    -2043.396592            0.119          0.0            3393      YES            
100    194    294    -2048.576111            0.145          0.0            3410      YES            
100    196    296    -2053.61762             0.171          0.0            3427      YES            
100    198    298    -2058.387679            0.189          0.0            3444      YES            
100    234    334    -2095.582844            -0.18          0.0            3456      YES            
100    236    336    -2096.223622            -0.177         0.0            3473      YES            
100    238    338    -2096.63297             -0.172         0.0            3490      YES            
100    240    340    -2096.78214             -0.165         0.0            3507      YES            
100    242    342    -2096.697743            -0.156         0.0            3524      YES            
100    250    350    -2095.08777             -0.099         0.0            3542      YES            
100    260    360    -2091.121219            -0.0           0.0            3560      YES            
100    262    362    -2087.458996            -0.002         0.0            3577      YES            
100    264    364    -2084.558332            0.068          0.0            3600      YES            
102    128    230    -1680.351194            -0.003         0.0            3612      YES            
102    130    232    -1699.293771            -0.301         0.0            3622      YES            
102    132    234    -1717.609887            -0.311         0.0            3639      YES            
102    134    236    -1737.581408            0.339          0.0            3668      YES            
102    182    284    -2034.468549            -0.0           0.0            3681      YES            
102    184    286    -2042.087094            -0.0           0.0            3698      YES            
102    186    288    -2047.118857            -0.0           0.0            3715      YES            
102    188    290    -2051.687196            -0.051         0.0            3731      YES            
102    190    292    -2056.971705            -0.078         0.0            3748      YES            
102    192    294    -2062.919767            0.131          0.0            3767      YES            
102    194    296    -2068.840261            0.163          0.0            3784      YES            
102    196    298    -2074.651634            0.185          0.0            3801      YES            
102    214    316    -2113.093435            0.265          0.0            3820      YES            
102    226    328    -2124.462245            0.252          0.0            3835      YES            
102    228    330    -2125.30925             0.248          0.0            3852      YES            
102    230    332    -2125.941364            0.242          0.0            3869      YES            
102    232    334    -2126.320155            0.235          0.0            3888      YES            
102    234    336    -2126.484077            0.223          0.0            3905      YES            
102    240    342    -2128.658734            -0.169         0.0            3915      YES            
102    242    344    -2128.956446            -0.16          0.0            3932      YES            
102    260    362    -2126.06324             0.001          0.0            3951      YES            
102    262    364    -2122.726627            0.002          0.0            3968      YES            
102    264    366    -2120.219929            0.071          0.0            3990      YES            
104    134    238    -1733.589879            -0.319         0.0            3996      YES            
104    182    286    -2049.479366            -0.0           0.0            4021      YES            
104    184    288    -2057.586103            -0.0           0.0            4038      YES            
104    186    290    -2063.254712            -0.0           0.0            4055      YES            
104    188    292    -2068.438799            -0.051         0.0            4071      YES            
104    190    294    -2074.344716            -0.083         0.0            4088      YES            
104    192    296    -2080.897202            0.143          0.0            4107      YES            
104    194    298    -2087.479202            0.185          0.0            4124      YES            
104    196    300    -2093.935615            0.2            0.0            4141      YES            
