Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
76     96     172    -1364.180502            -0.282391      -17.355227     0.0            606       YES            
76     98     174    -1386.01585             0.301603       18.818999      0.0            612       YES            
76     132    208    -1595.709822            0.472159       42.575332      0.0            615       YES            
76     134    210    -1603.252486            0.4671         42.794924      0.0            619       YES            
76     136    212    -1610.137703            0.461601       42.96181       0.0            623       YES            
76     138    214    -1616.233752            0.458395       43.321053      0.0            627       YES            
78     90     168    -1306.81038             -0.11234       -6.342182      0.0            629       YES            
78     96     174    -1367.484008            -0.301549      -19.025946     0.0            634       YES            
78     100    178    -1408.883269            0.302554       19.642483      0.0            639       YES            
78     132    210    -1616.359301            0.499369       46.067436      0.0            643       YES            
78     138    216    -1636.950462            0.361891       33.472912      0.0            655       YES            
78     140    218    -1644.150837            0.393556       37.469384      0.0            659       YES            
80     92     172    -1324.125874            -0.293748      -18.115463     0.0            662       YES            
80     96     176    -1368.582223            -0.317404      -20.501855     0.0            666       YES            
80     134    214    -1642.824371            -0.293703      -26.354096     0.0            674       YES            
80     136    216    -1651.35013             -0.308317      -28.291845     0.0            678       YES            
80     138    218    -1659.339795            -0.313871      -29.343146     0.0            682       YES            
80     140    220    -1666.692828            -0.314255      -29.88275      0.0            686       YES            
80     142    222    -1673.464165            -0.307104      -29.628419     0.0            690       YES            
82     92     174    -1320.808735            -0.301661      -19.026562     0.0            693       YES            
82     94     176    -1344.958359            -0.323766      -20.983872     0.0            697       YES            
82     96     178    -1367.703351            -0.326627      -21.576288     0.0            702       YES            
82     134    216    -1660.305754            -0.306768      -28.008304     0.0            710       YES            
82     136    218    -1669.792087            -0.319041      -29.764752     0.0            714       YES            
82     138    220    -1678.725638            -0.325338      -30.93348      0.0            718       YES            
82     140    222    -1686.939202            -0.327658      -31.706821     0.0            722       YES            
82     142    224    -1694.514718            -0.326881      -32.149282     0.0            726       YES            
82     144    226    -1701.615267            -0.322559      -32.190369     0.0            730       YES            
84     134    218    -1675.499013            -0.299502      -27.684978     0.0            738       YES            
84     136    220    -1685.742739            -0.320385      -30.328785     0.0            742       YES            
84     192    276    -1818.743666            -0.320087      -46.333061     0.0            746       YES            
84     194    278    -1819.116727            -0.319924      -46.970289     0.0            750       YES            
84     196    280    -1819.022664            -0.312765      -46.461748     0.0            754       YES            
86     192    278    -1852.120199            0.433727       64.752692      0.0            767       YES            
86     194    280    -1853.03177             0.430758       65.108965      0.0            771       YES            
88     136    224    -1712.02107             -0.307158      -29.776199     0.0            782       YES            
88     138    226    -1723.449434            -0.332355      -32.980384     0.0            786       YES            
88     192    280    -1884.187225            0.429202       64.473207      0.0            791       YES            
88     194    282    -1885.631341            0.428239       65.167048      0.0            795       YES            
90     130    220    -1686.144777            0.494224       48.812022      0.0            800       YES            
90     136    226    -1722.937117            -0.30896       -30.375767     0.0            809       YES            
90     138    228    -1735.137992            -0.329486      -33.102621     0.0            813       YES            
90     192    282    -1914.255124            0.423414       63.966225      0.0            819       YES            
90     194    284    -1916.230327            0.421425       64.480095      0.0            823       YES            
92     130    222    -1692.549308            0.493631       49.435629      0.0            828       YES            
92     132    224    -1707.938735            0.498416       50.83778       0.0            832       YES            
92     136    228    -1732.3531              -0.309262      -30.816231     0.0            837       YES            
92     138    230    -1745.252985            -0.321592      -32.670293     0.0            841       YES            
92     192    284    -1942.516904            0.415297       63.028221      0.0            847       YES            
92     194    286    -1945.071342            0.409655       62.892433      0.0            851       YES            
92     196    288    -1947.285206            0.406676       63.202153      0.0            855       YES            
94     130    224    -1693.489729            -0.427558      -43.660646     0.0            857       YES            
94     132    226    -1710.921581            0.382243       37.684538      0.0            863       YES            
94     136    230    -1740.086703            -0.307251      -31.010263     0.0            870       YES            
94     188    282    -1961.835617            0.440293       66.058718      0.0            876       YES            
94     190    284    -1965.5978              0.419307       63.348459      0.0            879       YES            
