Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
58     136    194    -1350.661441            0.150777       11.639723      0.0            926       YES            
58     138    196    -1350.904274            0.23183        18.454434      0.0            930       YES            
60     84     144    -1193.861521            0.096352       4.170728       0.0            935       YES            
60     86     146    -1207.181924            0.157389       7.189108       0.0            939       YES            
60     88     148    -1220.865212            0.241175       11.371406      0.0            943       YES            
60     90     150    -1235.593167            0.290098       14.187432      0.0            947       YES            
60     130    190    -1384.444723            0.053177       3.745044       0.0            950       YES            
60     132    192    -1385.671936            0.087855       6.485134       0.0            954       YES            
60     134    194    -1386.487278            0.112259       8.525705       0.0            958       YES            
60     136    196    -1387.045292            0.221855       17.455517      0.0            962       YES            
62     84     146    -1203.859601            0.078107       3.473517       0.0            967       YES            
62     86     148    -1218.302099            0.176532       8.220756       0.0            971       YES            
62     88     150    -1233.449737            0.247684       12.002436      0.0            975       YES            
62     90     152    -1249.070847            0.299439       15.005397      0.0            979       YES            
62     130    192    -1417.160717            -0.02301       -1.63219       0.0            981       YES            
62     132    194    -1419.252496            0.059406       4.393219       0.0            986       YES            
62     134    196    -1420.546211            0.080955       6.248425       0.0            990       YES            
62     136    198    -1422.362806            0.228071       18.181111      0.0            994       YES            
64     84     148    -1212.439366            -0.059991      -2.724075      0.0            997       YES            
64     86     150    -1227.929062            0.187626       8.920307       0.0            1003      YES            
64     88     152    -1244.309596            0.243567       12.067573      0.0            1007      YES            
64     90     154    -1260.805874            0.291343       14.875309      0.0            1011      YES            
64     130    194    -1448.279072            -0.022495      -1.635188      0.0            1013      YES            
64     132    196    -1450.612928            -0.03341       -2.535088      0.0            1017      YES            
64     134    198    -1452.915034            0.041202       3.243355       0.0            1022      YES            
64     136    200    -1455.648786            0.221231       17.805943      0.0            1026      YES            
66     130    196    -1477.076864            -0.036104      -2.6472        0.0            1029      YES            
66     132    198    -1480.161702            -0.054506      -4.166802      0.0            1033      YES            
66     134    200    -1483.144754            -0.106465      -8.378966      0.0            1037      YES            
66     136    202    -1487.083571            0.207543       16.883394      0.0            1042      YES            
68     130    198    -1504.267432            -0.051566      -3.821138      0.0            1045      YES            
68     132    200    -1508.096454            -0.076982      -5.94574       0.0            1049      YES            
68     134    202    -1511.926378            -0.117085      -9.297972      0.0            1053      YES            
68     190    258    -1540.631668            -0.069825      -8.801666      0.0            1057      YES            
70     130    200    -1529.995805            -0.056599      -4.250664      0.0            1061      YES            
70     132    202    -1534.492572            -0.077737      -6.076306      0.0            1065      YES            
70     134    204    -1538.854089            -0.112659      -9.037085      0.0            1069      YES            
70     166    236    -1592.076293            0.256133       27.91706       0.0            1074      YES            
70     168    238    -1592.320103            0.248688       27.537758      0.0            1078      YES            
72     132    204    -1559.479066            -0.072004      -5.68445       0.0            1081      YES            
72     168    240    -1629.656961            0.202458       22.492509      0.0            1086      YES            
72     170    242    -1630.750645            0.190301       21.47381       0.0            1090      YES            
74     170    244    -1665.156216            -0.176896      -19.8583       0.0            1093      YES            
76     90     166    -1294.015098            0.167596       9.357565       0.0            1099      YES            
76     136    212    -1617.563884            -0.090507      -7.650692      0.0            1101      YES            
78     134    212    -1625.658055            -0.289609      -25.563687     0.0            1104      YES            
78     136    214    -1634.086734            -0.297094      -26.725617     0.0            1109      YES            
78     138    216    -1646.392023            0.123601       10.756683      0.0            1114      YES            
80     134    214    -1643.092779            -0.307474      -27.643601     0.0            1116      YES            
80     136    216    -1652.560401            -0.314986      -28.851656     0.0            1120      YES            
80     138    218    -1661.550019            -0.319593      -29.802667     0.0            1124      YES            
80     140    220    -1669.94892             -0.320679      -30.427208     0.0            1129      YES            
