Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
106    186    292    -2074.235984            -0.629022      0.0            1067      YES            
106    188    294    -2080.9112              60.8886        0.0            1074      YES            
106    198    304    -2115.390515            54.363423      0.0            1077      YES            
106    200    306    -2121.302558            51.723812      0.0            1081      YES            
106    262    368    -2184.472925            90.92544       0.0            1085      YES            
106    264    370    -2183.322614            90.491229      0.0            1089      YES            
108    158    266    -1934.581358            32.621638      0.0            1093      YES            
108    164    272    -1970.685756            63.854375      0.0            1098      YES            
108    170    278    -2007.481763            66.457671      0.0            1102      YES            
108    188    296    -2095.25068             62.552251      0.0            1106      YES            
108    196    304    -2125.924448            59.254732      0.0            42        YES            
108    200    308    -2139.038951            56.108249      0.0            62        YES            
108    262    370    -2217.682032            91.347321      0.0            1109      YES            
108    264    372    -2216.890545            91.10415       0.0            1113      YES            
108    266    374    -2215.981153            90.693145      0.0            1117      YES            
108    268    376    -2214.973042            90.209848      0.0            1121      YES            
110    166    276    -1989.484722            68.31269       0.0            1126      YES            
110    168    278    -2002.468205            69.414593      0.0            1130      YES            
110    188    298    -2108.060334            64.925341      0.0            1134      YES            
110    192    302    -2125.28322             63.11673       0.0            1138      YES            
110    196    306    -2141.176134            61.956675      0.0            84        YES            
110    198    308    -2148.488564            61.048439      0.0            1142      YES            
110    200    310    -2155.399593            59.774535      0.0            105       YES            
110    202    312    -2161.954418            57.822542      0.0            125       YES            
110    228    338    -2228.879412            41.343551      0.0            1146      YES            
110    264    374    -2248.812727            92.405351      0.0            1149      YES            
110    266    376    -2248.294154            91.80451       0.0            1153      YES            
112    160    272    -1949.369279            69.284963      0.0            1158      YES            
112    162    274    -1964.864283            69.305695      0.0            1162      YES            
112    164    276    -1979.733326            69.851357      0.0            1166      YES            
112    168    280    -2007.705486            71.997422      0.0            1170      YES            
112    192    304    -2137.784491            65.752275      0.0            1174      YES            
112    194    306    -2146.532082            65.295016      0.0            1178      YES            
112    200    312    -2170.115062            63.029094      0.0            146       YES            
112    202    314    -2177.178988            61.616163      0.0            167       YES            
112    204    316    -2183.889963            59.447776      0.0            188       YES            
