Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
102    242    344    -2128.834693            -0.13444       0.01           206       YES            
102    260    362    -2125.902505            0.000695       0.01           207       YES            
102    262    364    -2122.587753            0.001391       0.01           208       YES            
102    264    366    -2120.027455            0.058588       0.010001       209       NO             
104    134    238    -1733.224651            -0.28047       0.01           385       YES            
104    182    286    -2049.485728            -7e-06         0.01           210       YES            
104    184    288    -2057.595221            -9e-06         0.01           211       YES            
104    186    290    -2063.276328            -3e-06         0.01           212       YES            
104    188    292    -2068.454339            -0.048126      0.01           213       YES            
104    190    294    -2074.328801            -0.076445      0.01           214       YES            
104    192    296    -2080.810325            0.129524       0.01           215       NO             
104    194    298    -2087.755554            0.312767       0.01           216       YES            
104    196    300    -2093.702847            0.302248       0.01           217       YES            
104    212    316    -2134.199585            0.221978       0.01           218       YES            
104    214    318    -2137.771206            0.225937       0.01           219       YES            
104    216    320    -2141.093015            0.228568       0.01           220       YES            
104    236    340    -2157.081115            0.163904       0.010001       221       YES            
104    238    342    -2158.031731            -0.151856      0.01           222       YES            
104    240    344    -2159.006792            -0.145165      0.01           223       YES            
104    260    364    -2159.851144            0.001115       0.01           224       YES            
104    262    366    -2156.896838            0.003978       0.01           225       YES            
104    264    368    -2154.638067            0.058472       0.010001       226       NO             
106    184    290    -2071.92338             -1.7e-05       0.009999       227       YES            
106    186    292    -2078.228111            -1e-05         0.010001       228       YES            
106    188    294    -2083.984725            -0.117925      0.01           229       YES            
106    190    296    -2090.529434            -0.120072      0.01           230       YES            
106    192    298    -2097.370015            0.138387       0.010001       231       NO             
106    194    300    -2104.624731            0.2049         0.01           386       YES            
106    212    318    -2157.083983            0.217961       0.009999       232       YES            
106    214    320    -2161.187626            0.220096       0.01           233       YES            
106    216    322    -2165.012193            0.222148       0.01           234       YES            
106    234    340    -2185.405453            0.184544       0.010001       235       YES            
106    236    342    -2186.348782            0.16428        0.01           236       YES            
106    238    344    -2187.224026            0.146652       0.01           387       YES            
106    240    346    -2188.170679            -0.145871      0.01           388       YES            
106    242    348    -2189.342797            -0.136407      0.01           389       YES            
106    260    366    -2192.724073            0.00118        0.01           237       YES            
106    262    368    -2190.1714              0.004761       0.01           238       YES            
106    264    370    -2188.11969             0.054663       0.01           239       NO             
108    186    294    -2092.042451            -1.4e-05       0.010001       240       YES            
108    188    296    -2098.287157            -0.121525      0.01           390       YES            
