Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
70     132    202    0.011064            -1535.30414         -1535.293076        0.093764       0.01           0.010623       YES
70     134    204    0.0313              -1539.857047        -1539.825747        0.14065        0.01           0.058548       YES
70     166    236    0.253374            -1592.293261        -1592.039887        0.2279         0.01           -0.032737      YES
70     168    238    0.21175             -1592.558537        -1592.346787        0.217975       0.01           -0.032602      YES
72     132    204    0.018886            -1560.507993        -1560.489107        0.098148       0.01           0.001139       YES
72     168    240    0.318956            -1629.900206        -1629.58125         0.184518       0.01           -0.030451      YES
72     170    242    0.269051            -1631.000847        -1630.731796        0.172842       0.01           -0.028745      YES
74     170    244    0.270432            -1667.325853        -1667.055421        0.161059       0.01           -0.026142      YES
76     90     166    0.023218            -1294.052917        -1294.029699        0.164262       0.01           -0.005907      YES
76     136    212    0.040829            -1618.541239        -1618.50041         0.127493       0.01           0.133866       YES
78     134    212    -0.009426           -1633.561515        -1633.570941        0.057899       0.01           0.035343       YES
78     136    214    0.013018            -1640.031545        -1640.018527        0.077549       0.01           0.076942       YES
78     138    216    -0.007547           -1646.529334        -1646.536881        -0.088591      0.01           -0.06531       YES
80     134    214    -0.004604           -1653.961432        -1653.966036        1.2e-05        0.01           -0.008881      YES
80     136    216    -0.008978           -1661.210591        -1661.219569        8e-06          0.01           -0.005898      YES
80     138    218    -0.008254           -1667.983349        -1667.991603        4e-06          0.01           0.008478       YES
80     140    220    0.020812            -1674.801537        -1674.780725        -0.075121      0.01           -0.047079      YES
82     134    216    -0.006143           -1672.47242         -1672.478563        1e-05          0.01           -0.006032      YES
82     136    218    -0.010527           -1680.465959        -1680.476486        7e-06          0.01           -0.008274      YES
82     138    220    -0.010017           -1687.991979        -1688.001996        3e-06          0.01           -0.004518      YES
82     140    222    -0.006954           -1695.169093        -1695.176047        -1e-06         0.01           0.002073       YES
82     142    224    0.010671            -1702.149826        -1702.139155        0.000545       0.01           0.01181        YES
84     132    216    -0.002028           -1672.089974        -1672.092002        7e-06          0.01           -0.061485      YES
84     134    218    -0.010426           -1681.261201        -1681.271627        5e-06          0.01           -0.060171      YES
84     136    220    0.015956            -1690.789557        -1690.773601        0.115974       0.01           0.057592       YES
84     154    238    0.066545            -1767.110549        -1767.044004        0.218466       0.01           -0.023751      YES
84     156    240    0.078353            -1774.051739        -1773.973386        0.214113       0.01           -0.02482       YES
84     158    242    0.107878            -1780.789227        -1780.681349        0.206003       0.01           -0.024728      YES
84     160    244    0.089531            -1787.203968        -1787.114437        0.188951       0.01           -0.023738      YES
84     162    246    0.067029            -1793.437606        -1793.370577        0.159217       0.01           -0.023005      YES
84     194    278    -0.006746           -1856.132719        -1856.139465        -2e-06         0.01           -0.013088      YES
84     196    280    -0.010196           -1855.646065        -1855.656261        -4e-06         0.01           -0.011634      YES
84     198    282    0.033296            -1854.886238        -1854.852942        -0.03192       0.01           -0.025022      YES
86     130    216    -0.004544           -1669.10743         -1669.111974        0.072642       0.009929       -0.015277      NO
86     132    218    0.049654            -1680.134112        -1680.084458        0.102265       0.009922       -0.005281      NO
86     134    220    0.068666            -1691.154541        -1691.085875        0.127209       0.009963       -0.005193      NO
86     136    222    0.09108             -1702.1776          -1702.08652         0.148699       0.009995       -0.00425       NO
86     138    224    0.023938            -1712.985182        -1712.961244        0.167654       0.009302       -0.011316      NO
86     140    226    0.056581            -1723.516018        -1723.459437        0.177753       0.01           -0.013202      YES
86     142    228    0.103085            -1733.731136        -1733.628051        0.187413       0.01           -0.009234      YES
86     152    238    0.035606            -1779.026133        -1778.990527        0.211929       0.01           -0.019952      YES
86     154    240    0.029077            -1786.797485        -1786.768408        0.207274       0.01           -0.02206       YES
86     156    242    0.030555            -1794.320417        -1794.289862        0.200893       0.01           -0.023462      YES
86     158    244    0.045245            -1801.686203        -1801.640958        0.192463       0.01           -0.024043      YES
86     160    246    0.053814            -1808.873166        -1808.819352        0.18119        0.01           -0.023675      YES
86     164    250    0.100568            -1822.556879        -1822.456311        0.154736       0.01           -0.022188      YES
86     192    278    -0.002575           -1884.592462        -1884.595037        -3e-06         0.01           -0.040805      YES
86     194    280    0.009121            -1885.158804        -1885.149683        0.081134       0.01           -0.025194      YES
86     196    282    0.06937             -1886.102519        -1886.033149        0.116233       0.01           -0.008781      YES
88     128    216    0.011661            -1662.122429        -1662.110768        3e-06          0.01           -0.069144      YES
88     130    218    0.059878            -1674.637854        -1674.577976        0.094108       0.010006       -0.01463       NO
88     132    220    0.04836             -1687.122763        -1687.074403        0.125035       0.01           -0.010723      YES
88     134    222    0.063425            -1699.779146        -1699.715721        0.151638       0.01           -0.011308      YES
88     136    224    0.096459            -1712.380096        -1712.283637        0.174801       0.01           -0.009069      YES
88     138    226    0.112486            -1724.480348        -1724.367862        0.191063       0.009898       -0.013024      NO
88     140    228    0.109262            -1736.13453         -1736.025268        0.201377       0.009946       -0.017678      NO
88     142    230    0.08323             -1747.371793        -1747.288563        0.209417       0.01           -0.015485      YES
88     144    232    0.117914            -1758.139008        -1758.021094        0.216991       0.01           -0.010197      YES
88     154    242    0.084183            -1804.616011        -1804.531828        0.215641       0.01           -0.019429      YES
88     156    244    0.096083            -1812.706413        -1812.61033         0.208535       0.01           -0.022008      YES
88     158    246    0.110866            -1820.689298        -1820.578432        0.200361       0.01           -0.023322      YES
88     160    248    0.123587            -1828.495069        -1828.371482        0.189787       0.01           -0.024139      YES
88     162    250    0.105591            -1836.047187        -1835.941596        0.177194       0.01           -0.024653      YES
88     172    260    0.035177            -1870.378413        -1870.343236        -0.113229      0.01           -0.011541      YES
88     190    278    0.003818            -1910.814792        -1910.810974        0.000295       0.01           -0.084381      YES
88     192    280    -0.016034           -1911.861515        -1911.877549        0.029114       0.009999       -0.081003      NO
88     194    282    0.077247            -1913.432287        -1913.35504         0.113938       0.009566       -0.017981      NO
88     196    284    0.168798            -1915.449594        -1915.280796        0.136784       0.009991       -0.011884      NO
88     198    286    0.110828            -1917.476247        -1917.365419        0.152667       0.01           -0.013246      YES
88     200    288    0.217625            -1919.420825        -1919.2032          0.165293       0.01           -0.01456       YES
88     202    290    0.298864            -1921.161614        -1920.86275         0.175131       0.01           -0.01438       YES
88     204    292    0.342886            -1922.516696        -1922.17381         0.181977       0.01           -0.014908      YES
90     128    218    0.005928            -1665.02746         -1665.021532        9e-06          0.01           -0.081623      YES
90     130    220    0.043601            -1678.709894        -1678.666293        0.111376       0.01           -0.008997      YES
90     132    222    0.078871            -1692.851927        -1692.773056        0.14924        0.01           0.000941       YES
90     134    224    0.107095            -1707.397011        -1707.289916        0.177703       0.00998        0.001517       NO
90     136    226    0.145546            -1721.621786        -1721.47624         0.198916       0.01           0.000165       YES
90     138    228    0.114336            -1734.969091        -1734.854755        0.213343       0.01           -0.008229      YES
90     140    230    0.119993            -1747.696747        -1747.576754        0.223332       0.01           -0.009666      YES
90     156    246    0.124192            -1829.500593        -1829.376401        0.221267       0.01           -0.021041      YES
90     158    248    0.138259            -1838.125664        -1837.987405        0.212833       0.01           -0.023568      YES
90     160    250    0.148835            -1846.524567        -1846.375732        0.203228       0.01           -0.024361      YES
90     162    252    0.134829            -1854.537436        -1854.402607        0.191159       0.01           -0.023561      YES
90     190    280    0.002349            -1936.407952        -1936.405603        4e-06          0.01           -0.093592      YES
90     192    282    0.001898            -1937.879254        -1937.877356        9e-05          0.01           -0.116741      YES
90     194    284    0.123664            -1940.282713        -1940.159049        0.132489       0.01           -0.007874      YES
90     196    286    0.290664            -1943.529678        -1943.239014        0.15763        0.009826       -0.000797      NO
90     198    288    0.264944            -1946.533751        -1946.268807        0.172077       0.01           -0.004358      YES
90     222    312    0.414506            -1959.534784        -1959.120278        0.190346       0.01           -0.023942      YES
90     224    314    0.388388            -1959.128589        -1958.740201        0.185793       0.01           -0.02802       YES
92     128    220    0.002488            -1666.80148         -1666.798992        0.002133       0.01           -0.081765      YES
92     130    222    0.06117             -1681.583661        -1681.522491        0.128241       0.01           0.003904       YES
92     132    224    0.086287            -1697.3132          -1697.226913        0.171649       0.01           0.015469       YES
92     134    226    0.117923            -1713.507354        -1713.389431        0.203944       0.009935       0.013719       NO
92     136    228    0.110829            -1729.148109        -1729.03728         0.220432       0.01           0.004573       YES
92     158    250    0.189648            -1854.155728        -1853.96608         0.226137       0.01           -0.021849      YES
92     162    254    0.155414            -1871.395482        -1871.240068        0.204958       0.01           -0.024616      YES
92     164    256    0.103997            -1879.378449        -1879.274452        0.190921       0.01           -0.025104      YES
92     190    282    0.010175            -1960.509495        -1960.49932         4.3e-05        0.01           -0.092043      YES
92     192    284    0.018189            -1962.521128        -1962.502939        8e-05          0.01           -0.113995      YES
92     194    286    0.268214            -1966.123127        -1965.854913        0.15474        0.01           0.012659       YES
