 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   C        6      24     30           -110.08072              -30.390492                2.413844            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000006                     -0.000007                   2.178925                1.007691              2.722125             4.334818               4.063805               1.612694              2.783445         33.808543       63.215666       -1.207337      -4.473287         -29.934529            
   C        6      26     32          -105.022467              -31.083481                2.738992            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000005                     -0.000006                   2.146415                1.085980              2.736039             4.529836               4.251544               1.793798              2.797054         34.210587       64.089090       -1.482291      -5.058253         -29.857413            
   C        6      28     34           -99.076178              -31.994842                3.016155            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000005                     -0.000007                   2.137329                1.044366              2.756301             4.654500               4.379718               1.898199              2.816877         35.188317       66.054503       -1.907972      -5.946290         -29.842802            
   C        6      30     36           -92.761514              -33.075698                3.153713            -0.000004            -0.000001              -0.000001              -0.000002                  -0.000010                     -0.000013                   2.114973                1.032307              2.781289             4.739031               4.472651               1.957742              2.820828         36.028972       67.774435       -2.118996      -6.314664         -31.439840            
   C        6      32     38           -86.533157              -34.036450                3.210879            -0.000003            -0.000001              -0.000001              -0.000002                  -0.000009                     -0.000011                   2.058660                1.040909              2.803336             4.836224               4.575685               2.032888              2.842568         36.741377       69.252158       -2.077571      -6.228358         -33.246078            
   C        6      34     40           -80.295063              -34.759002                3.263859             0.000002             0.000001               0.000001               0.000001                   0.000015                      0.000016                   2.013839                1.033514              2.819261             4.960190               4.701616               2.140929              2.858275         37.289156       70.428631       -2.081836      -6.238095         -34.714064            
   C        6      36     42           -73.921026              -35.263291                3.304052             0.000001             0.000001               0.000001               0.000001                   0.000013                      0.000014                   1.980361                0.976050              2.829117             5.106284               4.846924               2.277167              2.847684           No_Data         No_Data       -2.182237      -6.374038         -35.754594            
   O        8      2      10           -23.682211                3.751587              -24.122173             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   1.777243                4.708814              3.456949             2.100914               3.231588              -1.356035              3.571064         -1.022600       -6.062557         No_Data        No_Data            No_Data            
   O        8      4      12            -64.70161                1.041559              -19.655666             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.378343                2.779435              2.917842             2.358290               2.744032              -0.559552              3.052180          3.346958        1.576178       24.253825      41.019400          -6.656844            
   O        8      6      14          -101.084013               -2.834608              -15.775381             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.679206                2.808666              2.732945             2.513475               2.641121              -0.219470              2.875933          8.158561       10.778793       20.985253      36.382403          -9.658581            
   O        8      8      16          -127.368236               -7.131499              -10.427550             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.705472                2.808338              2.692906             2.669145               2.681052              -0.023761              2.817383         12.979870       20.487719       15.950614      26.284223          -8.763016            
   O        8      10     18          -141.963546              -11.091641               -6.788845             0.000000            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   2.683473                2.026072              2.688343             2.828359               2.767004               0.140016              2.813022         17.126646       28.868321        9.714861      14.595311          -6.783030            
