 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Mg       12     10     22          -169.102194               -4.947678              -14.667069            -0.000008            -0.000008              -0.000008              -0.000010                  -0.000008                     -0.000019                   2.047524                1.469164              2.957348             2.800108               2.886937              -0.157241              3.089969          7.437748       10.705880       16.527976      29.573204          -5.148301            
   Mg       12     12     24          -195.134778               -8.040821              -12.663457             0.108355             0.114751               0.111529               0.141966                   0.148055                      0.290021                   1.940499                1.514346              2.941855             2.919358               2.930628              -0.022497              3.056209         10.786598       17.657731       14.508048      26.032585          -8.438464            
   Mg       12     14     26          -217.535214              -10.982073              -10.542450            -0.000010            -0.000009              -0.000009              -0.000013                  -0.000014                     -0.000027                   1.877917                1.509146              2.933280             3.015116               2.977625               0.081837              3.047956         13.717181       23.689422       12.711964      22.400436         -11.758166            
   Mg       12     16     28          -234.484074              -13.554136               -7.352076            -0.000002            -0.000001              -0.000002              -0.000003                  -0.000002                     -0.000005                   1.806967                1.518797              2.954054             3.135779               3.059219               0.181725              3.067953         16.181865       28.761495        9.988402      16.948860         -12.338281            
   Mg       12     18     30          -245.361061              -15.839127               -5.466438            -0.000002            -0.000001              -0.000002              -0.000003                  -0.000003                     -0.000006                   1.727691                1.304722              2.998005             3.262736               3.159507               0.264731              3.110295         18.389086       33.360818        6.850253      10.876988         -11.338482            
   Mg       12     20     32          -253.752987              -18.005340               -3.938664            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000003                     -0.000006                   1.672673                1.408881              3.040048             3.372761               3.251985               0.332714              3.150840         20.470525       37.646159        5.552765       8.391926         -13.452744            
   Mg       12     22     34          -258.658182              -20.010724               -2.769536             0.112062             0.086198               0.093908               0.160262                   0.290276                      0.450538                   1.626936                1.265479              3.073561             3.483295               3.344420               0.409734              3.183187         22.439248       41.682202        3.789778       4.905196         -14.251354            
   Mg       12     24     36          -263.606772              -21.663153               -2.358176             0.286157             0.233290               0.247650               0.424694                   0.928465                      1.353160                   1.609310                1.253464              3.131052             3.625548               3.468558               0.494497              3.220759         24.286546       45.379896        3.733767       4.948590         -18.330791            
   Mg       12     26     38          -266.684381              -23.251013               -1.602677             0.306724             0.249463               0.263668               0.463945                   1.143630                      1.607575                   1.576065                1.182345              3.160923             3.738507               3.566233               0.577584              3.249806         25.900505       48.681465        2.756710       3.077609         -20.157505            
   Mg       12     28     40          -268.072611              -24.711868               -1.084470             0.272336             0.210310               0.224344               0.414282                   1.094077                      1.508359                   1.519256                1.106177              3.169932             3.837600               3.650146               0.667668              3.258569         27.122218       51.239735        1.838376       1.388231         -21.769695            
