Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
106    238    344    0.122432            -2180.550375        -2180.427943        0.236114       0.01           -0.024391      YES
106    242    348    0.101075            -2180.757679        -2180.656604        0.243774       0.01           -0.048785      YES
106    244    350    0.125766            -2180.586168        -2180.460402        0.249268       0.01           -0.116666      YES
106    264    370    0.139603            -2170.54596         -2170.406357        0.003399       0.01           -0.353712      YES
108    148    256    0.162291            -1855.699942        -1855.537651        0.263541       0.01           -0.020528      YES
108    194    302    0.182939            -2120.05338         -2119.870441        0.32799        0.01           -0.045064      YES
108    198    306    0.124246            -2133.678561        -2133.554315        0.304484       0.01           -0.044604      YES
108    200    308    0.130379            -2140.118342        -2139.987963        0.288333       0.01           -0.04474       YES
108    202    310    0.099735            -2146.344974        -2146.245239        0.271415       0.01           -0.045216      YES
108    244    352    0.116023            -2210.314059        -2210.198036        0.222599       0.01           -0.020337      YES
108    248    356    0.255275            -2210.903459        -2210.648184        0.339743       0.01           -0.050921      YES
108    252    360    0.359125            -2210.711246        -2210.352121        0.339171       0.01           -0.058317      YES
110    156    266    0.2309              -1921.500555        -1921.269655        0.247416       0.01           -0.021852      YES
110    164    274    0.161026            -1979.997814        -1979.836788        0.228597       0.01           -0.017559      YES
110    174    284    0.743554            -2040.22404         -2039.480486        0.448392       0.01           -0.051483      YES
110    190    300    0.12056             -2118.284789        -2118.164229        0.350827       0.01           -0.028325      YES
110    196    306    0.18542             -2142.097049        -2141.911629        0.335525       0.01           -0.029276      YES
110    204    314    0.023621            -2169.176922        -2169.153301        0.217629       0.01           -0.108045      YES
110    232    342    0.106337            -2230.615045        -2230.508708        0.205998       0.01           -0.012647      YES
112    162    274    0.185659            -1968.140356        -1967.954697        0.223418       0.01           -0.01586       YES
112    190    302    0.159291            -2130.014031        -2129.85474         0.370839       0.01           -0.032482      YES
112    198    310    0.014069            -2162.091269        -2162.0772          0.160186       0.01           -0.215607      YES
114    192    306    0.057321            -2149.467582        -2149.410261        0.066869       0.01           -0.029374      YES
114    198    312    0.065197            -2175.939045        -2175.873848        0.383231       0.01           -0.049081      YES
114    200    314    0.036565            -2183.856898        -2183.820333        0.383402       0.01           -0.043459      YES
114    208    322    0.085212            -2213.21533         -2213.130118        0.188383       0.01           -0.009333      YES
114    220    334    0.133029            -2250.328117        -2250.195088        0.19681        0.01           -0.01078       YES
114    244    358    0.014393            -2291.430215        -2291.415822        0.142605       0.01           -0.016636      YES
116    212    328    0.099737            -2241.511467        -2241.41173         0.185918       0.01           -0.010233      YES
116    214    330    0.090148            -2248.384333        -2248.294185        0.18873        0.01           -0.009157      YES
116    228    344    0.108068            -2288.519744        -2288.411676        0.176171       0.01           -0.014961      YES
116    240    356    0.061299            -2310.877494        -2310.816195        0.144029       0.01           -0.016632      YES
118    218    336    0.057374            -2276.273525        -2276.216151        0.186179       0.01           -0.010526      YES
118    236    354    0.076188            -2324.782147        -2324.705959        0.142433       0.01           -0.008739      YES
118    238    356    0.089261            -2328.67346         -2328.584199        0.134859       0.01           -0.016918      YES
118    240    358    0.09585             -2332.279522        -2332.183672        0.12679        0.01           -0.018848      YES
120    166    286    0.69226             -1996.160881        -1995.468621        0.451793       0.01           -0.04656       YES
120    168    288    0.792033            -2012.906566        -2012.114533        0.450268       0.01           -0.046173      YES
120    232    352    0.03284             -2332.881534        -2332.848694        0.143367       0.01           -0.010475      YES
120    280    400    0.269782            -2382.994975        -2382.725193        0.059537       0.01           -0.018147      YES
120    284    404    0.280004            -2381.636779        -2381.356775        0.088885       0.01           0.452362       YES
120    286    406    0.110091            -2381.062692        -2380.952601        0.171009       0.01           0.534515       YES
120    294    414    0.095659            -2377.636132        -2377.540473        0.190224       0.01           -0.025202      YES
120    298    418    0.106058            -2374.906853        -2374.800795        0.190508       0.01           -0.029319      YES
