Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
98     128    226    -0.018411           -1686.537701        -1686.556112        2.1e-05        0.01           -0.043961      YES
98     130    228    0.008983            -1702.044844        -1702.035861        -0.071843      0.01           -0.155752      YES
98     132    230    0.079784            -1719.626546        -1719.546762        0.272991       0.01           0.163607       YES
98     134    232    0.107797            -1737.240027        -1737.13223         0.260899       0.01           0.115499       YES
98     186    284    -0.016425           -2011.360594        -2011.377019        2e-05          0.01           -0.025112      YES
98     188    286    -0.031116           -2014.238666        -2014.269782        3e-05          0.01           -0.052309      YES
98     190    288    0.030375            -2018.284997        -2018.254622        -0.061654      0.01           -0.132969      YES
98     192    290    0.120744            -2022.307828        -2022.187084        0.094315       0.010003       0.012019       NO
98     194    292    0.105573            -2026.643925        -2026.538352        0.113648       0.010001       0.019319       YES
98     196    294    0.129492            -2030.808315        -2030.678823        0.137746       0.01           0.020306       YES
98     198    296    0.151746            -2034.849008        -2034.697262        0.161022       0.01           0.009349       YES
98     232    330    0.167329            -2063.122571        -2062.955242        -0.147742      0.01           0.010113       YES
98     234    332    0.185804            -2063.477635        -2063.291831        -0.145299      0.01           0.009882       YES
98     236    334    0.202011            -2063.668953        -2063.466942        -0.142014      0.01           0.009984       YES
98     238    336    0.196567            -2063.672539        -2063.475972        -0.137413      0.01           0.010742       YES
98     262    360    0.175738            -2051.206438        -2051.0307          0.021605       0.01           -0.007669      YES
100    126    226    -0.013488           -1667.414657        -1667.428145        8e-06          0.01           -0.016142      YES
100    128    228    -0.02355            -1684.053529        -1684.077079        1.5e-05        0.01           -0.040737      YES
100    130    230    0.360692            -1701.256734        -1700.896042        -0.268383      0.01           -0.355385      YES
100    132    232    0.051301            -1719.809412        -1719.758111        0.2938         0.01           0.180133       YES
100    134    234    0.081817            -1738.128531        -1738.046714        0.273414       0.01           0.125199       YES
100    184    284    -0.009185           -2025.426988        -2025.436173        7e-06          0.01           -0.006964      YES
100    186    286    -0.02221            -2029.845324        -2029.867534        1.4e-05        0.01           -0.025135      YES
100    188    288    0.002633            -2033.62946         -2033.626827        -0.042343      0.01           -0.094394      YES
100    190    290    0.038119            -2038.304264        -2038.266145        -0.067821      0.01           -0.142742      NO
100    192    292    0.15402             -2043.396592        -2043.242572        0.107131       0.01           0.020246       YES
100    194    294    0.127484            -2048.576111        -2048.448627        0.12965        0.01           0.029045       YES
100    196    296    0.168707            -2053.61762         -2053.448913        0.151289       0.01           0.02303        YES
100    198    298    0.154101            -2058.387679        -2058.233578        0.165954       0.010001       0.001434       YES
100    234    334    0.202157            -2095.582844        -2095.380687        -0.152094      0.01           0.00666        YES
100    236    336    0.207473            -2096.223622        -2096.016149        -0.148764      0.01           0.006857       YES
100    238    338    0.199646            -2096.63297         -2096.433324        -0.144246      0.01           0.007472       YES
100    240    340    0.177276            -2096.78214         -2096.604864        -0.138187      0.01           0.008698       YES
100    242    342    0.145503            -2096.697743        -2096.55224         -0.130491      0.01           0.011008       YES
100    250    350    0.193933            -2095.08777         -2094.893837        -0.082584      0.010004       0.004664       NO
100    260    360    0.164993            -2091.121219        -2090.956226        -3.8e-05       0.01           -0.007865      YES
100    262    362    0.141091            -2087.458996        -2087.317905        -0.001508      0.01           -0.033459      YES
100    264    364    0.319923            -2084.558332        -2084.238409        0.05614        0.009899       0.000339       NO
102    128    230    -0.021687           -1680.351194        -1680.372881        -0.002982      0.01           -0.035823      YES
102    130    232    0.352539            -1699.293771        -1698.941232        -0.267984      0.01           -0.356926      YES
102    132    234    0.387614            -1717.609887        -1717.222273        -0.274903      0.01           -0.388469      YES
102    134    236    0.076529            -1737.581408        -1737.504879        0.302298       0.01           0.146365       YES
102    182    284    -0.007722           -2034.468549        -2034.476271        1e-06          0.01           -0.002085      YES
102    184    286    -0.010864           -2042.087094        -2042.097958        -1e-06         0.01           -0.004653      YES
102    186    288    -0.023748           -2047.118857        -2047.142605        6e-06          0.01           -0.019698      YES
102    188    290    -0.003542           -2051.687196        -2051.690738        -0.047622      0.01           -0.098493      YES
102    190    292    0.025031            -2056.971705        -2056.946674        -0.072164      0.01           -0.149056      NO
102    192    294    0.112264            -2062.919767        -2062.807503        0.118515       0.010001       0.029771       NO
102    194    296    0.120871            -2068.840261        -2068.71939         0.14525        0.01           0.046064       YES
102    196    298    0.14614             -2074.651634        -2074.505494        0.163934       0.01           0.037894       YES
102    214    316    0.440122            -2113.093435        -2112.653313        0.227695       0.010001       -0.028851      YES
102    226    328    0.447353            -2124.462245        -2124.014892        0.213887       0.01           -0.031832      YES
102    228    330    0.416214            -2125.30925         -2124.893036        0.209652       0.01           -0.031968      YES
102    230    332    0.343532            -2125.941364        -2125.597832        0.204427       0.010001       -0.032129      YES
102    232    334    0.229868            -2126.320155        -2126.090287        0.197922       0.01           -0.031379      YES
102    234    336    0.144116            -2126.484077        -2126.339961        0.187265       0.010001       -0.023468      YES
102    240    342    0.164496            -2128.658734        -2128.494238        -0.142556      0.01           0.006624       YES
102    242    344    0.121753            -2128.956446        -2128.834693        -0.13444       0.01           0.009058       YES
102    260    362    0.160735            -2126.06324         -2125.902505        0.000695       0.01           -0.008257      YES
102    262    364    0.138874            -2122.726627        -2122.587753        0.001391       0.01           -0.028967      YES
102    264    366    0.192474            -2120.219929        -2120.027455        0.058588       0.010001       0.002123       NO
104    134    238    0.365228            -1733.589879        -1733.224651        -0.28047       0.01           -0.653407      YES
104    182    286    -0.006362           -2049.479366        -2049.485728        -7e-06         0.01           0.000689       YES
104    184    288    -0.009118           -2057.586103        -2057.595221        -9e-06         0.01           0.000318       YES
104    186    290    -0.021616           -2063.254712        -2063.276328        -3e-06         0.01           -0.010153      YES
104    188    292    -0.01554            -2068.438799        -2068.454339        -0.048126      0.01           -0.095913      YES
104    190    294    0.015915            -2074.344716        -2074.328801        -0.076445      0.01           -0.15162       YES
104    192    296    0.086877            -2080.897202        -2080.810325        0.129524       0.01           0.046268       NO
104    194    298    0.188111            -2087.943665        -2087.755554        0.312767       0.01           0.221908       YES
104    196    300    0.273558            -2093.976405        -2093.702847        0.302248       0.01           0.186338       YES
104    212    316    0.249589            -2134.449174        -2134.199585        0.221978       0.01           -0.0283        YES
104    214    318    0.350113            -2138.121319        -2137.771206        0.225937       0.01           -0.029383      YES
104    216    320    0.466724            -2141.559739        -2141.093015        0.228568       0.01           -0.029991      YES
104    236    340    0.01703             -2157.098145        -2157.081115        0.163904       0.010001       -0.024209      YES
