Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
90     194    284    -2.108034           -1894.419253        -1892.311219        0.115378       0.147863       18.778227      
90     196    286    -1.913813           -1894.871499        -1892.957686        0.122813       0.167038       23.252105      
90     198    288    -1.064605           -1894.849988        -1893.785383        0.126601       0.179857       26.651545      
90     224    314    -0.004709           -1877.047526        -1877.042817        0.107173       0.242921       36.901407      
92     130    222    -1.473401           -1689.207741        -1687.73434         0.136064       0.117578       9.686265       
92     132    224    -1.853622           -1703.691872        -1701.83825         0.171916       0.156579       14.265542      
92     134    226    -1.468669           -1717.630061        -1716.161392        0.201118       0.184949       18.226827      
92     136    228    -0.598345           -1731.032594        -1730.434249        0.222874       0.210331       21.307751      
92     138    230    -0.149602           -1743.959286        -1743.809684        0.192902       0.226388       23.295359      
92     156    248    -0.001773           -1833.926224        -1833.924451        0.04767        0.250741       27.603425      
92     158    250    -0.006406           -1841.768944        -1841.762538        0.068481       0.248448       26.966072      
92     160    252    -0.017352           -1849.365976        -1849.348624        0.074037       0.241419       26.09729       
92     162    254    -0.027141           -1856.388878        -1856.361737        0.074119       0.231292       24.973719      
92     190    282    -0.670208           -1921.257022        -1920.586814        0.126297       0.087923       -0.0           
92     192    284    -2.02802            -1922.2996          -1920.27158         0.15397        0.120642       14.283278      
92     194    286    -2.243337           -1923.60978         -1921.366443        0.120985       0.150004       20.414594      
92     196    288    -1.670448           -1924.848038        -1923.17759         0.18255        0.163826       25.376571      
92     198    290    -0.807342           -1925.714468        -1924.907126        0.132425       0.185739       28.615745      
94     130    224    -1.568739           -1692.484703        -1690.915964        0.143035       0.111          10.235949      
94     132    226    -1.369811           -1707.634622        -1706.264811        0.178952       0.156364       15.5642        
94     134    228    -0.856254           -1722.668686        -1721.812432        0.207459       0.194444       19.720867      
94     136    230    -0.402424           -1737.487124        -1737.0847          0.221843       0.226477       22.605931      
94     138    232    -0.437014           -1751.95128         -1751.514266        0.133842       0.24183        24.433562      
94     140    234    -0.091442           -1765.359557        -1765.268115        0.059904       0.254925       25.942636      
94     158    252    -0.000207           -1858.661283        -1858.661076        0.038688       0.251334       28.554946      
94     160    254    -0.006006           -1866.80196         -1866.795954        0.069762       0.249285       27.65137       
94     162    256    -0.017693           -1874.369633        -1874.35194         0.074872       0.239952       26.439895      
94     190    284    -1.939035           -1947.954368        -1946.015333        0.137535       0.082701       -0.036129      
94     192    286    -2.421806           -1949.387128        -1946.965322        0.112855       0.120336       14.962006      
94     194    288    -2.167513           -1951.12048         -1948.952967        0.125075       0.146784       21.689689      
94     196    290    -1.247948           -1952.887019        -1951.639071        0.136224       0.168332       26.983776      
94     198    292    -0.303839           -1954.450422        -1954.146583        0.134085       0.189107       30.106726      
96     128    224    -0.464082           -1678.81793         -1678.353848        0.091349       0.046457       -0.028937      
96     130    226    -1.581771           -1694.37227         -1692.790499        0.150442       0.101771       10.704116      
96     132    228    -0.845004           -1710.050022        -1709.205018        0.183221       0.151885       16.587065      
96     134    230    -0.321363           -1726.056816        -1725.735453        0.205019       0.201107       21.146948      
96     136    232    -0.014622           -1741.967449        -1741.952827        0.054799       0.236148       23.708464      
96     162    258    -0.009204           -1890.956754        -1890.94755         0.072338       0.246907       27.864547      
96     164    260    -0.023645           -1898.137628        -1898.113983        0.074241       0.232468       26.071742      
96     174    270    -0.000327           -1934.323599        -1934.323272        0.036277       -0.103484      -15.620846     
96     186    282    -0.165443           -1968.271279        -1968.105836        0.050558       0.015549       0.032136       
96     188    284    -1.606319           -1970.510719        -1968.9044          0.09773        0.052495       0.071324       
96     190    286    -2.939699           -1973.081283        -1970.141584        0.12214        0.076412       10.13628       
96     192    288    -2.673446           -1974.95768         -1972.284234        0.167114       0.103691       15.885442      
96     194    290    -2.056146           -1977.040532        -1974.984386        0.184668       0.135388       22.267488      
96     196    292    -1.118548           -1979.338373        -1978.219825        0.140068       0.165995       28.167702      
96     198    294    -0.206094           -1981.554738        -1981.348644        0.13416        0.189742       31.455278      
98     126    224    -0.102678           -1662.947199        -1662.844521        0.042441       0.005846       0.0            
98     128    226    -0.971662           -1678.757281        -1677.785619        0.103297       0.042663       -0.031513      
98     130    228    -1.503748           -1694.865706        -1693.361958        0.157203       0.093613       11.055089      
98     132    230    -0.550181           -1711.193251        -1710.64307         0.187782       0.146353       17.137216      
98     162    260    -0.00289            -1906.127202        -1906.124312        0.061966       0.250047       29.133856      
98     184    282    -0.141923           -1986.993019        -1986.851096        0.049211       0.013944       0.029661       
98     186    284    -0.877232           -1989.966878        -1989.089646        0.083736       0.027329       0.04298        
98     188    286    -2.488514           -1993.007349        -1990.518835        0.11124        0.053396       0.106502       
98     190    288    -3.291337           -1996.257285        -1992.965948        0.131571       0.073964       11.999717      
98     192    290    -2.694317           -1998.808824        -1996.114507        0.144941       0.097315       17.043935      
98     194    292    -1.948445           -2001.471438        -1999.522993        0.192221       0.134647       22.440501      
98     196    294    -1.267284           -2004.4755          -2003.208216        0.143586       0.165458       28.952877      
98     198    296    -0.356734           -2007.324242        -2006.967508        0.141703       0.184967       33.108235      
98     262    360    -0.141346           -1981.800127        -1981.658781        0.048113       0.04329        7.093332       
100    126    226    -0.33581            -1660.367384        -1660.031574        0.065061       0.009179       0.0            
100    128    228    -1.177847           -1677.037567        -1675.85972         0.105944       0.033891       0.0            
100    130    230    -1.227054           -1693.817454        -1692.5904          0.159413       0.08679        11.279243      
100    132    232    -0.361341           -1710.976848        -1710.615507        0.193983       0.144915       33.707764      
100    162    262    -0.000152           -1919.845699        -1919.845547        0.018287       0.246156       30.13274       
100    168    268    -0.023784           -1943.981933        -1943.958149        0.069781       0.213414       24.676958      
100    182    282    -0.302288           -1999.225779        -1998.923491        0.05226        0.017064       0.186198       
100    184    284    -0.440109           -2006.300049        -2005.85994         0.07099        0.007229       0.034501       
100    186    286    -1.283386           -2010.01986         -2008.736474        0.103746       0.025844       0.050901       
100    188    288    -2.787203           -2013.576512        -2010.789309        0.123889       0.04431        0.147366       
100    190    290    -3.226589           -2017.522835        -2014.296246        0.1404         0.073039       13.168934      
100    192    292    -2.518038           -2020.878718        -2018.36068         0.154849       0.096319       17.987233      
100    194    294    -1.659311           -2024.258975        -2022.599664        0.140908       0.144665       47.372185      
100    196    296    -1.17291            -2027.980222        -2026.807312        0.142671       0.16596        29.715442      
100    198    298    -0.257699           -2031.436294        -2031.178595        0.124197       0.187045       35.828354      
100    258    358    -0.068459           -2030.615932        -2030.547473        0.041829       0.003605       0.049135       
100    260    360    -0.209677           -2025.923521        -2025.713844        0.06727        0.018855       3.115563       
100    262    362    -0.764476           -2020.983769        -2020.219293        0.096209       0.036602       6.245503       
