  Z      N    UNEDF0    UNEDF1    UNEDF2    SV_MIN      SLY4      SKMS       SKP     Total
 60    132         0         0         0         0         1         1         0         2
 60    134         0         0         0         1         1         1         0         3
 60    136         0         1         1         1         1         1         0         5
 60    138         0         1         0         1         1         0         0         3
 60    140         0         1         0         0         0         0         0         1
 62     84         0         0         0         0         0         1         0         1
 62     86         0         0         1         0         1         1         0         3
 62     88         0         0         1         0         1         1         0         3
 62     90         1         0         1         1         0         1         0         4
 62     96         1         0         0         0         0         0         0         1
 62     98         1         0         0         0         0         0         0         1
 62    100         1         0         0         0         0         0         0         1
 62    114         1         0         0         0         0         0         0         1
 62    118         1         0         0         0         0         0         0         1
 62    122         1         0         0         0         0         0         0         1
 62    130         0         0         0         0         0         1         0         1
 62    132         0         1         1         1         1         1         0         5
 62    134         1         1         1         1         1         1         0         6
 62    136         0         1         1         1         1         1         0         5
 62    138         0         1         1         0         0         0         0         2
 62    140         0         0         1         0         0         0         0         1
 64     84         0         0         0         0         0         1         0         1
 64     86         0         0         1         0         0         1         0         2
 64     88         0         0         1         1         0         1         0         3
 64     90         1         0         0         0         0         1         1         3
 64     92         1         0         0         0         0         0         0         1
 64     94         1         0         0         0         0         0         0         1
 64     98         1         0         0         0         0         0         0         1
 64    130         0         0         1         0         1         1         0         3
 64    132         0         1         1         1         1         1         0         5
 64    134         0         1         1         1         1         1         0         5
 64    136         0         1         1         1         1         1         0         5
 64    138         0         0         1         0         0         0         0         1
 64    140         0         0         1         0         0         0         0         1
 66     70         0         0         0         1         0         0         0         1
 66     72         0         0         1         0         0         0         0         1
 66     84         0         0         1         0         0         0         0         1
 66     86         1         0         1         0         0         0         0         2
 66     88         0         1         1         1         0         0         0         3
 66     90         1         0         0         1         0         0         1         3
 66     92         1         0         0         1         0         0         0         2
 66     94         1         0         1         1         0         0         0         3
 66    130         0         0         1         0         1         1         0         3
 66    132         0         1         1         1         1         1         0         5
 66    134         0         1         1         1         1         1         0         5
 66    136         0         1         1         0         1         1         0         4
 66    138         0         0         1         0         0         0         0         1
 66    168         0         0         0         0         1         0         0         1
 66    170         0         0         0         0         1         0         0         1
 68     68         0         0         0         1         0         0         0         1
 68     86         1         0         1         0         0         0         0         2
 68     90         1         0         0         0         0         0         0         1
 68     92         0         1         0         0         0         0         0         1
 68     96         1         0         0         0         0         0         0         1
 68    130         0         0         1         0         1         1         0         3
 68    132         0         1         1         1         1         1         0         5
 68    134         0         1         1         0         1         1         0         4
 68    136         0         0         1         0         0         0         0         1
 68    138         0         0         1         0         0         0         0         1
 68    154         0         0         0         0         0         0         1         1
 68    162         0         0         0         0         1         0         0         1
 68    164         0         0         0         0         1         0         0         1
 68    170         0         0         0         0         1         0         0         1
 68    190         0         0         0         0         0         1         0         1
 70     86         1         0         0         0         1         0         0         2
 70     88         0         0         0         0         0         0         1         1
 70     90         0         0         1         0         0         0         0         1
 70     92         0         1         1         1         0         0         0         3
 70     94         1         0         1         1         0         0         0         3
 70     96         0         0         1         1         0         0         0         2
 70    130         0         0         1         0         0         1         0         2
 70    132         0         0         1         0         0         1         0         2
 70    134         0         0         1         0         0         1         0         2
 70    136         0         1         1         0         0         0         0         2
 70    148         0         0         0         0         0         0         1         1
 70    164         0         0         0         0         1         0         0         1
 70    166         0         0         0         0         1         1         0         2
 70    168         0         0         0         0         1         1         0         2
 70    170         0         0         0         0         1         0         0         1
 72     86         1         0         0         0         1         0         0         2
 72     88         1         0         0         0         0         0         0         1
 72     90         0         0         0         1         0         0         1         2
 72     92         0         1         1         0         0         0         0         2
 72     94         0         0         1         0         0         0         0         1
 72     96         0         0         1         0         0         0         0         1
 72    130         0         1         1         0         0         0         0         2
 72    132         1         0         1         0         0         1         0         3
 72    134         0         0         1         0         0         0         0         1
 72    136         0         0         1         0         0         0         0         1
 72    166         0         0         0         0         1         0         0         1
 72    168         0         0         0         0         1         1         0         2
 72    170         0         0         0         0         0         1         0         1
 72    174         0         0         0         0         1         0         0         1
 74     86         1         0         0         0         0         0         0         1
 74     88         1         0         0         0         0         0         1         2
 74     90         0         0         0         1         0         0         0         1
 74     92         0         0         1         0         0         0         0         1
 74     94         1         0         1         0         0         0         0         2
 74     96         0         1         1         0         0         0         0         2
 74     98         0         1         1         1         0         0         0         3
 74    130         0         0         1         0         0         0         0         1
 74    132         0         0         1         0         0         0         0         1
 74    134         0         0         1         0         0         0         0         1
 74    136         0         1         1         0         0         0         0         2
 74    170         0         0         0         0         0         1         0         1
 76     88         1         0         0         1         0         0         0         2
 76     90         0         0         0         0         0         1         1         2
 76     92         1         0         0         0         0         0         0         1
 76     94         1         0         0         0         0         0         0         1
 76     96         0         0         1         0         0         0         0         1
 76     98         0         1         1         0         0         0         0         2
 76    132         0         0         1         0         0         0         0         1
 76    134         1         0         1         0         0         0         0         2
 76    136         0         0         1         0         0         1         0         2
 76    138         0         0         1         0         0         0         0         1
 78     90         1         0         1         0         0         0         0         2
 78     92         1         0         0         0         0         0         0         1
 78     94         1         0         0         0         0         0         0         1
 78     96         1         0         1         1         0         0         0         3
 78     98         0         0         0         1         0         0         0         1
 78    100         0         0         1         0         0         0         0         1
 78    132         0         0         1         0         0         0         0         1
 78    134         0         0         1         0         0         1         0         2
 78    136         0         0         1         0         0         1         0         2
 78    138         0         0         1         0         0         1         0         2
 78    140         0         0         1         0         0         0         1         2
 78    160         0         0         0         0         0         0         1         1
 80     92         0         0         1         0         0         0         0         1
 80     96         0         1         1         0         0         0         0         2
 80    132         0         0         1         0         0         0         0         1
 80    134         0         0         1         0         0         1         0         2
 80    136         0         0         1         0         0         1         0         2
 80    138         0         0         1         0         0         1         0         2
 80    140         0         0         1         0         0         1         0         2
 80    142         0         0         1         0         0         0         0         1
 82     92         0         0         1         0         0         0         0         1
 82     94         0         0         1         0         0         0         0         1
 82     96         0         0         1         0         0         0         0         1
 82    132         0         0         1         0         0         0         0         1
 82    134         0         0         1         0         0         1         0         2
 82    136         0         0         1         0         0         1         0         2
 82    138         0         0         1         0         0         1         0         2
 82    140         0         0         1         0         1         1         0         3
 82    142         0         0         1         0         0         1         0         2
 82    144         0         0         1         0         0         0         0         1
 84    132         0         0         1         0         0         1         0         2
 84    134         0         0         1         0         1         1         0         3
 84    136         1         0         1         0         0         1         0         3
 84    138         1         0         0         0         0         0         0         1
 84    154         0         0         0         0         0         1         0         1
 84    156         0         0         0         0         1         1         0         2
 84    158         0         0         0         0         0         1         0         1
 84    160         0         0         0         0         1         1         0         2
 84    162         0         0         0         0         1         1         1         3
 84    192         0         0         1         0         0         0         0         1
 84    194         0         0         1         0         0         1         0         2
 84    196         0         0         1         0         1         1         0         3
 84    198         0         0         0         0         0         1         0         1
 86    130         0         0         0         0         1         1         0         2
 86    132         1         1         1         1         1         1         0         6
 86    134         1         1         1         1         1         1         0         6
 86    136         1         1         0         1         1         1         0         5
 86    138         1         0         0         1         1         1         0         4
 86    140         1         0         0         0         1         1         0         3
 86    142         0         0         0         0         0         1         0         1
 86    152         0         0         0         0         1         1         0         2
 86    154         0         0         0         0         1         1         0         2
 86    156         0         0         0         0         1         1         0         2
 86    158         0         0         0         0         1         1         1         3
 86    160         0         0         0         0         0         1         0         1
 86    164         0         0         0         0         0         1         0         1
 86    192         1         0         1         0         1         1         0         4
 86    194         1         0         1         1         1         1         0         5
 86    196         1         0         0         1         1         1         0         4
 86    198         1         0         0         0         1         0         0         2
 86    200         1         0         0         0         0         0         1         2
 86    202         1         0         0         0         0         0         1         2
 88    112         0         0         0         0         0         0         1         1
 88    128         0         0         0         0         0         1         0         1
 88    130         1         1         0         1         1         1         0         5
 88    132         1         1         1         1         1         1         1         7
 88    134         1         1         1         1         1         1         1         7
 88    136         1         1         1         1         1         1         1         7
 88    138         1         1         1         1         1         1         1         7
 88    140         1         1         0         1         1         1         1         6
 88    142         0         0         0         0         1         1         0         2
 88    144         0         0         0         0         0         1         0         1
 88    152         0         0         0         0         1         0         0         1
 88    154         0         0         0         0         1         1         1         3
 88    156         0         0         0         0         1         1         0         2
 88    158         0         0         0         0         0         1         0         1
 88    160         0         0         0         0         0         1         0         1
 88    162         0         0         0         0         0         1         1         2
 88    170         0         0         0         0         0         0         1         1
 88    172         0         0         0         0         0         1         0         1
 88    190         1         0         0         0         0         1         0         2
 88    192         1         0         1         1         1         1         0         5
 88    194         1         0         1         1         1         1         1         6
 88    196         1         1         0         1         1         1         1         6
 88    198         1         1         0         1         1         1         1         6
 88    200         1         1         0         1         1         1         1         6
 88    202         1         1         0         0         0         1         1         4
 88    204         1         0         0         0         0         1         0         2
 90    118         0         0         0         0         1         0         0         1
 90    128         0         0         0         0         0         1         0         1
 90    130         1         1         1         1         1         1         0         6
 90    132         1         1         1         1         1         1         1         7
 90    134         1         1         1         1         1         1         1         7
 90    136         1         1         1         1         1         1         1         7
 90    138         1         1         1         1         1         1         1         7
 90    140         0         0         0         0         0         1         0         1
 90    154         0         0         0         0         1         0         0         1
 90    156         0         0         0         0         1         1         1         3
 90    158         0         0         0         0         1         1         1         3
 90    160         0         0         0         0         1         1         0         2
 90    162         0         0         0         0         0         1         0         1
 90    190         1         0         0         0         1         1         0         3
 90    192         1         0         1         1         1         1         0         5
 90    194         1         1         1         1         1         1         1         7
 90    196         1         1         0         1         1         1         1         6
 90    198         1         1         0         1         1         1         1         6
 90    200         1         1         0         1         0         0         1         4
 90    202         0         1         0         0         0         0         1         2
 90    222         0         0         0         0         0         1         0         1
 90    224         0         0         0         0         1         1         0         2
 92    120         0         0         0         0         0         0         1         1
 92    128         1         0         0         0         0         1         0         2
 92    130         1         1         1         1         1         1         1         7
 92    132         1         1         1         1         1         1         1         7
 92    134         1         1         1         1         1         1         1         7
 92    136         0         1         1         1         1         1         1         6
 92    138         0         1         1         0         1         0         0         3
 92    156         0         0         0         0         1         0         0         1
 92    158         0         0         0         0         1         1         0         2
 92    160         0         0         0         0         1         0         1         2
 92    162         0         0         0         0         1         1         1         3
 92    164         0         0         0         0         0         1         1         2
 92    166         0         0         0         0         0         0         1         1
 92    170         0         0         0         0         0         0         1         1
 92    188         1         0         0         0         0         0         0         1
 92    190         1         0         0         1         1         1         0         4
 92    192         1         1         1         1         1         1         1         7
 92    194         1         1         1         1         1         1         1         7
 92    196         1         1         1         1         1         1         1         7
 92    198         1         1         0         1         1         1         1         6
 92    200         0         1         0         0         0         0         0         1
 92    226         0         0         0         0         0         1         0         1
 92    230         0         0         0         0         0         1         0         1
 94    120         0         0         0         0         0         0         1         1
 94    128         1         0         0         0         0         1         0         2
 94    130         1         1         1         1         1         1         1         7
 94    132         1         1         1         1         1         1         1         7
 94    134         1         1         1         1         1         1         0         6
 94    136         0         1         1         1         1         1         0         5
 94    138         0         1         0         0         1         1         0         3
 94    140         0         0         0         0         1         1         0         2
 94    142         0         0         0         0         0         1         0         1
 94    144         0         0         0         0         0         0         1         1
 94    158         0         0         0         0         1         0         0         1
 94    160         0         0         0         0         1         1         1         3
 94    162         0         0         0         0         1         0         1         2
 94    168         0         0         0         0         0         0         1         1
 94    170         0         0         0         0         0         0         1         1
 94    188         1         0         1         0         0         1         0         3
 94    190         1         1         1         1         1         1         0         6
 94    192         1         1         1         1         1         1         1         7
 94    194         1         1         1         1         1         1         1         7
 94    196         1         1         1         1         1         1         0         6
 94    198         0         1         1         1         1         1         0         5
 94    230         0         0         0         0         0         1         0         1
 94    232         0         0         0         1         0         1         0         2
 94    234         0         0         0         0         0         1         0         1
 94    242         1         0         0         0         0         0         0         1
 96    126         0         0         0         0         0         1         0         1
 96    128         1         1         1         1         1         1         0         6
 96    130         1         1         1         1         1         1         1         7
 96    132         0         1         1         1         1         1         0         5
 96    134         0         1         1         0         1         0         0         3
 96    136         0         0         0         0         1         0         0         1
 96    138         0         0         0         0         0         1         0         1
 96    158         0         0         0         0         0         0         1         1
 96    160         0         0         0         0         0         1         0         1
 96    162         0         0         0         0         1         1         0         2
 96    164         0         0         0         0         1         0         1         2
 96    166         0         0         0         0         0         0         1         1
 96    174         0         0         0         0         1         0         0         1
 96    182         0         0         0         0         0         1         0         1
 96    184         0         0         0         0         0         1         0         1
 96    186         0         0         1         0         1         1         0         3
 96    188         1         1         1         1         1         1         0         6
 96    190         1         1         1         1         1         1         0         6
 96    192         1         1         1         1         1         1         1         7
 96    194         1         1         1         1         1         1         0         6
 96    196         0         1         1         1         1         1         0         5
 96    198         0         1         1         0         1         0         0         3
 96    220         0         0         0         0         0         0         1         1
 96    230         0         0         0         1         0         0         0         1
 96    232         0         0         0         1         0         0         0         1
 96    234         0         0         0         0         0         1         0         1
 96    238         0         0         0         0         0         0         1         1
 96    240         0         0         0         1         0         0         0         1
 96    256         0         0         0         0         0         1         0         1
 96    258         0         0         0         0         0         1         0         1
 96    260         0         0         0         0         0         1         0         1
 96    262         0         0         0         0         0         1         0         1
 98    126         0         0         1         0         1         1         0         3
 98    128         1         1         1         1         1         1         0         6
 98    130         0         1         1         1         1         1         0         5
 98    132         0         1         1         0         1         0         0         3
 98    134         0         0         1         0         0         0         0         1
 98    160         0         0         0         0         0         0         1         1
 98    162         0         0         0         0         1         1         1         3
 98    164         0         0         0         0         0         1         0         1
 98    166         0         0         0         0         0         1         0         1
 98    182         0         0         0         0         0         1         0         1
 98    184         0         0         0         0         1         1         0         2
 98    186         1         1         1         1         1         1         0         6
 98    188         1         1         1         1         1         1         1         7
 98    190         1         1         1         1         1         1         1         7
