Z      N      A      Energy_new(MeV)     Energy_old(MeV)     Energy_diff(MeV)    beta2_new    beta2_old    beta3_new    fileID    
10     28     38     -206.895273         -206.858256         -0.037017           0.2187       0.207780     2.2e-05      3807      
10     30     40     -205.148367         -205.155111         0.006744            0.139001     0.131521     3e-05        3895      
10     32     42     -203.85124          -203.872782         0.021542            -2e-06       -0.000001    -0.0         3908      
10     34     44     -201.694228         -201.690309         -0.003919           -0.012882    0.000000     -1e-06       4026      
10     36     46     -196.696157         -196.552272         -0.143885           0.13019      0.000000     -1e-06       4092      
10     38     48     -191.163523         -191.023028         -0.140495           -0.155057    -0.000002    -8e-06       4188      
12     2      14     8.561464            9.240601            -0.679137           0.787333     0.000001     3.432048     4245      
12     4      16     -39.274165          -39.270824          -0.003341           -0.015952    0.000001     0.0          4342      
12     6      18     -89.214077          -89.237409          0.023332            -0.00401     0.000000     -7e-06       4372      
12     8      20     -132.935118         -132.97198          0.036862            -0.000354    0.000000     0.0          4447      
12     10     22     -163.856641         -163.906044         0.049403            0.277817     0.278176     0.001447     4523      
12     12     24     -190.434833         -190.48781          0.052977            0.308357     0.308601     0.001696     4586      
12     14     26     -211.54583          -211.537549         -0.008281           -0.10962     -0.117032    -0.000122    4654      
12     16     28     -227.831881         -227.759897         -0.071984           -0.000186    0.000000     -0.0         4729      
12     18     30     -238.274692         -238.274305         -0.000387           0.000266     0.000000     -3e-06       4814      
12     20     32     -246.757516         -246.750215         -0.007301           0.000655     0.000000     -7e-06       4890      
12     22     34     -251.145613         -251.164032         0.018419            0.188246     0.186510     0.00177      5023      
12     24     36     -255.838971         -255.858806         0.019835            0.287535     0.287631     -0.000819    5094      
12     26     38     -258.3796           -258.388286         0.008686            0.288279     0.285890     0.000999     5142      
12     28     40     -259.248511         -259.261221         0.01271             0.251888     0.247025     0.000601     5232      
12     30     42     -259.860017         -259.887667         0.02765             -0.155885    -0.154698    9.8e-05      5287      
12     32     44     -260.549309         -260.578279         0.02897             -4e-06       0.000000     -0.0         5378      
12     34     46     -259.73992          -259.761737         0.021817            -0.007604    0.000000     5e-06        5451      
12     36     48     -255.113536         -255.040027         -0.073509           0.115797     0.000000     -3.6e-05     5532      
12     38     50     -250.326454         -249.935166         -0.391288           0.191852     -0.000004    5.6e-05      5592      
14     4      18     -29.077646          -29.094972          0.017326            -0.012482    0.000001     0.0          5797      
14     6      20     -84.172899          -84.200071          0.027172            -1e-06       0.000000     0.0          5888      
14     8      22     -133.560781         -133.585881         0.0251              0.000482     0.000000     -0.0         5934      
14     10     24     -169.119583         -169.17528          0.055697            0.142937     0.144823     -0.000375    6010      
14     12     26     -201.430066         -201.458953         0.028887            0.161661     0.165560     0.000782     6085      
14     14     28     -230.121109         -230.128234         0.007125            -0.000749    0.000000     -1.5e-05     6182      
14     16     30     -251.836808         -251.836675         -0.000133           -0.000323    0.000000     5e-06        6243      
14     18     32     -267.564726         -267.56934          0.004614            -0.000705    0.000000     2e-06        6302      
14     20     34     -281.088946         -281.122452         0.033506            0.000255     0.000000     8e-06        6405      
14     22     36     -288.748612         -288.791322         0.04271             0.06067      0.055521     0.004678     6509      
14     24     38     -296.416184         -296.448324         0.03214             0.210982     0.210398     0.001712     6537      
14     26     40     -302.248387         -302.293708         0.045321            0.223996     0.222679     0.000165     6612      
14     28     42     -307.472945         -307.511107         0.038162            -0.193779    -0.193484    0.000574     6697      
14     30     44     -310.842306         -310.8891           0.046794            -0.113496    -0.108107    0.005329     6816      
14     32     46     -313.940383         -313.972307         0.031924            0.000574     0.000000     1e-06        6849      
14     34     48     -314.399405         -314.42158          0.022175            -0.003619    0.000000     3e-06        6906      
14     36     50     -310.803062         -310.835125         0.032063            0.0          0.000000     -0.0         6983      
14     38     52     -306.926968         -306.92968          0.002712            0.108677     0.000001     -7e-06       7122      
16     6      22     -76.024889          -76.048551          0.023662            -0.0         0.000000     0.0          7283      
16     8      24     -130.017763         -130.048858         0.031095            0.0          0.000000     0.0          7418      
16     10     26     -169.633722         -169.616209         -0.017513           -0.003016    0.000000     -4e-06       7429      
16     12     28     -206.619628         -206.639515         0.019887            -0.005244    0.000000     -1.5e-05     7518      
16     14     30     -240.726635         -240.704199         -0.022436           -0.000948    0.000000     -8e-06       7592      
16     16     32     -267.604921         -267.61042          0.005499            -0.000543    0.000000     2e-06        7667      
16     18     34     -288.458118         -288.477665         0.019547            0.000505     0.000000     -1.7e-05     7755      
16     20     36     -306.792523         -306.794689         0.002166            -6e-06       0.000000     0.0          7812      
16     22     38     -318.590901         -318.593811         0.00291             -0.002385    -0.000003    -4.5e-05     7932      
16     24     40     -330.586998         -330.632341         0.045343            0.179177     0.179136     -0.000415    7962      
16     26     42     -340.335006         -340.390954         0.055948            0.185166     0.184711     -4.5e-05     8037      
16     28     44     -348.442874         -348.481012         0.038138            -0.147224    -0.147263    0.00016      8122      
16     30     46     -354.973438         -355.011763         0.038325            0.000455     0.000000     -8e-06       8228      
16     32     48     -360.37491          -360.405818         0.030908            0.000281     0.000000     -1e-06       8304      
16     34     50     -362.278615         -362.311114         0.032499            1e-06        0.000000     -0.0         8333      
16     36     52     -361.102307         -361.133501         0.031194            2e-06        0.000000     0.0          8438      
16     38     54     -359.527074         -359.540391         0.013317            -0.003141    0.000000     -5e-06       8481      
16     40     56     -357.75499          -357.751783         -0.003207           -0.008937    0.000000     3e-06        8601      
16     42     58     -356.039951         -355.991738         -0.048213           0.229522     0.219508     -0.000179    8697      
16     44     60     -354.139222         -354.067516         -0.071706           0.252993     0.241351     6.9e-05      8742      
16     46     62     -351.641829         -351.565464         -0.076365           0.254135     0.238584     2e-06        8847      
16     48     64     -348.696076         -348.642883         -0.053193           -0.226933    -0.208382    8.1e-05      8868      
18     8      26     -120.449783         -120.469245         0.019462            0.003452     0.000000     -0.0         9024      
18     10     28     -164.173158         -164.204377         0.031219            -1e-06       0.000000     0.0          9098      
18     12     30     -205.720323         -205.719741         -0.000582           0.001251     0.000000     -1.6e-05     9180      
18     14     32     -244.705679         -244.674914         -0.030765           0.003891     0.000000     0.000317     9270      
18     16     34     -276.486391         -276.519565         0.033174            -0.000766    0.000000     -2e-06       9302      
18     18     36     -302.662998         -302.654849         -0.008149           0.000202     0.000000     -4e-06       9390      
18     20     38     -326.179855         -326.180427         0.000572            -1.7e-05     0.000000     -0.0         9462      
18     22     40     -342.5985           -342.645035         0.046535            3.8e-05      0.000000     0.0          9563      
18     24     42     -357.892044         -357.937759         0.045715            0.100207     0.099795     0.000121     9612      
18     26     44     -371.748498         -371.804397         0.055899            0.079945     0.079934     0.000273     9699      
18     28     46     -383.983705         -384.018675         0.03497             0.001047     0.000002     -3e-06       9772      
18     30     48     -394.130779         -394.1767           0.045921            -0.0         0.000000     0.0          9833      
18     32     50     -401.7879           -401.827662         0.039762            0.0          0.000000     0.0          9923      
18     34     52     -405.443451         -405.48124          0.037789            0.000242     0.000000     1e-06        9999      
18     36     54     -407.043695         -407.080957         0.037262            -0.0         0.000000     0.0          10088     
18     38     56     -408.343709         -408.357949         0.01424             -0.00066     0.000000     4e-06        10161     
18     40     58     -409.1648           -409.155503         -0.009297           -0.001301    0.000000     -2e-06       10266     
18     42     60     -408.205165         -408.157252         -0.047913           -0.012319    0.000001     -2e-06       10310     
18     44     62     -407.471609         -407.390786         -0.080823           0.140018     0.135302     -9e-06       10406     
18     46     64     -406.696596         -406.629114         -0.067482           0.174902     0.166592     0.0001       10437     
18     48     66     -405.673516         -405.652406         -0.02111            -0.166518    -0.157707    3.6e-05      10518     
18     50     68     -404.719658         -404.73358          0.013922            -0.167536    -0.163857    0.000142     10581     
18     52     70     -403.32103          -403.354897         0.033867            -0.155863    -0.154065    -1.6e-05     10657     
18     54     72     -401.379553         -401.421654         0.042101            -0.136768    -0.128429    -9.7e-05     10761     
18     56     74     -399.1572           -399.183155         0.025955            0.00324      -0.000001    -1e-06       10824     
20     10     30     -155.62044          -155.649581         0.029141            -1e-06       0.000000     -0.0         10973     
20     12     32     -201.439834         -201.478237         0.038403            1e-06        0.000000     0.0          11033     
20     14     34     -245.041924         -245.080274         0.03835             0.000486     0.000000     8e-06        11141     
20     16     36     -281.414886         -281.44546          0.030574            0.000123     0.000000     -2e-06       11187     
20     18     38     -312.681221         -312.71459          0.033369            2.5e-05      0.000000     0.0          11262     
20     20     40     -341.153648         -341.204032         0.050384            2e-06        0.000000     -2e-06       11378     
20     22     42     -362.010941         -362.057539         0.046598            1e-06        0.000000     0.0          11407     
20     24     44     -381.110405         -381.14563          0.035225            -3.5e-05     0.000000     0.0          11497     
20     26     46     -399.26155          -399.319263         0.057713            -0.0         0.000000     0.0          11618     
20     28     48     -415.502182         -415.560882         0.0587              -0.0         0.000000     0.0          11633     
20     30     50     -428.446974         -428.498241         0.051267            0.0          0.000000     1e-06        11738     
20     32     52     -438.621207         -438.666833         0.045626            5e-05        0.000000     2e-06        11829     
20     34     54     -444.396735         -444.440267         0.043532            0.0          0.000000     0.0          11858     
20     36     56     -448.818019         -448.848799         0.03078             0.000471     0.000000     -2e-06       11935     
20     38     58     -453.040139         -453.055359         0.01522             -0.000415    0.000000     -2e-06       12006     
20     40     60     -456.617215         -456.632946         0.015731            -0.000457    0.000000     1e-06        12111     
20     42     62     -458.061452         -458.03767          -0.023782           -0.001536    0.000000     3e-06        12185     
20     44     64     -458.658076         -458.60577          -0.052306           -0.004865    0.000000     -3e-06       12260     
20     46     66     -459.240096         -459.249624         0.009528            0.08339      0.070419     0.000342     12372     
20     48     68     -459.696085         -459.713285         0.0172              0.099191     0.089243     -6.6e-05     12431     
20     50     70     -459.962923         -459.985294         0.022371            0.070884     0.054051     0.000129     12506     
20     52     72     -460.203588         -460.229683         0.026095            0.006104     -0.000001    -7e-06       12579     
20     54     74     -460.459833         -460.495318         0.035485            2e-06        0.000000     -0.0         12623     
20     56     76     -460.680187         -460.713544         0.033357            0.0          0.000000     0.0          12698     
20     58     78     -460.020452         -460.051301         0.030849            0.001498     0.000000     1e-06        12774     
22     12     34     -193.65954          -193.65568          -0.00386            0.300246     0.291764     0.000637     12989     
22     14     36     -239.200957         -239.211639         0.010682            0.078659     0.076267     -0.000759    13063     
22     16     38     -279.377247         -279.402046         0.024799            0.010663     0.000001     6.5e-05      13140     
22     18     40     -315.13869          -315.176879         0.038189            6.9e-05      -0.000001    -3e-06       13212     
22     20     42     -348.086397         -348.144111         0.057714            8e-06        0.000000     -0.0         13343     
22     22     44     -372.812435         -372.85503          0.042595            0.000169     0.000000     -0.0         13359     
22     24     46     -396.55531          -396.626749         0.071439            0.128452     0.127396     -1.3e-05     13434     
22     26     48     -417.775527         -417.834128         0.058601            0.075147     0.071537     -0.000116    13569     
22     28     50     -437.235698         -437.280332         0.044634            -6.8e-05     0.000001     0.0          13612     
22     30     52     -452.759712         -452.820684         0.060972            0.0          0.000000     -0.0         13673     
22     32     54     -465.34269          -465.397121         0.054431            -0.000131    0.000000     -0.0         13734     
22     34     56     -473.52379          -473.575757         0.051967            0.001162     0.000000     -2.7e-05     13867     
22     36     58     -480.807455         -480.800446         -0.007009           -0.007147    -0.000001    4e-06        13879     
22     38     60     -487.998732         -487.980117         -0.018615           -0.000616    0.000000     1e-06        13955     
22     40     62     -494.402914         -494.397708         -0.005206           -0.000617    0.000000     2e-06        14074     
22     42     64     -498.329574         -498.253223         -0.076351           -0.000679    0.000000     4e-06        14105     
22     44     66     -502.31475          -502.331873         0.017123            0.12516      0.125961     0.002236     14201     
22     46     68     -505.618491         -505.630613         0.012122            0.152039     0.151167     -0.000277    14277     
22     48     70     -507.830931         -507.820496         -0.010435           0.151217     0.149504     0.000651     14352     
22     50     72     -509.325525         -509.301146         -0.024379           0.126707     0.124008     0.000363     14427     
22     52     74     -510.596873         -510.61102          0.014147            -0.087381    -0.078967    5.4e-05      14478     
22     54     76     -511.514231         -511.43807          -0.076161           -0.064631    -0.000015    -2.8e-05     14553     
22     56     78     -512.486428         -512.519655         0.033227            0.001167     0.000000     -0.0         14634     
22     58     80     -512.677965         -512.693383         0.015418            -0.001046    0.000000     -1e-06       14722     
22     60     82     -511.195368         -511.234481         0.039113            -0.0         0.000000     -0.0         14843     
22     62     84     -508.530192         -508.569336         0.039144            -0.0         0.000000     1e-06        14918     
22     64     86     -503.955853         -503.985052         0.029199            0.098819     0.000001     2e-06        15000     
24     12     36     -184.259197         -184.233376         -0.025821           0.32796      0.314534     0.000305     15058     
24     14     38     -232.11638          -232.145666         0.029286            0.228059     0.225014     -0.000811    15087     
24     16     40     -276.267278         -276.303136         0.035858            0.189813     0.189475     0.00123      15164     
24     18     42     -315.054467         -315.114979         0.060512            0.09987      0.099858     0.005369     15252     
24     20     44     -351.75515          -351.820146         0.064996            1e-06        0.000000     -0.0         15353     
24     22     46     -381.033266         -381.099207         0.065941            0.124693     0.124540     0.0          15384     
24     24     48     -409.467966         -409.537441         0.069475            0.213289     0.212988     0.005122     15474     
24     26     50     -434.010137         -434.084058         0.073921            0.188956     0.188045     0.009618     15549     
24     28     52     -455.741445         -455.818546         0.077101            0.101038     0.100424     3.4e-05      15609     
24     30     54     -473.526364         -473.59761          0.071246            -1e-06       0.000001     0.0          15683     
24     32     56     -488.574501         -488.638243         0.063742            -0.00038     0.000000     -1e-06       15804     
24     34     58     -500.593872         -500.649777         0.055905            0.134281     0.133803     -4e-05       15838     
24     36     60     -510.693034         -510.717287         0.024253            0.130397     0.129706     -7e-06       15914     
24     38     62     -520.254757         -520.297178         0.042421            0.248084     0.250480     -0.000655    15990     
24     40     64     -529.037795         -529.044072         0.006277            -0.000299    0.000000     -2e-06       16054     
24     42     66     -536.455025         -536.491665         0.03664             0.227999     0.228223     -0.000238    16138     
24     44     68     -543.129939         -543.156762         0.026823            0.196854     0.197086     0.006525     16242     
24     46     70     -548.649732         -548.671231         0.021499            0.186483     0.186340     -0.002048    16317     
24     48     72     -552.831023         -552.834385         0.003362            0.179942     0.179569     0.001769     16377     
24     50     74     -555.870052         -555.867043         -0.003009           0.153345     0.152108     6.7e-05      16437     
24     52     76     -558.270569         -558.260204         -0.010365           0.104717     0.100578     -0.000342    16542     
24     54     78     -560.041021         -560.034811         -0.00621            -0.074874    -0.064577    -6.3e-05     16608     
24     56     80     -561.748407         -561.77148          0.023073            -0.00108     0.000000     -0.0         16717     
24     58     82     -562.768307         -562.797154         0.028847            -0.000785    0.000000     0.0          16732     
24     60     84     -561.931828         -561.978627         0.046799            0.0          0.000000     -1e-06       16853     
24     62     86     -559.879882         -559.926302         0.04642             -1e-06       0.000000     0.0          16928     
24     64     88     -555.908588         -555.953657         0.045069            -2e-06       0.000000     -0.0         16958     
24     66     90     -552.254085         -552.276902         0.022817            0.146569     0.144112     5.6e-05      17079     
26     14     40     -222.969072         -222.96491          -0.004162           -0.222354    -0.215853    -7.1e-05     3         
26     16     42     -270.174727         -270.200703         0.025976            0.214313     0.210879     0.001646     120       
26     18     44     -312.614615         -312.656425         0.04181             -0.108956    -0.107192    0.000502     154       
26     20     46     -353.213915         -353.261511         0.047596            0.000228     0.000000     0.0          237       
26     22     48     -385.794884         -385.869271         0.074387            0.10459      0.104118     -1.8e-05     309       
26     24     50     -417.45353          -417.532357         0.078827            0.200258     0.199532     -0.009093    427       
26     26     52     -445.585551         -445.677937         0.092386            0.172021     0.171240     3.3e-05      462       
26     28     54     -470.966035         -471.057492         0.091457            -1.4e-05     0.000000     0.0          578       
26     30     56     -491.641482         -491.72278          0.081298            0.040471     0.000000     -0.006572    669       
26     32     58     -509.173685         -509.245461         0.071776            -0.000154    0.000000     1e-06        729       
26     34     60     -524.153779         -524.214001         0.060222            0.140284     0.140243     0.00035      763       
26     36     62     -537.138358         -537.166099         0.027741            0.130097     0.127766     0.01566      870       
26     38     64     -549.20921          -549.222101         0.012891            -0.011723    0.000002     1.3e-05      902       
26     40     66     -561.121976         -561.134486         0.01251             -0.000183    0.000000     1e-06        979       
26     42     68     -570.12038          -570.139703         0.019323            -0.001641    0.000000     2e-06        1052      
26     44     70     -579.203664         -579.229459         0.025795            0.138724     0.139136     -0.000527    1137      
26     46     72     -587.302602         -587.33254          0.029938            0.153998     0.154248     4e-05        1212      
26     48     74     -593.669494         -593.690976         0.021482            0.126567     0.127104     8.5e-05      1287      
26     50     76     -599.138161         -599.150135         0.011974            0.006029     0.000000     -4.1e-05     1364      
26     52     78     -602.941782         -602.881165         -0.060617           0.03475      0.004449     0.000183     1440      
26     54     80     -605.905697         -605.914553         0.008856            -0.042688    -0.000002    2.2e-05      1518      
26     56     82     -608.854691         -608.901073         0.046382            0.000694     0.000000     -0.0         1584      
26     58     84     -610.689145         -610.730159         0.041014            -0.000671    0.000000     1e-06        1672      
26     60     86     -610.533486         -610.588442         0.054956            0.0          0.000000     0.0          1748      
26     62     88     -609.2481           -609.302205         0.054105            0.0          0.000000     0.0          1808      
26     64     90     -606.619238         -606.66918          0.049942            0.000412     0.000000     -1e-06       1944      
26     66     92     -603.821202         -603.982236         0.161034            0.198823     0.176614     -0.000124    1976      
28     16     44     -261.517113         -261.53012          0.013007            -0.187802    -0.185128    0.000795     2194      
28     18     46     -307.805747         -307.841598         0.035851            -0.118528    -0.115197    -0.000175    2267      
28     20     48     -351.738223         -351.811069         0.072846            0.002432     0.000000     -0.000171    2382      
28     22     50     -387.219726         -387.311063         0.091337            0.048493     0.047463     -9e-06       2424      
28     24     52     -421.411636         -421.502679         0.091043            0.14729      0.146794     0.001808     2544      
28     26     54     -453.041789         -453.133005         0.091216            0.095795     0.096429     0.001325     2607      
28     28     56     -482.68811          -482.775691         0.087581            0.000206     0.000000     0.0          2630      
28     30     58     -506.069333         -506.122676         0.053343            0.000176     0.000000     -1e-06       2734      
28     32     60     -526.172185         -526.229734         0.057549            -0.001784    0.000000     4e-06        2823      
28     34     62     -543.55961          -543.628207         0.068597            0.108927     0.109342     -6.5e-05     2864      
28     36     64     -559.851162         -559.902187         0.051025            -0.112574    -0.112828    0.000225     2987      
28     38     66     -575.038029         -575.073326         0.035297            -0.003028    0.000000     2e-06        3003      
28     40     68     -589.557236         -589.626443         0.069207            -0.000486    0.000000     -1e-06       3078      
28     42     70     -601.049782         -601.088173         0.038391            0.000276     0.000000     -0.0         3161      
28     44     72     -611.6835           -611.720222         0.036722            0.070169     0.072015     1.2e-05      3237      
28     46     74     -621.956605         -621.997732         0.041127            0.098695     0.100274     3.6e-05      3312      
28     48     76     -631.254656         -631.299166         0.04451             0.000981     0.000000     1e-06        3389      
28     50     78     -639.517722         -639.590149         0.072427            0.000997     0.000000     -1e-06       3462      
28     52     80     -644.454297         -644.520425         0.066128            0.00727      0.000038     2e-06        3537      
28     54     82     -648.637608         -648.697253         0.059645            0.001577     0.000000     9e-06        3639      
28     56     84     -652.721136         -652.788681         0.067545            0.0          0.000000     -0.0         3698      
28     58     86     -655.386986         -655.450842         0.063856            0.0          0.000000     -1e-06       3773      
28     60     88     -655.950813         -656.009996         0.059183            -0.000646    0.000000     -0.0         3832      
28     62     90     -655.627129         -655.684992         0.057863            0.000496     0.000000     -0.0         3954      
28     64     92     -654.553322         -654.607018         0.053696            0.000176     0.000000     0.0          3984      
28     66     94     -652.932887         -652.990788         0.057901            1.5e-05      0.000000     -1e-06       4088      
28     68     96     -652.617964         -652.663945         0.045981            0.260439     0.259060     0.000318     4194      
28     70     98     -651.957494         -652.002464         0.04497             0.279426     0.271408     0.000164     4255      
28     72     100    -650.894665         -650.930036         0.035371            0.275434     0.273720     -0.000132    4329      
28     74     102    -649.393042         -649.425678         0.032636            0.271249     0.269731     0.0          4404      
28     76     104    -647.462342         -647.488305         0.025963            0.265529     0.264274     -7.6e-05     4479      
28     78     106    -645.164467         -645.194731         0.030264            0.262278     0.260977     9.1e-05      4539      
30     20     50     -347.059439         -347.091725         0.032286            0.000917     0.000000     -1e-06       4705      
30     22     52     -384.758916         -384.827784         0.068868            -0.00033     0.000000     1e-06        4779      
30     24     54     -421.055717         -421.135924         0.080207            0.114067     0.113875     0.000718     4824      
30     26     56     -455.188454         -455.226694         0.03824             -0.001426    -0.000002    -3e-06       4879      
30     28     58     -487.562763         -487.646321         0.083558            -0.000189    0.000000     1e-06        4972      
30     30     60     -514.02816          -514.104327         0.076167            -1e-06       0.000000     1e-06        5063      
30     32     62     -537.095144         -537.162343         0.067199            0.000105     0.000000     -1e-06       5109      
30     34     64     -557.298399         -557.371965         0.073566            0.125147     0.125470     -0.000124    5186      
30     36     66     -576.283482         -576.324005         0.040523            -0.128224    -0.128010    9.8e-05      5251      
30     38     68     -593.904501         -593.917185         0.012684            -0.003529    0.000000     6e-06        5327      
30     40     70     -610.833246         -610.858944         0.025698            -0.000465    0.000000     -3e-06       5448      
30     42     72     -624.538524         -624.551132         0.012608            0.000743     0.000000     3.8e-05      5535      
30     44     74     -638.138827         -638.170838         0.032011            0.126789     0.128126     0.000258     5565      
30     46     76     -651.047943         -651.09542          0.047477            0.145878     0.146905     -0.000246    5640      
30     48     78     -661.891752         -661.928757         0.037005            0.109089     0.110718     4.4e-05      5712      
30     50     80     -671.69245          -671.726791         0.034341            0.003615     0.000000     9e-06        5789      
30     52     82     -678.633943         -678.672793         0.03885             0.072598     0.072646     0.000243     5865      
30     54     84     -684.331323         -684.400448         0.069125            -0.061763    -0.061896    0.000284     5963      
30     56     86     -689.680319         -689.742079         0.06176             -2e-06       0.000000     0.0          6008      
30     58     88     -693.555207         -693.61031          0.055103            -0.000354    0.000000     1e-06        6097      
30     60     90     -695.080477         -695.136777         0.0563              -3e-06       0.000000     1e-06        6203      
30     62     92     -696.094975         -696.156984         0.062009            0.087236     0.087954     -5e-06       6278      
30     64     94     -697.606505         -697.669039         0.062534            0.190664     0.189941     0.001086     6339      
30     66     96     -698.973218         -699.029894         0.056676            0.231189     0.230564     0.001134     6444      
30     68     98     -699.764799         -699.822818         0.058019            0.245775     0.244986     0.000685     6519      
30     70     100    -700.050305         -700.106068         0.055763            0.250973     0.249872     0.000427     6594      
30     72     102    -699.943864         -699.998736         0.054872            0.249711     0.248446     0.000264     6654      
30     74     104    -699.539718         -699.584442         0.044724            0.245442     0.244248     0.000303     6729      
30     76     106    -698.818408         -698.864888         0.04648             0.242157     0.241064     0.000165     6819      
30     78     108    -697.612018         -697.65725          0.045232            0.241229     0.240209     7.2e-05      6849      
30     80     110    -695.837761         -695.848412         0.010651            0.244596     0.240017     7e-06        6940      
30     82     112    -693.564712         -693.532258         -0.032454           0.243131     0.236579     -2e-05       7031      
30     84     114    -690.91672          -690.840585         -0.076135           0.231449     0.224205     0.000235     7061      
32     24     56     -417.051873         -417.118961         0.067088            0.132301     0.133998     0.000191     7257      
32     26     58     -453.783622         -453.85636          0.072738            0.136069     0.137502     0.00019      7287      
32     28     60     -488.088872         -488.156793         0.067921            -0.001997    0.000000     -0.0         7357      
32     30     62     -517.445255         -517.510786         0.065531            0.0          0.000000     0.0          7433      
32     32     64     -543.350968         -543.410919         0.059951            0.0          0.000000     0.0          7508      
32     34     66     -566.963808         -567.028747         0.064939            0.174774     0.175053     -0.000337    7586      
32     36     68     -588.423549         -588.448915         0.025366            -0.179993    -0.179854    -0.000145    7651      
32     38     70     -608.354457         -608.371649         0.017192            -0.156627    -0.157599    0.000184     7742      
32     40     72     -627.55101          -627.568874         0.017864            -0.000143    0.000000     -9e-06       7865      
32     42     74     -643.649572         -643.754812         0.10524             0.002873     0.204422     5e-05        7919      
