Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
118    204    322    -0.016053           -2227.781925        -2227.765872        0.118127       0.317319       52.157631      
118    210    328    0.035048            -2252.652415        -2252.687463        0.01661        0.259638       47.137196      
118    212    330    0.037592            -2260.474498        -2260.51209         0.0238         0.252202       46.098935      
118    238    356    -0.00022            -2333.755596        -2333.755376        0.019921       0.163535       33.515023      
118    264    382    -1.390931           -2367.80399         -2366.413059        0.087413       0.042936       -6.448142      
118    266    384    -1.789073           -2369.047798        -2367.258725        0.107068       0.05042        -11.22611      
118    268    386    -2.267122           -2369.997403        -2367.730281        0.12041        0.05234        -13.641869     
118    270    388    -2.332592           -2370.410495        -2368.077903        0.133943       0.044651       -15.222212     
118    272    390    -0.781916           -2370.525851        -2369.743935        0.140533       0.03809        86.10295       
118    274    392    -0.040252           -2370.578081        -2370.537829        0.156611       0.006882       83.663004      
118    280    398    -0.017603           -2371.964465        -2371.946862        0.114486       0.307549       75.689816      
