Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
86     136    222    0.011121            -1698.368416        -1698.357295        0.145572       0.01           -0.013815      YES
86     138    224    0.057585            -1707.614348        -1707.556763        0.163641       0.01           -0.014016      YES
86     140    226    0.085089            -1716.667662        -1716.582573        0.178868       0.01           -0.009299      YES
86     152    238    0.048824            -1763.074655        -1763.025831        0.228046       0.01           -0.019421      YES
86     154    240    0.042381            -1769.190621        -1769.14824         0.225433       0.01           -0.023609      YES
86     156    242    0.064144            -1775.203666        -1775.139522        0.221684       0.01           -0.025851      YES
86     158    244    0.082919            -1781.037209        -1780.95429         0.213878       0.01           -0.027289      YES
86     192    278    0.051278            -1831.044176        -1830.992898        0.080599       0.01           -0.018418      YES
86     194    280    0.054629            -1829.464786        -1829.410157        0.104689       0.01           -0.018171      YES
86     196    282    0.151937            -1828.006488        -1827.854551        0.123436       0.01           -0.016497      YES
86     198    284    0.220816            -1826.712427        -1826.491611        0.141063       0.01           -0.011163      YES
88     130    218    0.012268            -1677.092453        -1677.080185        0.092411       0.009999       -0.015428      NO
88     132    220    0.086399            -1688.618632        -1688.532233        0.122628       0.009997       -0.018137      NO
88     134    222    0.059522            -1699.690682        -1699.63116         0.146359       0.009986       -0.016422      NO
88     136    224    0.078744            -1710.522745        -1710.444001        0.169102       0.009814       -0.013567      NO
88     138    226    0.108176            -1721.220749        -1721.112573        0.186805       0.010002       -0.015406      NO
88     140    228    0.081353            -1731.548131        -1731.466778        0.199817       0.01           -0.017435      YES
88     142    230    0.124866            -1741.432077        -1741.307211        0.211019       0.01           -0.009822      YES
88     152    240    0.05449             -1782.969353        -1782.914863        0.228751       0.01           -0.014202      YES
88     154    242    0.048339            -1789.742837        -1789.694498        0.224615       0.01           -0.0216        YES
88     156    244    0.057693            -1796.445486        -1796.387793        0.219646       0.01           -0.024555      YES
88     192    280    0.028049            -1862.454332        -1862.426283        0.091588       0.01           -0.025547      YES
88     194    282    0.02352             -1861.791368        -1861.767848        0.115404       0.01           -0.021949      YES
88     196    284    0.063105            -1861.304464        -1861.241359        0.136604       0.01           -0.016763      YES
88     198    286    0.218885            -1861.077744        -1860.858859        0.155198       0.01           -0.014833      YES
88     200    288    0.334333            -1860.803787        -1860.469454        0.169268       0.01           -0.013229      YES
90     118    208    0.055479            -1585.338467        -1585.282988        0.13045        0.01           -0.007514      YES
90     130    220    0.055867            -1683.173089        -1683.117222        0.100545       0.010005       -0.016486      NO
90     132    222    0.07372             -1695.996735        -1695.923015        0.13672        0.01           -0.014987      YES
90     134    224    0.120648            -1708.693054        -1708.572406        0.168719       0.01           -0.006581      YES
90     136    226    0.150734            -1721.389644        -1721.23891         0.195491       0.010014       -0.001306      NO
90     138    228    0.147263            -1733.49666         -1733.349397        0.211175       0.01           -0.001306      YES
90     154    244    0.104824            -1808.636815        -1808.531991        0.230481       0.01           -0.017049      YES
90     156    246    0.119422            -1816.024213        -1815.904791        0.22459        0.01           -0.022599      YES
90     158    248    0.127083            -1823.290276        -1823.163193        0.216786       0.01           -0.025075      YES
90     160    250    0.149991            -1830.307626        -1830.157635        0.206874       0.01           -0.026307      YES
90     190    280    0.011396            -1892.940725        -1892.929329        1e-06          0.01           -0.089773      YES
90     192    282    0.072835            -1892.122708        -1892.049873        0.094618       0.009991       -0.027642      NO
90     194    284    0.184299            -1892.311219        -1892.12692         0.124322       0.010001       -0.023541      NO
90     196    286    0.276654            -1892.957686        -1892.681032        0.150822       0.010004       -0.016216      NO
90     198    288    0.308486            -1893.785383        -1893.476897        0.169451       0.01           -0.010406      YES
90     224    314    0.394964            -1877.042817        -1876.647853        0.193196       0.01           -0.049725      YES
92     130    222    0.064747            -1687.73434         -1687.669593        0.105668       0.009965       -0.01191       NO
92     132    224    0.085425            -1701.83825         -1701.752825        0.150054       0.01           -0.006525      YES
92     134    226    0.16878             -1716.161392        -1715.992612        0.186774       0.010012       0.001825       NO
92     136    228    0.17338             -1730.434249        -1730.260869        0.21346        0.01           0.003129       YES
92     138    230    0.186473            -1743.809684        -1743.623211        0.22816        0.01           0.001772       YES
92     156    248    0.193514            -1833.924451        -1833.730937        0.233824       0.01           -0.016917      YES
92     158    250    0.215328            -1841.762538        -1841.54721         0.225819       0.01           -0.022629      YES
92     160    252    0.207846            -1849.348624        -1849.140778        0.216181       0.01           -0.025238      YES
92     162    254    0.192231            -1856.361737        -1856.169506        0.204927       0.01           -0.026365      YES
92     190    282    0.008839            -1920.586814        -1920.577975        5e-06          0.01           -0.087918      YES
92     192    284    0.052768            -1920.27158         -1920.218812        0.096051       0.009914       -0.024591      NO
92     194    286    0.21922             -1921.366443        -1921.147223        0.133987       0.009996       -0.016017      NO
92     196    288    0.302406            -1923.17759         -1922.875184        0.163275       0.010011       -0.000551      NO
92     198    290    0.334834            -1924.907126        -1924.572292        0.180254       0.01           -0.005485      YES
94     130    224    0.111957            -1690.915964        -1690.804007        0.110025       0.009634       -0.000975      NO
94     132    226    0.104285            -1706.264811        -1706.160526        0.160566       0.01           0.004202       YES
94     134    228    0.114393            -1721.812432        -1721.698039        0.197177       0.009997       0.002733       NO
94     136    230    0.100674            -1737.0847          -1736.984026        0.220651       0.01           -0.005826      YES
94     138    232    0.125068            -1751.514266        -1751.389198        0.2338         0.01           -0.00803       YES
94     140    234    0.139473            -1765.268115        -1765.128642        0.243763       0.01           -0.011162      YES
94     158    252    0.254809            -1858.661076        -1858.406267        0.236667       0.01           -0.014667      YES
94     160    254    0.24219             -1866.795954        -1866.553764        0.226533       0.01           -0.022752      YES
94     162    256    0.192224            -1874.35194         -1874.159716        0.214409       0.01           -0.025543      YES
94     190    284    -0.003761           -1946.015333        -1946.019094        -0.000238      0.01           -0.082939      YES
94     192    286    0.676132            -1946.965322        -1946.28919         0.108686       0.007519       -0.01165       NO
94     194    288    0.203654            -1948.952967        -1948.749313        0.142242       0.009701       -0.004542      NO
94     196    290    0.259456            -1951.639071        -1951.379615        0.171508       0.01           0.003176       YES
94     198    292    0.291234            -1954.146583        -1953.855349        0.187675       0.01           -0.001432      YES
96     128    224    0.004579            -1678.353848        -1678.349269        -0.000296      0.01           -0.046753      YES
96     130    226    0.060109            -1692.790499        -1692.73039         0.112211       0.010005       0.01044        NO
96     132    228    0.083461            -1709.205018        -1709.121557        0.168348       0.009818       0.016463       NO
96     134    230    0.053718            -1725.735453        -1725.681735        0.206553       0.01           0.005446       YES
96     136    232    0.072383            -1741.952827        -1741.880444        0.227312       0.01           -0.008836      YES
96     162    258    0.189498            -1890.94755         -1890.758052        0.223195       0.01           -0.023712      YES
96     164    260    0.140431            -1898.113983        -1897.973552        0.206097       0.01           -0.026371      YES
96     174    270    0.042624            -1934.323272        -1934.280648        -0.117866      0.01           -0.014382      YES
96     186    282    0.004732            -1968.105836        -1968.101104        0.00025        0.01           -0.015299      YES
96     188    284    -0.007753           -1968.9044          -1968.912153        0.000538       0.01           -0.051957      YES
96     190    286    0.128302            -1970.141584        -1970.013282        0.069136       0.009937       -0.007276      NO
96     192    288    0.11198             -1972.284234        -1972.172254        0.104387       0.009847       0.000696       NO
96     194    290    0.187541            -1974.984386        -1974.796845        0.143161       0.00998        0.007773       NO
96     196    292    0.127201            -1978.219825        -1978.092624        0.176711       0.009993       0.010716       NO
96     198    294    0.136463            -1981.348644        -1981.212181        0.193631       0.01           0.003889       YES
98     126    224    -0.007425           -1662.844521        -1662.851946        1.4e-05        0.01           -0.005832      YES
98     128    226    -0.01201            -1677.785619        -1677.797629        -0.000319      0.01           -0.042982      YES
98     130    228    0.051735            -1693.361958        -1693.310223        0.114079       0.010008       0.020466       NO
98     132    230    0.037415            -1710.64307         -1710.605655        0.169547       0.01           0.023194       YES
98     162    260    0.193318            -1906.124312        -1905.930994        0.230069       0.01           -0.019978      YES
98     184    282    0.009006            -1986.851096        -1986.84209         0.000208       0.01           -0.013736      YES
98     186    284    0.000303            -1989.089646        -1989.089343        0.000323       0.01           -0.027006      YES
98     188    286    -0.00099            -1990.518835        -1990.519825        0.000783       0.01           -0.052613      YES
98     190    288    0.087408            -1992.965948        -1992.87854         0.081386       0.009981       0.007422       NO
98     192    290    0.080273            -1996.114507        -1996.034234        0.111345       0.010011       0.01403        NO
98     194    292    0.097307            -1999.522993        -1999.425686        0.142646       0.009988       0.007999       NO
98     196    294    0.037957            -2003.208216        -2003.170259        0.18003        0.009902       0.014572       NO
98     198    296    0.084438            -2006.967508        -2006.88307         0.202091       0.01           0.017124       YES
98     262    360    1.204548            -1981.658781        -1980.454233        0.032221       0.01           -0.011069      YES
100    126    226    -0.012253           -1660.031574        -1660.043827        8e-06          0.01           -0.009171      YES
100    128    228    -0.019041           -1675.85972         -1675.878761        1e-05          0.01           -0.033881      YES
100    130    230    0.049127            -1692.5904          -1692.541273        0.114468       0.01           0.027678       YES
100    132    232    0.226292            -1710.615507        -1710.389215        0.31423        0.01           0.169315       YES
100    162    262    0.178025            -1919.845547        -1919.667522        0.234437       0.01           -0.011719      YES
100    168    268    0.14192             -1943.958149        -1943.816229        0.186832       0.01           -0.026582      YES
100    182    282    0.028015            -1998.923491        -1998.895476        0.001495       0.01           -0.015569      YES
100    184    284    0.018725            -2005.85994         -2005.841215        0.000232       0.01           -0.006997      YES
100    186    286    3.4e-05             -2008.736474        -2008.73644         0.000369       0.01           -0.025475      YES
100    188    288    -0.003391           -2010.789309        -2010.7927          0.001057       0.01           -0.043253      YES
100    190    290    0.099158            -2014.296246        -2014.197088        0.088914       0.009957       0.015875       NO
100    192    292    0.071588            -2018.36068         -2018.289092        0.118199       0.009825       0.02188        NO
100    194    294    0.182146            -2022.599664        -2022.417518        0.288795       0.01           0.14413        YES
100    196    296    0.015147            -2026.807312        -2026.792165        0.182927       0.009999       0.016967       NO
100    198    298    0.070068            -2031.178595        -2031.108527        0.216913       0.01           0.029868       YES
100    258    358    0.291654            -2030.547473        -2030.255819        0.000334       0.01           -0.003271      YES
100    260    360    0.68087             -2025.713844        -2025.032974        0.014886       0.01           -0.003969      YES
100    262    362    0.954511            -2020.219293        -2019.264782        0.02849        0.01           -0.008112      YES
100    264    364    0.816781            -2014.666917        -2013.850136        0.045779       0.01           -0.015798      YES
102    128    230    -0.018218           -1672.603746        -1672.621964        2e-06          0.01           -0.020827      YES
102    130    232    0.19051             -1690.635086        -1690.444576        0.324491       0.01           0.234074       YES
102    132    234    0.040171            -1709.172731        -1709.13256         0.156212       0.01           -0.197122      YES
102    136    238    0.209538            -1746.546745        -1746.337207        0.319774       0.01           -0.035771      YES
102    182    284    0.030056            -2016.089355        -2016.059299        0.002082       0.01           -0.011386      YES
102    184    286    0.031858            -2023.569524        -2023.537666        0.000237       0.01           -0.003658      YES
102    186    288    0.021746            -2027.082761        -2027.061015        0.000382       0.01           -0.019426      YES
